Products,Year,CPI
All-items,1979,40
All-items,1980,44.1
All-items,1981,49.8
All-items,1982,55.4
All-items,1983,58.3
All-items,1984,59.8
All-items,1985,61.6
All-items,1986,63.7
All-items,1987,66.3
All-items,1988,68.1
All-items,1989,70.9
All-items,1990,75
All-items,1991,79.4
All-items,1992,80.6
All-items,1993,81.4
All-items,1994,82.6
All-items,1995,84.5
All-items,1996,86.4
All-items,1997,88.1
All-items,1998,89.2
All-items,1999,91.4
All-items,2000,94.5
All-items,2001,96.7
All-items,2002,100
All-items,2003,104.4
All-items,2004,105.9
All-items,2005,108.1
All-items,2006,112.3
All-items,2007,117.9
All-items,2008,121.6
All-items,2009,121.5
All-items,2010,122.7
All-items,2011,125.7
All-items,2012,127.1
All-items,2013,128.9
All-items,2014,132.2
All-items,2015,133.7
All-items,2016,135.2
All-items,2017,137.3
All-items,2018,140.6
All-items,2019,143.1
All-items,2020,144.7
All-items,2021,149.3
All-items,2022,158.9
All-items,2023,164.1
,,
Food ,1979,44.6
Food ,1980,49
Food ,1981,54.4
Food ,1982,58.3
Food ,1983,60.1
Food ,1984,62.9
Food ,1985,65.6
Food ,1986,68.9
Food ,1987,71.8
Food ,1988,73.1
Food ,1989,74.1
Food ,1990,78
Food ,1991,82.9
Food ,1992,83.1
Food ,1993,80.2
Food ,1994,80.7
Food ,1995,83
Food ,1996,85.1
Food ,1997,88.1
Food ,1998,89.3
Food ,1999,90.8
Food ,2000,92.8
Food ,2001,97
Food ,2002,100
Food ,2003,101.4
Food ,2004,102.9
Food ,2005,104.8
Food ,2006,107.8
Food ,2007,111.4
Food ,2008,115
Food ,2009,120.5
Food ,2010,121.8
Food ,2011,125.6
Food ,2012,128.1
Food ,2013,130.8
Food ,2014,134.6
Food ,2015,139.6
Food ,2016,141.5
Food ,2017,141.7
Food ,2018,143.9
Food ,2019,149.2
Food ,2020,153.2
Food ,2021,157.3
Food ,2022,170.4
Food ,2023,182.7
,,
Shelter ,1979,42.4
Shelter ,1980,46.5
Shelter ,1981,54.2
Shelter ,1982,62.8
Shelter ,1983,65.2
Shelter ,1984,64.4
Shelter ,1985,64.3
Shelter ,1986,65.2
Shelter ,1987,66
Shelter ,1988,67.2
Shelter ,1989,70.2
Shelter ,1990,75.5
Shelter ,1991,80
Shelter ,1992,81.7
Shelter ,1993,83.3
Shelter ,1994,84.2
Shelter ,1995,84.7
Shelter ,1996,85.7
Shelter ,1997,86.8
Shelter ,1998,88.2
Shelter ,1999,91.3
Shelter ,2000,96.9
Shelter ,2001,99.3
Shelter ,2002,100
Shelter ,2003,108.1
Shelter ,2004,109.8
Shelter ,2005,113.5
Shelter ,2006,124.8
Shelter ,2007,140
Shelter ,2008,151.1
Shelter ,2009,147.4
Shelter ,2010,147.6
Shelter ,2011,152.1
Shelter ,2012,152.5
Shelter ,2013,156.3
Shelter ,2014,162.5
Shelter ,2015,162.9
Shelter ,2016,162.5
Shelter ,2017,164.6
Shelter ,2018,168.3
Shelter ,2019,172.3
Shelter ,2020,174.6
Shelter ,2021,180.2
Shelter ,2022,192.1
Shelter ,2023,204.7
,,
"Household operations, furnishings and equipment",1979,49.5
"Household operations, furnishings and equipment",1980,54.2
"Household operations, furnishings and equipment",1981,59.8
"Household operations, furnishings and equipment",1982,66.3
"Household operations, furnishings and equipment",1983,69.6
"Household operations, furnishings and equipment",1984,71.5
"Household operations, furnishings and equipment",1985,73.6
"Household operations, furnishings and equipment",1986,75.2
"Household operations, furnishings and equipment",1987,77.3
"Household operations, furnishings and equipment",1988,79.7
"Household operations, furnishings and equipment",1989,81.9
"Household operations, furnishings and equipment",1990,84.1
"Household operations, furnishings and equipment",1991,86.9
"Household operations, furnishings and equipment",1992,86.5
"Household operations, furnishings and equipment",1993,86.2
"Household operations, furnishings and equipment",1994,86.3
"Household operations, furnishings and equipment",1995,87.1
"Household operations, furnishings and equipment",1996,89.7
"Household operations, furnishings and equipment",1997,91.4
"Household operations, furnishings and equipment",1998,93.4
"Household operations, furnishings and equipment",1999,95.4
"Household operations, furnishings and equipment",2000,96.8
"Household operations, furnishings and equipment",2001,98.5
"Household operations, furnishings and equipment",2002,100
"Household operations, furnishings and equipment",2003,100.5
"Household operations, furnishings and equipment",2004,100.8
"Household operations, furnishings and equipment",2005,101.4
"Household operations, furnishings and equipment",2006,103
"Household operations, furnishings and equipment",2007,104.3
"Household operations, furnishings and equipment",2008,104.8
"Household operations, furnishings and equipment",2009,107.8
"Household operations, furnishings and equipment",2010,107.7
"Household operations, furnishings and equipment",2011,109.2
"Household operations, furnishings and equipment",2012,110.9
"Household operations, furnishings and equipment",2013,112.8
"Household operations, furnishings and equipment",2014,115.5
"Household operations, furnishings and equipment",2015,118.7
"Household operations, furnishings and equipment",2016,121.3
"Household operations, furnishings and equipment",2017,121.6
"Household operations, furnishings and equipment",2018,122.3
"Household operations, furnishings and equipment",2019,123
"Household operations, furnishings and equipment",2020,122.5
"Household operations, furnishings and equipment",2021,121.9
"Household operations, furnishings and equipment",2022,126.8
"Household operations, furnishings and equipment",2023,126.5
,,
Clothing and footwear,1979,54.7
Clothing and footwear,1980,61.7
Clothing and footwear,1981,66.7
Clothing and footwear,1982,70.1
Clothing and footwear,1983,71.6
Clothing and footwear,1984,73.1
Clothing and footwear,1985,74.6
Clothing and footwear,1986,76.3
Clothing and footwear,1987,79.4
Clothing and footwear,1988,83.7
Clothing and footwear,1989,86.6
Clothing and footwear,1990,89
Clothing and footwear,1991,97
Clothing and footwear,1992,97.3
Clothing and footwear,1993,98.3
Clothing and footwear,1994,98.3
Clothing and footwear,1995,98.9
Clothing and footwear,1996,98.2
Clothing and footwear,1997,98.4
Clothing and footwear,1998,99
Clothing and footwear,1999,100.8
Clothing and footwear,2000,99.7
Clothing and footwear,2001,100.2
Clothing and footwear,2002,100
Clothing and footwear,2003,99
Clothing and footwear,2004,98.4
Clothing and footwear,2005,99.4
Clothing and footwear,2006,98.6
Clothing and footwear,2007,99.7
Clothing and footwear,2008,97.1
Clothing and footwear,2009,97.5
Clothing and footwear,2010,96
Clothing and footwear,2011,93.9
Clothing and footwear,2012,93.3
Clothing and footwear,2013,93.7
Clothing and footwear,2014,93.9
Clothing and footwear,2015,94.9
Clothing and footwear,2016,93.9
Clothing and footwear,2017,95
Clothing and footwear,2018,96.3
Clothing and footwear,2019,97.5
Clothing and footwear,2020,98.3
Clothing and footwear,2021,95.5
Clothing and footwear,2022,98.1
Clothing and footwear,2023,98.2
,,
Transportation,1979,33.2
Transportation,1980,37.3
Transportation,1981,43.5
Transportation,1982,49.1
Transportation,1983,52
Transportation,1984,54.1
Transportation,1985,56.8
Transportation,1986,58.5
Transportation,1987,61.1
Transportation,1988,60.3
Transportation,1989,64
Transportation,1990,68.4
Transportation,1991,69.2
Transportation,1992,70.7
Transportation,1993,73.2
Transportation,1994,76.3
Transportation,1995,80.7
Transportation,1996,84
Transportation,1997,85.9
Transportation,1998,85.3
Transportation,1999,88.3
Transportation,2000,92.9
Transportation,2001,94.2
Transportation,2002,100
Transportation,2003,107.4
Transportation,2004,110.1
Transportation,2005,113.9
Transportation,2006,117.1
Transportation,2007,119.5
Transportation,2008,121.6
Transportation,2009,115.6
Transportation,2010,118.8
Transportation,2011,124.7
Transportation,2012,126.9
Transportation,2013,127.6
Transportation,2014,130.4
Transportation,2015,128.2
Transportation,2016,130.5
Transportation,2017,135
Transportation,2018,143.1
Transportation,2019,144.8
Transportation,2020,146.7
Transportation,2021,160.4
Transportation,2022,177.3
Transportation,2023,175.9
,,
Gasoline,1979,28.3
Gasoline,1980,33.4
Gasoline,1981,45.9
Gasoline,1982,54.6
Gasoline,1983,62
Gasoline,1984,65.3
Gasoline,1985,69.9
Gasoline,1986,61.5
Gasoline,1987,66.7
Gasoline,1988,62.4
Gasoline,1989,68.8
Gasoline,1990,83.6
Gasoline,1991,78
Gasoline,1992,73.5
Gasoline,1993,72.9
Gasoline,1994,72.7
Gasoline,1995,76.5
Gasoline,1996,80
Gasoline,1997,83.1
Gasoline,1998,76
Gasoline,1999,82.3
Gasoline,2000,100
Gasoline,2001,98.9
Gasoline,2002,100
Gasoline,2003,104.8
Gasoline,2004,116.8
Gasoline,2005,132.7
Gasoline,2006,142.1
Gasoline,2007,151.5
Gasoline,2008,170.6
Gasoline,2009,136.7
Gasoline,2010,143.3
Gasoline,2011,170.7
Gasoline,2012,173.2
Gasoline,2013,173.1
Gasoline,2014,175.6
Gasoline,2015,147.3
Gasoline,2016,136.3
Gasoline,2017,154.3
Gasoline,2018,183.1
Gasoline,2019,161.8
Gasoline,2020,143.5
Gasoline,2021,195.4
Gasoline,2022,239.1
Gasoline,2023,209.5
,,
Health and personal care,1979,41
Health and personal care,1980,44.1
Health and personal care,1981,49.3
Health and personal care,1982,56.3
Health and personal care,1983,60.8
Health and personal care,1984,62.9
Health and personal care,1985,64.5
Health and personal care,1986,67
Health and personal care,1987,69.8
Health and personal care,1988,72.6
Health and personal care,1989,75.8
Health and personal care,1990,79.4
Health and personal care,1991,84.2
Health and personal care,1992,86.2
Health and personal care,1993,88.3
Health and personal care,1994,88.9
Health and personal care,1995,88.1
Health and personal care,1996,89.1
Health and personal care,1997,91.4
Health and personal care,1998,92.8
Health and personal care,1999,94.4
Health and personal care,2000,96.8
Health and personal care,2001,98.6
Health and personal care,2002,100
Health and personal care,2003,101.8
Health and personal care,2004,103.3
Health and personal care,2005,104.7
Health and personal care,2006,106.6
Health and personal care,2007,108.6
Health and personal care,2008,110.9
Health and personal care,2009,115.9
Health and personal care,2010,121.4
Health and personal care,2011,124.7
Health and personal care,2012,127.7
Health and personal care,2013,127.1
Health and personal care,2014,128.1
Health and personal care,2015,129.9
Health and personal care,2016,132.1
Health and personal care,2017,134.1
Health and personal care,2018,136.5
Health and personal care,2019,138.1
Health and personal care,2020,139.9
Health and personal care,2021,141.1
Health and personal care,2022,144.5
Health and personal care,2023,153.4
,,
"Recreation, education and reading",1979,39.2
"Recreation, education and reading",1980,42.6
"Recreation, education and reading",1981,46.5
"Recreation, education and reading",1982,50.5
"Recreation, education and reading",1983,54.1
"Recreation, education and reading",1984,55.5
"Recreation, education and reading",1985,57.8
"Recreation, education and reading",1986,60.4
"Recreation, education and reading",1987,63.2
"Recreation, education and reading",1988,67.1
"Recreation, education and reading",1989,69.7
"Recreation, education and reading",1990,72.6
"Recreation, education and reading",1991,77.3
"Recreation, education and reading",1992,78.5
"Recreation, education and reading",1993,80.4
"Recreation, education and reading",1994,83.6
"Recreation, education and reading",1995,86.7
"Recreation, education and reading",1996,89.3
"Recreation, education and reading",1997,91.1
"Recreation, education and reading",1998,93.1
"Recreation, education and reading",1999,94.1
"Recreation, education and reading",2000,96.5
"Recreation, education and reading",2001,97.6
"Recreation, education and reading",2002,100
"Recreation, education and reading",2003,101.3
"Recreation, education and reading",2004,101.7
"Recreation, education and reading",2005,102.3
"Recreation, education and reading",2006,102.4
"Recreation, education and reading",2007,103.9
"Recreation, education and reading",2008,104.2
"Recreation, education and reading",2009,105.3
"Recreation, education and reading",2010,106
"Recreation, education and reading",2011,105.7
"Recreation, education and reading",2012,105.9
"Recreation, education and reading",2013,106.4
"Recreation, education and reading",2014,108.3
"Recreation, education and reading",2015,110.1
"Recreation, education and reading",2016,110.9
"Recreation, education and reading",2017,113.5
"Recreation, education and reading",2018,114.1
"Recreation, education and reading",2019,115.1
"Recreation, education and reading",2020,115.1
"Recreation, education and reading",2021,117.7
"Recreation, education and reading",2022,123.3
"Recreation, education and reading",2023,123.8
,,
"Alcoholic beverages, tobacco products and recreational cannabis",1979,18.2
"Alcoholic beverages, tobacco products and recreational cannabis",1980,19.9
"Alcoholic beverages, tobacco products and recreational cannabis",1981,22.6
"Alcoholic beverages, tobacco products and recreational cannabis",1982,26
"Alcoholic beverages, tobacco products and recreational cannabis",1983,30
"Alcoholic beverages, tobacco products and recreational cannabis",1984,32.8
"Alcoholic beverages, tobacco products and recreational cannabis",1985,35.3
"Alcoholic beverages, tobacco products and recreational cannabis",1986,38.9
"Alcoholic beverages, tobacco products and recreational cannabis",1987,44.7
"Alcoholic beverages, tobacco products and recreational cannabis",1988,48
"Alcoholic beverages, tobacco products and recreational cannabis",1989,52.2
"Alcoholic beverages, tobacco products and recreational cannabis",1990,57.2
"Alcoholic beverages, tobacco products and recreational cannabis",1991,67.2
"Alcoholic beverages, tobacco products and recreational cannabis",1992,70.1
"Alcoholic beverages, tobacco products and recreational cannabis",1993,71.1
"Alcoholic beverages, tobacco products and recreational cannabis",1994,69.3
"Alcoholic beverages, tobacco products and recreational cannabis",1995,69
"Alcoholic beverages, tobacco products and recreational cannabis",1996,69.8
"Alcoholic beverages, tobacco products and recreational cannabis",1997,71.2
"Alcoholic beverages, tobacco products and recreational cannabis",1998,72.6
"Alcoholic beverages, tobacco products and recreational cannabis",1999,73.7
"Alcoholic beverages, tobacco products and recreational cannabis",2000,74.9
"Alcoholic beverages, tobacco products and recreational cannabis",2001,77.9
"Alcoholic beverages, tobacco products and recreational cannabis",2002,100
"Alcoholic beverages, tobacco products and recreational cannabis",2003,110.6
"Alcoholic beverages, tobacco products and recreational cannabis",2004,113.2
"Alcoholic beverages, tobacco products and recreational cannabis",2005,114.5
"Alcoholic beverages, tobacco products and recreational cannabis",2006,116.5
"Alcoholic beverages, tobacco products and recreational cannabis",2007,123.7
"Alcoholic beverages, tobacco products and recreational cannabis",2008,127.7
"Alcoholic beverages, tobacco products and recreational cannabis",2009,132.4
"Alcoholic beverages, tobacco products and recreational cannabis",2010,133.7
"Alcoholic beverages, tobacco products and recreational cannabis",2011,135
"Alcoholic beverages, tobacco products and recreational cannabis",2012,138
"Alcoholic beverages, tobacco products and recreational cannabis",2013,139.7
"Alcoholic beverages, tobacco products and recreational cannabis",2014,144.2
"Alcoholic beverages, tobacco products and recreational cannabis",2015,152
"Alcoholic beverages, tobacco products and recreational cannabis",2016,160.5
"Alcoholic beverages, tobacco products and recreational cannabis",2017,164.5
"Alcoholic beverages, tobacco products and recreational cannabis",2018,169.9
"Alcoholic beverages, tobacco products and recreational cannabis",2019,172.1
"Alcoholic beverages, tobacco products and recreational cannabis",2020,172.1
"Alcoholic beverages, tobacco products and recreational cannabis",2021,172.6
"Alcoholic beverages, tobacco products and recreational cannabis",2022,178.4
"Alcoholic beverages, tobacco products and recreational cannabis",2023,186.1
,,
All-items excluding food and energy ,1979,40.5
All-items excluding food and energy ,1980,44.5
All-items excluding food and energy ,1981,49.7
All-items excluding food and energy ,1982,55.4
All-items excluding food and energy ,1983,58.2
All-items excluding food and energy ,1984,59.4
All-items excluding food and energy ,1985,60.9
All-items excluding food and energy ,1986,63.4
All-items excluding food and energy ,1987,66
All-items excluding food and energy ,1988,68.4
All-items excluding food and energy ,1989,71.5
All-items excluding food and energy ,1990,75.1
All-items excluding food and energy ,1991,79.7
All-items excluding food and energy ,1992,81.3
All-items excluding food and energy ,1993,82.8
All-items excluding food and energy ,1994,84
All-items excluding food and energy ,1995,86
All-items excluding food and energy ,1996,87.7
All-items excluding food and energy ,1997,88.9
All-items excluding food and energy ,1998,90.5
All-items excluding food and energy ,1999,92.3
All-items excluding food and energy ,2000,94.1
All-items excluding food and energy ,2001,96
All-items excluding food and energy ,2002,100
All-items excluding food and energy ,2003,103.5
All-items excluding food and energy ,2004,104.6
All-items excluding food and energy ,2005,106.1
All-items excluding food and energy ,2006,110.3
All-items excluding food and energy ,2007,115.8
All-items excluding food and energy ,2008,118.2
All-items excluding food and energy ,2009,119.8
All-items excluding food and energy ,2010,120.7
All-items excluding food and energy ,2011,121.7
All-items excluding food and energy ,2012,123.4
All-items excluding food and energy ,2013,125.1
All-items excluding food and energy ,2014,128.1
All-items excluding food and energy ,2015,131
All-items excluding food and energy ,2016,133.3
All-items excluding food and energy ,2017,134.8
All-items excluding food and energy ,2018,137
All-items excluding food and energy ,2019,139.5
All-items excluding food and energy ,2020,141.2
All-items excluding food and energy ,2021,143.1
All-items excluding food and energy ,2022,149.8
All-items excluding food and energy ,2023,154.9
,,
All-items excluding energy ,1979,41.3
All-items excluding energy ,1980,45.4
All-items excluding energy ,1981,50.6
All-items excluding energy ,1982,55.9
All-items excluding energy ,1983,58.5
All-items excluding energy ,1984,60.1
All-items excluding energy ,1985,61.8
All-items excluding energy ,1986,64.4
All-items excluding energy ,1987,67
All-items excluding energy ,1988,69.2
All-items excluding energy ,1989,71.9
All-items excluding energy ,1990,75.6
All-items excluding energy ,1991,80.3
All-items excluding energy ,1992,81.7
All-items excluding energy ,1993,82.4
All-items excluding energy ,1994,83.5
All-items excluding energy ,1995,85.5
All-items excluding energy ,1996,87.3
All-items excluding energy ,1997,88.9
All-items excluding energy ,1998,90.3
All-items excluding energy ,1999,92
All-items excluding energy ,2000,93.8
All-items excluding energy ,2001,96.1
All-items excluding energy ,2002,100
All-items excluding energy ,2003,103.1
All-items excluding energy ,2004,104.3
All-items excluding energy ,2005,105.8
All-items excluding energy ,2006,109.9
All-items excluding energy ,2007,115
All-items excluding energy ,2008,117.6
All-items excluding energy ,2009,119.9
All-items excluding energy ,2010,120.9
All-items excluding energy ,2011,122.4
All-items excluding energy ,2012,124.2
All-items excluding energy ,2013,126.1
All-items excluding energy ,2014,129.2
All-items excluding energy ,2015,132.5
All-items excluding energy ,2016,134.7
All-items excluding energy ,2017,136
All-items excluding energy ,2018,138.2
All-items excluding energy ,2019,141.1
All-items excluding energy ,2020,143.2
All-items excluding energy ,2021,145.5
All-items excluding energy ,2022,153.3
All-items excluding energy ,2023,159.6
,,
Energy ,1979,26.7
Energy ,1980,30.9
Energy ,1981,42.4
Energy ,1982,51.3
Energy ,1983,56.9
Energy ,1984,58.6
Energy ,1985,61.4
Energy ,1986,56.9
Energy ,1987,59.2
Energy ,1988,56.4
Energy ,1989,60.2
