Products,Year,CPI
All-items,1979,42.1
All-items,1980,46.4
All-items,1981,52.7
All-items,1982,57.8
All-items,1983,60.7
All-items,1984,63.3
All-items,1985,65.6
All-items,1986,67
All-items,1987,69.4
All-items,1988,71.9
All-items,1989,74.6
All-items,1990,78.4
All-items,1991,84.3
All-items,1992,85
All-items,1993,86.6
All-items,1994,86.4
All-items,1995,87.8
All-items,1996,89.4
All-items,1997,90.5
All-items,1998,90.1
All-items,1999,91.2
All-items,2000,94.9
All-items,2001,97.4
All-items,2002,100
All-items,2003,103.5
All-items,2004,105.8
All-items,2005,109.1
All-items,2006,111.6
All-items,2007,113.6
All-items,2008,117.5
All-items,2009,117.3
All-items,2010,119.5
All-items,2011,123
All-items,2012,125.5
All-items,2013,128
All-items,2014,130.1
All-items,2015,129.3
All-items,2016,130.8
All-items,2017,133.2
All-items,2018,136.3
All-items,2019,137.9
All-items,2020,137.9
All-items,2021,144.9
All-items,2022,157.8
All-items,2023,162.3
,,
Food ,1979,47.1
Food ,1980,51.9
Food ,1981,57.8
Food ,1982,60.6
Food ,1983,61.5
Food ,1984,64.4
Food ,1985,65.8
Food ,1986,68.1
Food ,1987,71.5
Food ,1988,73.6
Food ,1989,76.4
Food ,1990,80.5
Food ,1991,85.6
Food ,1992,84.9
Food ,1993,87.5
Food ,1994,88.4
Food ,1995,88.2
Food ,1996,90
Food ,1997,90.7
Food ,1998,92.3
Food ,1999,92.5
Food ,2000,93.3
Food ,2001,96.6
Food ,2002,100
Food ,2003,101.4
Food ,2004,103.7
Food ,2005,106.6
Food ,2006,110
Food ,2007,113.7
Food ,2008,118.1
Food ,2009,124.6
Food ,2010,126.4
Food ,2011,132
Food ,2012,137.4
Food ,2013,138.8
Food ,2014,140.8
Food ,2015,146.4
Food ,2016,150
Food ,2017,146.8
Food ,2018,147.6
Food ,2019,152.9
Food ,2020,159.1
Food ,2021,164.2
Food ,2022,180.2
Food ,2023,194.4
,,
Shelter ,1979,47.2
Shelter ,1980,51.5
Shelter ,1981,59.3
Shelter ,1982,66.9
Shelter ,1983,70.6
Shelter ,1984,74.3
Shelter ,1985,77.5
Shelter ,1986,75.5
Shelter ,1987,76.5
Shelter ,1988,79
Shelter ,1989,81
Shelter ,1990,84.5
Shelter ,1991,89.9
Shelter ,1992,89.9
Shelter ,1993,91.3
Shelter ,1994,90.6
Shelter ,1995,92.4
Shelter ,1996,93.1
Shelter ,1997,93
Shelter ,1998,89.5
Shelter ,1999,90.7
Shelter ,2000,98
Shelter ,2001,100.8
Shelter ,2002,100
Shelter ,2003,104.3
Shelter ,2004,107.1
Shelter ,2005,113.7
Shelter ,2006,116.2
Shelter ,2007,119.5
Shelter ,2008,129
Shelter ,2009,123.8
Shelter ,2010,125.9
Shelter ,2011,128.9
Shelter ,2012,129.9
Shelter ,2013,133
Shelter ,2014,135.2
Shelter ,2015,131.8
Shelter ,2016,131.4
Shelter ,2017,133.8
Shelter ,2018,138.2
Shelter ,2019,139
Shelter ,2020,137.8
Shelter ,2021,149.5
Shelter ,2022,168.6
Shelter ,2023,172.5
,,
"Household operations, furnishings and equipment",1979,46.6
"Household operations, furnishings and equipment",1980,50
"Household operations, furnishings and equipment",1981,56.3
"Household operations, furnishings and equipment",1982,61.3
"Household operations, furnishings and equipment",1983,64.1
"Household operations, furnishings and equipment",1984,65.9
"Household operations, furnishings and equipment",1985,67.6
"Household operations, furnishings and equipment",1986,69
"Household operations, furnishings and equipment",1987,71.2
"Household operations, furnishings and equipment",1988,74.2
"Household operations, furnishings and equipment",1989,75.9
"Household operations, furnishings and equipment",1990,79.3
"Household operations, furnishings and equipment",1991,83.8
"Household operations, furnishings and equipment",1992,83.6
"Household operations, furnishings and equipment",1993,84.3
"Household operations, furnishings and equipment",1994,86.5
"Household operations, furnishings and equipment",1995,88.7
"Household operations, furnishings and equipment",1996,90.8
"Household operations, furnishings and equipment",1997,93.1
"Household operations, furnishings and equipment",1998,95.4
"Household operations, furnishings and equipment",1999,96.5
"Household operations, furnishings and equipment",2000,96.9
"Household operations, furnishings and equipment",2001,98
"Household operations, furnishings and equipment",2002,100
"Household operations, furnishings and equipment",2003,101.1
"Household operations, furnishings and equipment",2004,102
"Household operations, furnishings and equipment",2005,103.3
"Household operations, furnishings and equipment",2006,104.3
"Household operations, furnishings and equipment",2007,105.3
"Household operations, furnishings and equipment",2008,106.9
"Household operations, furnishings and equipment",2009,111.9
"Household operations, furnishings and equipment",2010,113.4
"Household operations, furnishings and equipment",2011,114.7
"Household operations, furnishings and equipment",2012,117.8
"Household operations, furnishings and equipment",2013,119.8
"Household operations, furnishings and equipment",2014,121.8
"Household operations, furnishings and equipment",2015,125
"Household operations, furnishings and equipment",2016,128.8
"Household operations, furnishings and equipment",2017,129.6
"Household operations, furnishings and equipment",2018,129.7
"Household operations, furnishings and equipment",2019,129.9
"Household operations, furnishings and equipment",2020,130.2
"Household operations, furnishings and equipment",2021,131.3
"Household operations, furnishings and equipment",2022,139.1
"Household operations, furnishings and equipment",2023,138.8
,,
Clothing and footwear,1979,52.2
Clothing and footwear,1980,58.4
Clothing and footwear,1981,62.9
Clothing and footwear,1982,66.8
Clothing and footwear,1983,69.4
Clothing and footwear,1984,70.1
Clothing and footwear,1985,71
Clothing and footwear,1986,73.2
Clothing and footwear,1987,75.2
Clothing and footwear,1988,78.1
Clothing and footwear,1989,80.7
Clothing and footwear,1990,82.2
Clothing and footwear,1991,89.9
Clothing and footwear,1992,90.8
Clothing and footwear,1993,92.6
Clothing and footwear,1994,94.8
Clothing and footwear,1995,93.8
Clothing and footwear,1996,96.1
Clothing and footwear,1997,96.6
Clothing and footwear,1998,96
Clothing and footwear,1999,96.5
Clothing and footwear,2000,97.4
Clothing and footwear,2001,99.3
Clothing and footwear,2002,100
Clothing and footwear,2003,99.4
Clothing and footwear,2004,100.7
Clothing and footwear,2005,99.9
Clothing and footwear,2006,100
Clothing and footwear,2007,100.1
Clothing and footwear,2008,98.4
Clothing and footwear,2009,98.5
Clothing and footwear,2010,98.7
Clothing and footwear,2011,97.6
Clothing and footwear,2012,99.4
Clothing and footwear,2013,104.6
Clothing and footwear,2014,104.6
Clothing and footwear,2015,103.3
Clothing and footwear,2016,101.5
Clothing and footwear,2017,101.7
Clothing and footwear,2018,102.6
Clothing and footwear,2019,102.5
Clothing and footwear,2020,100
Clothing and footwear,2021,98.3
Clothing and footwear,2022,99.4
Clothing and footwear,2023,100.9
,,
Transportation,1979,36.8
Transportation,1980,42
Transportation,1981,50.3
Transportation,1982,56.4
Transportation,1983,59.5
Transportation,1984,61.5
Transportation,1985,64.1
Transportation,1986,64.8
Transportation,1987,66.2
Transportation,1988,67
Transportation,1989,69
Transportation,1990,72.1
Transportation,1991,75.7
Transportation,1992,76.5
Transportation,1993,77.5
Transportation,1994,80.6
Transportation,1995,85.4
Transportation,1996,87.7
Transportation,1997,89.7
Transportation,1998,87.2
Transportation,1999,88.3
Transportation,2000,95.3
Transportation,2001,96.6
Transportation,2002,100
Transportation,2003,106.6
Transportation,2004,109.2
Transportation,2005,114.4
Transportation,2006,117.9
Transportation,2007,118.8
Transportation,2008,121.3
Transportation,2009,113.4
Transportation,2010,117.5
Transportation,2011,125
Transportation,2012,127.7
Transportation,2013,130.8
Transportation,2014,132.9
Transportation,2015,125.3
Transportation,2016,126.3
Transportation,2017,132.2
Transportation,2018,138.6
Transportation,2019,139.3
Transportation,2020,137.1
Transportation,2021,150.2
Transportation,2022,170.6
Transportation,2023,172.7
,,
Gasoline,1979,36.4
Gasoline,1980,43
Gasoline,1981,59.3
Gasoline,1982,70.5
Gasoline,1983,76.5
Gasoline,1984,80.6
Gasoline,1985,84.3
Gasoline,1986,75.2
Gasoline,1987,75.3
Gasoline,1988,74
Gasoline,1989,74.9
