Products,Year,CPI
All-items,1979,40.5
All-items,1980,44.7
All-items,1981,50.2
All-items,1982,56
All-items,1983,59.1
All-items,1984,61.5
All-items,1985,64.2
All-items,1986,67.3
All-items,1987,70.2
All-items,1988,72.8
All-items,1989,75.9
All-items,1990,79.2
All-items,1991,85
All-items,1992,86.6
All-items,1993,87.7
All-items,1994,86.6
All-items,1995,88.1
All-items,1996,89.5
All-items,1997,90.8
All-items,1998,92.1
All-items,1999,93.5
All-items,2000,95.8
All-items,2001,98
All-items,2002,100
All-items,2003,102.5
All-items,2004,104.5
All-items,2005,106.9
All-items,2006,108.7
All-items,2007,110.4
All-items,2008,112.7
All-items,2009,113.4
All-items,2010,114.8
All-items,2011,118.3
All-items,2012,120.8
All-items,2013,121.7
All-items,2014,123.4
All-items,2015,124.7
All-items,2016,125.6
All-items,2017,126.9
All-items,2018,129
All-items,2019,131.7
All-items,2020,132.8
All-items,2021,137.8
All-items,2022,147
All-items,2023,153.6
,,
Food ,1979,43.6
Food ,1980,48.4
Food ,1981,54.5
Food ,1982,58.7
Food ,1983,60.1
Food ,1984,62.9
Food ,1985,65.2
Food ,1986,69.5
Food ,1987,73
Food ,1988,74.9
Food ,1989,77.9
Food ,1990,80.3
Food ,1991,83.3
Food ,1992,82.9
Food ,1993,83.3
Food ,1994,83.7
Food ,1995,85.1
Food ,1996,86.8
Food ,1997,88.5
Food ,1998,90.8
Food ,1999,91.7
Food ,2000,93.3
Food ,2001,97.9
Food ,2002,100
Food ,2003,102.1
Food ,2004,105
Food ,2005,107.8
Food ,2006,110.9
Food ,2007,113.4
Food ,2008,117
Food ,2009,123.1
Food ,2010,124.8
Food ,2011,129.2
Food ,2012,132.4
Food ,2013,133.8
Food ,2014,136.8
Food ,2015,141.7
Food ,2016,143.2
Food ,2017,143.7
Food ,2018,145.1
Food ,2019,149.4
Food ,2020,153.2
Food ,2021,157.1
Food ,2022,171.6
Food ,2023,185.8
,,
Shelter ,1979,38.6
Shelter ,1980,42.1
Shelter ,1981,47.5
Shelter ,1982,54.3
Shelter ,1983,59.1
Shelter ,1984,62.1
Shelter ,1985,64.9
Shelter ,1986,66.8
Shelter ,1987,69.8
Shelter ,1988,73.5
Shelter ,1989,77.1
Shelter ,1990,81.2
Shelter ,1991,86.4
Shelter ,1992,88.3
Shelter ,1993,89.6
Shelter ,1994,89.8
Shelter ,1995,91.1
Shelter ,1996,92
Shelter ,1997,92.1
Shelter ,1998,92.9
Shelter ,1999,94
Shelter ,2000,96.9
Shelter ,2001,98.9
Shelter ,2002,100
Shelter ,2003,103.3
Shelter ,2004,106
Shelter ,2005,109.2
Shelter ,2006,111.8
Shelter ,2007,115
Shelter ,2008,119.4
Shelter ,2009,120.1
Shelter ,2010,121
Shelter ,2011,123.1
Shelter ,2012,125.1
Shelter ,2013,126.3
Shelter ,2014,128.1
Shelter ,2015,128.7
Shelter ,2016,129.8
Shelter ,2017,131
Shelter ,2018,133
Shelter ,2019,135.6
Shelter ,2020,137.6
Shelter ,2021,142.1
Shelter ,2022,150.8
Shelter ,2023,160.2
,,
"Household operations, furnishings and equipment",1979,50.2
"Household operations, furnishings and equipment",1980,54.3
"Household operations, furnishings and equipment",1981,60
"Household operations, furnishings and equipment",1982,65.3
"Household operations, furnishings and equipment",1983,68.8
"Household operations, furnishings and equipment",1984,70.4
"Household operations, furnishings and equipment",1985,72.2
"Household operations, furnishings and equipment",1986,74.7
"Household operations, furnishings and equipment",1987,76.7
"Household operations, furnishings and equipment",1988,79.3
"Household operations, furnishings and equipment",1989,82.2
"Household operations, furnishings and equipment",1990,83.5
"Household operations, furnishings and equipment",1991,88.7
"Household operations, furnishings and equipment",1992,89
"Household operations, furnishings and equipment",1993,89.2
"Household operations, furnishings and equipment",1994,89.1
"Household operations, furnishings and equipment",1995,91.8
"Household operations, furnishings and equipment",1996,94.2
"Household operations, furnishings and equipment",1997,95.9
"Household operations, furnishings and equipment",1998,97.4
"Household operations, furnishings and equipment",1999,97.9
"Household operations, furnishings and equipment",2000,97.8
"Household operations, furnishings and equipment",2001,99.6
"Household operations, furnishings and equipment",2002,100
"Household operations, furnishings and equipment",2003,99.9
"Household operations, furnishings and equipment",2004,100.6
"Household operations, furnishings and equipment",2005,101.3
"Household operations, furnishings and equipment",2006,101.8
"Household operations, furnishings and equipment",2007,103
"Household operations, furnishings and equipment",2008,104.9
"Household operations, furnishings and equipment",2009,108.2
"Household operations, furnishings and equipment",2010,110
"Household operations, furnishings and equipment",2011,112.1
"Household operations, furnishings and equipment",2012,114.6
"Household operations, furnishings and equipment",2013,115.3
"Household operations, furnishings and equipment",2014,117.9
"Household operations, furnishings and equipment",2015,121.2
"Household operations, furnishings and equipment",2016,122.1
"Household operations, furnishings and equipment",2017,121.4
"Household operations, furnishings and equipment",2018,122
"Household operations, furnishings and equipment",2019,123.6
"Household operations, furnishings and equipment",2020,124
"Household operations, furnishings and equipment",2021,126.8
"Household operations, furnishings and equipment",2022,132.1
"Household operations, furnishings and equipment",2023,133.6
,,
Clothing and footwear,1979,51.6
Clothing and footwear,1980,56.8
Clothing and footwear,1981,60.6
Clothing and footwear,1982,63.9
Clothing and footwear,1983,66.2
Clothing and footwear,1984,67.7
Clothing and footwear,1985,69.6
Clothing and footwear,1986,71.9
Clothing and footwear,1987,75
Clothing and footwear,1988,78.4
Clothing and footwear,1989,81
Clothing and footwear,1990,83.3
Clothing and footwear,1991,95.4
Clothing and footwear,1992,96.4
Clothing and footwear,1993,97.5
Clothing and footwear,1994,97.3
Clothing and footwear,1995,96.6
Clothing and footwear,1996,95
Clothing and footwear,1997,96.3
Clothing and footwear,1998,98.3
Clothing and footwear,1999,98.7
Clothing and footwear,2000,98.4
Clothing and footwear,2001,99.6
Clothing and footwear,2002,100
Clothing and footwear,2003,97.5
Clothing and footwear,2004,96.5
Clothing and footwear,2005,96.9
Clothing and footwear,2006,96.4
Clothing and footwear,2007,95
Clothing and footwear,2008,91.5
Clothing and footwear,2009,90.3
Clothing and footwear,2010,86.3
Clothing and footwear,2011,86.9
Clothing and footwear,2012,89.3
Clothing and footwear,2013,90.6
Clothing and footwear,2014,89.8
Clothing and footwear,2015,92.1
Clothing and footwear,2016,92.7
Clothing and footwear,2017,92.6
Clothing and footwear,2018,93.3
Clothing and footwear,2019,94.9
Clothing and footwear,2020,92
Clothing and footwear,2021,92.5
Clothing and footwear,2022,92.5
Clothing and footwear,2023,93.4
,,
Transportation,1979,37.8
Transportation,1980,42.6
Transportation,1981,50
Transportation,1982,59.5
Transportation,1983,61.9
Transportation,1984,64.1
Transportation,1985,66.9
Transportation,1986,68.7
Transportation,1987,70.8
Transportation,1988,71.9
Transportation,1989,74.4
Transportation,1990,77.2
Transportation,1991,79.2
Transportation,1992,80.7
Transportation,1993,82.4
Transportation,1994,84.6
Transportation,1995,87.7
Transportation,1996,90
Transportation,1997,91.6
Transportation,1998,91
Transportation,1999,94.2
Transportation,2000,98.9
Transportation,2001,98.6
Transportation,2002,100
Transportation,2003,104.9
Transportation,2004,107.9
Transportation,2005,112.6
Transportation,2006,115.7
Transportation,2007,117.1
Transportation,2008,120.1
Transportation,2009,112.1
Transportation,2010,116.8
Transportation,2011,125.3
Transportation,2012,129.1
Transportation,2013,129.4
Transportation,2014,130.6
Transportation,2015,126.8
Transportation,2016,126.4
Transportation,2017,130.7
Transportation,2018,136.4
Transportation,2019,139.3
Transportation,2020,139
Transportation,2021,150.1
Transportation,2022,166.6
Transportation,2023,169.2
,,
Gasoline,1979,32.1
Gasoline,1980,38.3
Gasoline,1981,53.2
Gasoline,1982,70.4
Gasoline,1983,74.2
