Products,Year,CPI
All-items,1979,..
All-items,1980,..
All-items,1981,..
All-items,1982,..
All-items,1983,60.2
All-items,1984,62.9
All-items,1985,65.8
All-items,1986,69.1
All-items,1987,71.7
All-items,1988,73.8
All-items,1989,76.6
All-items,1990,79.9
All-items,1991,85.1
All-items,1992,85.9
All-items,1993,87.4
All-items,1994,89
All-items,1995,91.5
All-items,1996,93
All-items,1997,93.1
All-items,1998,93
All-items,1999,94
All-items,2000,95.6
All-items,2001,97.1
All-items,2002,100
All-items,2003,102.3
All-items,2004,103.8
All-items,2005,106.2
All-items,2006,107.7
All-items,2007,110.8
All-items,2008,115.2
All-items,2009,115.9
All-items,2010,117.9
All-items,2011,121.6
All-items,2012,124.3
All-items,2013,126.2
All-items,2014,128.4
All-items,2015,130.4
All-items,2016,131.9
All-items,2017,133.5
All-items,2018,136.6
All-items,2019,138.8
All-items,2020,138.9
All-items,2021,142
All-items,2022,151.9
All-items,2023,156.9
,,
Food ,1979,..
Food ,1980,..
Food ,1981,..
Food ,1982,..
Food ,1983,65.2
Food ,1984,67.3
Food ,1985,69.7
Food ,1986,72.6
Food ,1987,74.4
Food ,1988,76.3
Food ,1989,79.4
Food ,1990,80.9
Food ,1991,85.5
Food ,1992,84.3
Food ,1993,85.7
Food ,1994,89.1
Food ,1995,92.1
Food ,1996,93.3
Food ,1997,91.9
Food ,1998,93.4
Food ,1999,93.5
Food ,2000,94.6
Food ,2001,98.3
Food ,2002,100
Food ,2003,100.2
Food ,2004,99.5
Food ,2005,104.8
Food ,2006,106.6
Food ,2007,108.3
Food ,2008,110.7
Food ,2009,116.9
Food ,2010,119.8
Food ,2011,122.9
Food ,2012,124.4
Food ,2013,128.1
Food ,2014,131.6
Food ,2015,138.6
Food ,2016,142.6
Food ,2017,142.6
Food ,2018,142.5
Food ,2019,146.1
Food ,2020,146.2
Food ,2021,147.3
Food ,2022,159.2
Food ,2023,176.3
,,
Shelter ,1979,..
Shelter ,1980,..
Shelter ,1981,..
Shelter ,1982,..
Shelter ,1983,63
Shelter ,1984,66.9
Shelter ,1985,71.3
Shelter ,1986,73.4
Shelter ,1987,77.1
Shelter ,1988,79.5
Shelter ,1989,81.4
Shelter ,1990,85.1
Shelter ,1991,89.3
Shelter ,1992,91.5
Shelter ,1993,92.2
Shelter ,1994,92.4
Shelter ,1995,94.6
Shelter ,1996,95.4
Shelter ,1997,94.4
Shelter ,1998,93.3
Shelter ,1999,93.4
Shelter ,2000,96.5
Shelter ,2001,97
Shelter ,2002,100
Shelter ,2003,103.9
Shelter ,2004,108.1
Shelter ,2005,112
Shelter ,2006,115.2
Shelter ,2007,122
Shelter ,2008,133.5
Shelter ,2009,132.8
Shelter ,2010,135.1
Shelter ,2011,140.5
Shelter ,2012,144.5
Shelter ,2013,146.8
Shelter ,2014,150.8
Shelter ,2015,150.1
Shelter ,2016,149.7
Shelter ,2017,150.9
Shelter ,2018,157
Shelter ,2019,159.9
Shelter ,2020,160.5
Shelter ,2021,163.8
Shelter ,2022,176.4
Shelter ,2023,183.6
,,
"Household operations, furnishings and equipment",1979,..
"Household operations, furnishings and equipment",1980,..
"Household operations, furnishings and equipment",1981,..
"Household operations, furnishings and equipment",1982,..
"Household operations, furnishings and equipment",1983,75.8
"Household operations, furnishings and equipment",1984,78.7
"Household operations, furnishings and equipment",1985,81.3
"Household operations, furnishings and equipment",1986,83.4
"Household operations, furnishings and equipment",1987,85.5
"Household operations, furnishings and equipment",1988,89.5
"Household operations, furnishings and equipment",1989,90.6
"Household operations, furnishings and equipment",1990,92.4
"Household operations, furnishings and equipment",1991,94.5
"Household operations, furnishings and equipment",1992,93.4
"Household operations, furnishings and equipment",1993,93.4
"Household operations, furnishings and equipment",1994,93.4
"Household operations, furnishings and equipment",1995,94
"Household operations, furnishings and equipment",1996,95.5
"Household operations, furnishings and equipment",1997,93.7
"Household operations, furnishings and equipment",1998,94
"Household operations, furnishings and equipment",1999,96.3
"Household operations, furnishings and equipment",2000,96.8
"Household operations, furnishings and equipment",2001,98.5
"Household operations, furnishings and equipment",2002,100
"Household operations, furnishings and equipment",2003,100.1
"Household operations, furnishings and equipment",2004,100.1
"Household operations, furnishings and equipment",2005,100.6
"Household operations, furnishings and equipment",2006,101.1
"Household operations, furnishings and equipment",2007,103.4
"Household operations, furnishings and equipment",2008,103.7
"Household operations, furnishings and equipment",2009,106.4
"Household operations, furnishings and equipment",2010,107.3
"Household operations, furnishings and equipment",2011,109.5
"Household operations, furnishings and equipment",2012,110.5
"Household operations, furnishings and equipment",2013,110.6
"Household operations, furnishings and equipment",2014,111.6
"Household operations, furnishings and equipment",2015,114.3
"Household operations, furnishings and equipment",2016,115.7
"Household operations, furnishings and equipment",2017,115
"Household operations, furnishings and equipment",2018,113.6
