Industry,Year,Employment,,,,,,
Goods-producing sector ,1976,306.4,,,,,,
Goods-producing sector ,1977,307.8,,,,,,
Goods-producing sector ,1978,331.3,,,,,,
Goods-producing sector ,1979,357.9,,,,,,
Goods-producing sector ,1980,377.9,,,,,,
Goods-producing sector ,1981,410.3,,,,,,
Goods-producing sector ,1982,381.3,,,,,,
Goods-producing sector ,1983,348.2,,,,,,
Goods-producing sector ,1984,324.6,,,,,,
Goods-producing sector ,1985,341.9,,,,,,
Goods-producing sector ,1986,331,,,,,,
Goods-producing sector ,1987,332.9,,,,,,
Goods-producing sector ,1988,354.2,,,,,,
Goods-producing sector ,1989,354.2,,,,,,
Goods-producing sector ,1990,361.7,,,,,,
Goods-producing sector ,1991,359,,,,,,
Goods-producing sector ,1992,356.4,,,,,,
Goods-producing sector ,1993,360.1,,,,,,
Goods-producing sector ,1994,367.9,,,,,,
Goods-producing sector ,1995,383.8,,,,,,
Goods-producing sector ,1996,394.3,,,,,,
Goods-producing sector ,1997,404.7,,,,,,
Goods-producing sector ,1998,416.9,,,,,,
Goods-producing sector ,1999,419.4,,,,,,
Goods-producing sector ,2000,428.4,,,,,,
Goods-producing sector ,2001,441.4,,,,,,
Goods-producing sector ,2002,460.7,,,,,,
Goods-producing sector ,2003,472.3,,,,,,
Goods-producing sector ,2004,497.9,,,,,,
Goods-producing sector ,2005,497.3,,,,,,
Goods-producing sector ,2006,533.1,,,,,,
Goods-producing sector ,2007,571.8,,,,,,
Goods-producing sector ,2008,595.4,,,,,,
Goods-producing sector ,2009,546.5,,,,,,
Goods-producing sector ,2010,535.6,,,,,,
Goods-producing sector ,2011,573.3,,,,,,
Goods-producing sector ,2012,617.4,,,,,,
Goods-producing sector ,2013,628.9,,,,,,
Goods-producing sector ,2014,648,,,,,,
Goods-producing sector ,2015,630,,,,,,
Goods-producing sector ,2016,561.5,,,,,,
Goods-producing sector ,2017,556.9,,,,,,
Goods-producing sector ,2018,588.4,,,,,,
Goods-producing sector ,2019,586,,,,,,
Goods-producing sector ,2020,543.9,,,,,,
Goods-producing sector ,2021,552.7,,,,,,
Goods-producing sector ,2022,569.8,,,,,,
Goods-producing sector ,2023,588.4,,,,,,
Agriculture ,1976,110.8,,,,,,
Agriculture ,1977,93.4,,,,,,
Agriculture ,1978,80.8,,,,,,
Agriculture ,1979,77.3,,,,,,
Agriculture ,1980,77.8,,,,,,
Agriculture ,1981,78.4,,,,,,
Agriculture ,1982,75.7,,,,,,
Agriculture ,1983,71.9,,,,,,
Agriculture ,1984,77.9,,,,,,
Agriculture ,1985,83.7,,,,,,
Agriculture ,1986,84.9,,,,,,
Agriculture ,1987,85.9,,,,,,
Agriculture ,1988,88.3,,,,,,
Agriculture ,1989,90,,,,,,
Agriculture ,1990,92.6,,,,,,
