Industry,Year,Employment
Goods-producing sector ,1976,323.8
Goods-producing sector ,1977,337.8
Goods-producing sector ,1978,348.1
Goods-producing sector ,1979,361.3
Goods-producing sector ,1980,373.7
Goods-producing sector ,1981,390.2
Goods-producing sector ,1982,338.5
Goods-producing sector ,1983,322.2
Goods-producing sector ,1984,316.9
Goods-producing sector ,1985,323.4
Goods-producing sector ,1986,322
Goods-producing sector ,1987,333.8
Goods-producing sector ,1988,351.5
Goods-producing sector ,1989,383.8
Goods-producing sector ,1990,389
Goods-producing sector ,1991,377.7
Goods-producing sector ,1992,371
Goods-producing sector ,1993,382.8
Goods-producing sector ,1994,401.5
Goods-producing sector ,1995,405.1
Goods-producing sector ,1996,408.8
Goods-producing sector ,1997,419.1
Goods-producing sector ,1998,408.8
Goods-producing sector ,1999,391.9
Goods-producing sector ,2000,407.2
Goods-producing sector ,2001,383.8
Goods-producing sector ,2002,392.8
Goods-producing sector ,2003,413
Goods-producing sector ,2004,431.2
Goods-producing sector ,2005,445.1
Goods-producing sector ,2006,459.2
Goods-producing sector ,2007,476.9
Goods-producing sector ,2008,479.7
Goods-producing sector ,2009,441.2
Goods-producing sector ,2010,442.9
Goods-producing sector ,2011,445.7
Goods-producing sector ,2012,459.6
Goods-producing sector ,2013,461.4
Goods-producing sector ,2014,468.6
Goods-producing sector ,2015,482.5
Goods-producing sector ,2016,484.6
Goods-producing sector ,2017,512
Goods-producing sector ,2018,516.3
Goods-producing sector ,2019,507.2
Goods-producing sector ,2020,484
Goods-producing sector ,2021,497.9
Goods-producing sector ,2022,506.9
Goods-producing sector ,2023,497.7
Agriculture ,1976,17.6
Agriculture ,1977,20.7
Agriculture ,1978,20.9
Agriculture ,1979,21.3
Agriculture ,1980,18.9
Agriculture ,1981,20.5
Agriculture ,1982,25.9
Agriculture ,1983,29.7
Agriculture ,1984,28.1
Agriculture ,1985,30.9
Agriculture ,1986,33.3
Agriculture ,1987,31.7
Agriculture ,1988,31.1
Agriculture ,1989,32
Agriculture ,1990,28.1
Agriculture ,1991,30.3
Agriculture ,1992,29.2
Agriculture ,1993,32.7
Agriculture ,1994,29.8
Agriculture ,1995,25.7
Agriculture ,1996,30.3
Agriculture ,1997,33
Agriculture ,1998,32.6
Agriculture ,1999,28.7
Agriculture ,2000,29.7
Agriculture ,2001,25.6
Agriculture ,2002,29.8
Agriculture ,2003,33.2
Agriculture ,2004,36
Agriculture ,2005,38.3
Agriculture ,2006,35.2
Agriculture ,2007,35.4
Agriculture ,2008,36
Agriculture ,2009,31.2
Agriculture ,2010,28.8
Agriculture ,2011,24.1
Agriculture ,2012,23.5
Agriculture ,2013,26.8
Agriculture ,2014,25.3
Agriculture ,2015,25.7
Agriculture ,2016,22.6
Agriculture ,2017,24.1
Agriculture ,2018,24.1
Agriculture ,2019,24.4
Agriculture ,2020,28.3
Agriculture ,2021,21.2
Agriculture ,2022,23.6
Agriculture ,2023,25.4
"Forestry, fishing, mining, quarrying, oil and gas",1976,49.2
"Forestry, fishing, mining, quarrying, oil and gas",1977,46.8
"Forestry, fishing, mining, quarrying, oil and gas",1978,50
"Forestry, fishing, mining, quarrying, oil and gas",1979,57.9
"Forestry, fishing, mining, quarrying, oil and gas",1980,69.8
"Forestry, fishing, mining, quarrying, oil and gas",1981,69.2
"Forestry, fishing, mining, quarrying, oil and gas",1982,52.9
"Forestry, fishing, mining, quarrying, oil and gas",1983,53.4
"Forestry, fishing, mining, quarrying, oil and gas",1984,56.4
"Forestry, fishing, mining, quarrying, oil and gas",1985,56
"Forestry, fishing, mining, quarrying, oil and gas",1986,53.1
"Forestry, fishing, mining, quarrying, oil and gas",1987,49.5
"Forestry, fishing, mining, quarrying, oil and gas",1988,50.3
"Forestry, fishing, mining, quarrying, oil and gas",1989,55
"Forestry, fishing, mining, quarrying, oil and gas",1990,52.1
"Forestry, fishing, mining, quarrying, oil and gas",1991,51.4
"Forestry, fishing, mining, quarrying, oil and gas",1992,47.2
"Forestry, fishing, mining, quarrying, oil and gas",1993,44.3
"Forestry, fishing, mining, quarrying, oil and gas",1994,49.5
"Forestry, fishing, mining, quarrying, oil and gas",1995,54.8
"Forestry, fishing, mining, quarrying, oil and gas",1996,54.7
"Forestry, fishing, mining, quarrying, oil and gas",1997,55.2
"Forestry, fishing, mining, quarrying, oil and gas",1998,51.5
"Forestry, fishing, mining, quarrying, oil and gas",1999,48.5
"Forestry, fishing, mining, quarrying, oil and gas",2000,52.6
"Forestry, fishing, mining, quarrying, oil and gas",2001,41.2
"Forestry, fishing, mining, quarrying, oil and gas",2002,37.4
"Forestry, fishing, mining, quarrying, oil and gas",2003,44.5
"Forestry, fishing, mining, quarrying, oil and gas",2004,35.7
"Forestry, fishing, mining, quarrying, oil and gas",2005,37.5
"Forestry, fishing, mining, quarrying, oil and gas",2006,43.6
