Products,Year,CPI
All-items,1979,41.5
All-items,1980,45.4
All-items,1981,51.8
All-items,1982,57.3
All-items,1983,60.4
All-items,1984,62.8
All-items,1985,64.8
All-items,1986,66.7
All-items,1987,68.7
All-items,1988,71.2
All-items,1989,74.4
All-items,1990,78.4
All-items,1991,82.6
All-items,1992,84.8
All-items,1993,87.8
All-items,1994,89.5
All-items,1995,91.6
All-items,1996,92.4
All-items,1997,93.1
All-items,1998,93.4
All-items,1999,94.4
All-items,2000,96.1
All-items,2001,97.7
All-items,2002,100
All-items,2003,102.2
All-items,2004,104.2
All-items,2005,106.3
All-items,2006,108.1
All-items,2007,110
All-items,2008,112.3
All-items,2009,112.3
All-items,2010,113.8
All-items,2011,116.5
All-items,2012,117.8
All-items,2013,117.7
All-items,2014,118.9
All-items,2015,120.2
All-items,2016,122.4
All-items,2017,125
All-items,2018,128.4
All-items,2019,131.4
All-items,2020,132.4
All-items,2021,136.1
All-items,2022,145.5
All-items,2023,151.2
,,
Food ,1979,42.8
Food ,1980,47.2
Food ,1981,52.4
Food ,1982,56.6
Food ,1983,58.9
Food ,1984,61.9
Food ,1985,63
Food ,1986,65.7
Food ,1987,68.1
Food ,1988,69.9
Food ,1989,71.4
Food ,1990,75.6
Food ,1991,81
Food ,1992,82.9
Food ,1993,85.5
Food ,1994,86.4
Food ,1995,89
Food ,1996,89.7
Food ,1997,91.9
Food ,1998,93.3
Food ,1999,94.2
Food ,2000,93.7
Food ,2001,97.4
Food ,2002,100
Food ,2003,101.9
Food ,2004,103.2
Food ,2005,104.5
Food ,2006,106.5
Food ,2007,109.3
Food ,2008,112.9
Food ,2009,117.7
Food ,2010,119.6
Food ,2011,124.6
Food ,2012,127.3
Food ,2013,127.4
Food ,2014,129.5
Food ,2015,134.5
Food ,2016,136.9
Food ,2017,137.7
Food ,2018,140.1
Food ,2019,145.6
Food ,2020,149.5
Food ,2021,153.1
Food ,2022,165.4
Food ,2023,177.1
,,
Shelter ,1979,53.1
Shelter ,1980,56
Shelter ,1981,65
Shelter ,1982,73.2
Shelter ,1983,76.8
Shelter ,1984,78.4
Shelter ,1985,79.2
Shelter ,1986,79.5
Shelter ,1987,80.5
Shelter ,1988,82.9
Shelter ,1989,87.6
Shelter ,1990,93.4
Shelter ,1991,96.1
Shelter ,1992,98.2
Shelter ,1993,101.3
Shelter ,1994,102.1
Shelter ,1995,102
Shelter ,1996,100.1
Shelter ,1997,98.6
Shelter ,1998,96.8
Shelter ,1999,96.2
Shelter ,2000,97.8
Shelter ,2001,99.3
Shelter ,2002,100
Shelter ,2003,101.8
Shelter ,2004,104
Shelter ,2005,106.2
Shelter ,2006,108.7
Shelter ,2007,110.9
Shelter ,2008,114.3
Shelter ,2009,112.3
Shelter ,2010,113.1
Shelter ,2011,114.3
Shelter ,2012,114.2
Shelter ,2013,113.3
Shelter ,2014,114.2
Shelter ,2015,114.1
Shelter ,2016,115.7
Shelter ,2017,118.7
Shelter ,2018,122.5
Shelter ,2019,125.4
Shelter ,2020,127.2
Shelter ,2021,132.7
Shelter ,2022,142.8
Shelter ,2023,150.9
,,
"Household operations, furnishings and equipment",1979,46.6
"Household operations, furnishings and equipment",1980,50.4
"Household operations, furnishings and equipment",1981,56.8
"Household operations, furnishings and equipment",1982,62.7
"Household operations, furnishings and equipment",1983,66.2
"Household operations, furnishings and equipment",1984,68.2
"Household operations, furnishings and equipment",1985,69.1
"Household operations, furnishings and equipment",1986,70.6
"Household operations, furnishings and equipment",1987,72.9
"Household operations, furnishings and equipment",1988,75
"Household operations, furnishings and equipment",1989,76.2
"Household operations, furnishings and equipment",1990,78.1
"Household operations, furnishings and equipment",1991,81.4
"Household operations, furnishings and equipment",1992,82.7
"Household operations, furnishings and equipment",1993,84.9
"Household operations, furnishings and equipment",1994,85.8
"Household operations, furnishings and equipment",1995,88
"Household operations, furnishings and equipment",1996,89.8
"Household operations, furnishings and equipment",1997,91
"Household operations, furnishings and equipment",1998,94.2
"Household operations, furnishings and equipment",1999,95.5
"Household operations, furnishings and equipment",2000,96.7
"Household operations, furnishings and equipment",2001,97.5
"Household operations, furnishings and equipment",2002,100
"Household operations, furnishings and equipment",2003,101.1
"Household operations, furnishings and equipment",2004,101.6
"Household operations, furnishings and equipment",2005,102.2
"Household operations, furnishings and equipment",2006,102
"Household operations, furnishings and equipment",2007,102.6
"Household operations, furnishings and equipment",2008,103.4
"Household operations, furnishings and equipment",2009,105.7
"Household operations, furnishings and equipment",2010,106.5
"Household operations, furnishings and equipment",2011,108.4
"Household operations, furnishings and equipment",2012,110.9
"Household operations, furnishings and equipment",2013,111.7
"Household operations, furnishings and equipment",2014,112.8
"Household operations, furnishings and equipment",2015,114.6
"Household operations, furnishings and equipment",2016,116.9
"Household operations, furnishings and equipment",2017,117.7
"Household operations, furnishings and equipment",2018,119.6
"Household operations, furnishings and equipment",2019,120.6
"Household operations, furnishings and equipment",2020,120.9
"Household operations, furnishings and equipment",2021,121.4
"Household operations, furnishings and equipment",2022,127.5
"Household operations, furnishings and equipment",2023,127.9
,,
Clothing and footwear,1979,49.2
Clothing and footwear,1980,55.3
Clothing and footwear,1981,59.8
Clothing and footwear,1982,64.3
Clothing and footwear,1983,66.9
Clothing and footwear,1984,68.5
Clothing and footwear,1985,70.1
Clothing and footwear,1986,71.6
Clothing and footwear,1987,73.4
Clothing and footwear,1988,76.6
Clothing and footwear,1989,79
Clothing and footwear,1990,80.6
Clothing and footwear,1991,87.2
Clothing and footwear,1992,88.7
Clothing and footwear,1993,90.6
Clothing and footwear,1994,92.7
Clothing and footwear,1995,93.4
Clothing and footwear,1996,93.3
Clothing and footwear,1997,95
Clothing and footwear,1998,96.7
Clothing and footwear,1999,97.8
Clothing and footwear,2000,99.5
Clothing and footwear,2001,100
Clothing and footwear,2002,100
Clothing and footwear,2003,98.9
Clothing and footwear,2004,99.5
Clothing and footwear,2005,99.9
Clothing and footwear,2006,99.9
Clothing and footwear,2007,99.9
Clothing and footwear,2008,99.1
Clothing and footwear,2009,99.4
Clothing and footwear,2010,98.3
Clothing and footwear,2011,97.6
Clothing and footwear,2012,100.5
Clothing and footwear,2013,101
Clothing and footwear,2014,101.2
Clothing and footwear,2015,103.7
Clothing and footwear,2016,104.7
Clothing and footwear,2017,104.5
Clothing and footwear,2018,105.6
Clothing and footwear,2019,107.9
Clothing and footwear,2020,106.2
Clothing and footwear,2021,105.6
Clothing and footwear,2022,105.8
Clothing and footwear,2023,106.7
,,
Transportation,1979,31.3
Transportation,1980,35
Transportation,1981,43
Transportation,1982,48.3
Transportation,1983,51.1
Transportation,1984,53.7
Transportation,1985,56.8
Transportation,1986,57.5
Transportation,1987,59.5
Transportation,1988,61.1
Transportation,1989,65.1
Transportation,1990,69.7
Transportation,1991,71.2
Transportation,1992,74.1
Transportation,1993,78
Transportation,1994,82.2
Transportation,1995,86
Transportation,1996,88.7
Transportation,1997,89.5
Transportation,1998,88.4
Transportation,1999,91.3
Transportation,2000,96.3
Transportation,2001,96.6
Transportation,2002,100
Transportation,2003,103.2
Transportation,2004,106.1
Transportation,2005,110.5
Transportation,2006,114.2
Transportation,2007,116.2
Transportation,2008,119.1
Transportation,2009,113.6
Transportation,2010,117.1
Transportation,2011,122.7
Transportation,2012,125.2
Transportation,2013,126.3
Transportation,2014,127.6
Transportation,2015,126.3
Transportation,2016,129.2
Transportation,2017,134.1
Transportation,2018,140.4
Transportation,2019,144
Transportation,2020,142.9
Transportation,2021,148.4
Transportation,2022,163.5
Transportation,2023,165.3
,,
Gasoline,1979,29.4
Gasoline,1980,35.1
Gasoline,1981,48.5
Gasoline,1982,56.7
Gasoline,1983,62.7
Gasoline,1984,67.2
Gasoline,1985,72.3
Gasoline,1986,61.2
Gasoline,1987,65.7
Gasoline,1988,63.6
Gasoline,1989,70.3
Gasoline,1990,82.1
