Products,Year,CPI
All-items,1979,40
All-items,1980,44
All-items,1981,49
All-items,1982,53.3
All-items,1983,56.8
All-items,1984,58.9
All-items,1985,61.4
All-items,1986,64.1
All-items,1987,66.8
All-items,1988,69.6
All-items,1989,72.9
All-items,1990,76.2
All-items,1991,80.1
All-items,1992,81.2
All-items,1993,83.4
All-items,1994,84.6
All-items,1995,86.9
All-items,1996,88.8
All-items,1997,90.6
All-items,1998,91.8
All-items,1999,93.6
All-items,2000,95.9
All-items,2001,98.5
All-items,2002,100
All-items,2003,101.8
All-items,2004,103.8
All-items,2005,106.6
All-items,2006,108.7
All-items,2007,110.9
All-items,2008,113.4
All-items,2009,114.1
All-items,2010,115
All-items,2011,118.4
All-items,2012,120.3
All-items,2013,123
All-items,2014,125.3
All-items,2015,126.8
All-items,2016,128.4
All-items,2017,130.5
All-items,2018,133.8
All-items,2019,136.8
All-items,2020,137.5
All-items,2021,142
All-items,2022,153.2
All-items,2023,158.6
,,
Food ,1979,44.2
Food ,1980,48.5
Food ,1981,53.4
Food ,1982,55.9
Food ,1983,57.5
Food ,1984,59
Food ,1985,61.1
Food ,1986,64.3
Food ,1987,66.8
Food ,1988,68.7
Food ,1989,71.6
Food ,1990,75.5
Food ,1991,79.1
Food ,1992,80.1
Food ,1993,83
Food ,1994,84
Food ,1995,86.1
Food ,1996,87.9
Food ,1997,89.8
Food ,1998,90.1
Food ,1999,91.3
Food ,2000,93.7
Food ,2001,97.6
Food ,2002,100
Food ,2003,101.5
Food ,2004,104.1
Food ,2005,106.6
Food ,2006,108.9
Food ,2007,112.3
Food ,2008,116.2
Food ,2009,122.4
Food ,2010,122.5
Food ,2011,127
Food ,2012,129.8
Food ,2013,133.1
Food ,2014,136.7
Food ,2015,141.3
Food ,2016,141.7
Food ,2017,141.6
Food ,2018,143.8
Food ,2019,148
Food ,2020,150.9
Food ,2021,153.6
Food ,2022,167.3
Food ,2023,180.4
,,
Shelter ,1979,42.3
Shelter ,1980,45
Shelter ,1981,49.8
Shelter ,1982,56.1
Shelter ,1983,61.1
Shelter ,1984,64
Shelter ,1985,66.8
Shelter ,1986,69
Shelter ,1987,71.1
Shelter ,1988,73.1
Shelter ,1989,76
Shelter ,1990,79.2
Shelter ,1991,83.7
Shelter ,1992,85
Shelter ,1993,85.7
Shelter ,1994,87.3
Shelter ,1995,89.3
Shelter ,1996,89.9
Shelter ,1997,91.1
Shelter ,1998,92.5
Shelter ,1999,94.2
Shelter ,2000,96.8
Shelter ,2001,100.5
Shelter ,2002,100
Shelter ,2003,101.9
Shelter ,2004,104
Shelter ,2005,107.9
Shelter ,2006,111.1
Shelter ,2007,115.3
Shelter ,2008,120.3
Shelter ,2009,122.2
Shelter ,2010,121.9
Shelter ,2011,125.1
Shelter ,2012,127.5
Shelter ,2013,131.5
Shelter ,2014,135.4
Shelter ,2015,137.8
Shelter ,2016,140.6
Shelter ,2017,144.4
Shelter ,2018,148.8
Shelter ,2019,153.5
Shelter ,2020,156.1
Shelter ,2021,163.3
Shelter ,2022,175.7
Shelter ,2023,184.6
,,
"Household operations, furnishings and equipment",1979,45.1
"Household operations, furnishings and equipment",1980,49.3
"Household operations, furnishings and equipment",1981,54.4
"Household operations, furnishings and equipment",1982,59
"Household operations, furnishings and equipment",1983,62.5
"Household operations, furnishings and equipment",1984,63.5
"Household operations, furnishings and equipment",1985,65.4
"Household operations, furnishings and equipment",1986,67.4
"Household operations, furnishings and equipment",1987,70.5
"Household operations, furnishings and equipment",1988,74.2
"Household operations, furnishings and equipment",1989,77.4
"Household operations, furnishings and equipment",1990,79.2
"Household operations, furnishings and equipment",1991,82.4
"Household operations, furnishings and equipment",1992,83.6
"Household operations, furnishings and equipment",1993,84.8
"Household operations, furnishings and equipment",1994,84.2
"Household operations, furnishings and equipment",1995,84.8
"Household operations, furnishings and equipment",1996,87
"Household operations, furnishings and equipment",1997,88.1
"Household operations, furnishings and equipment",1998,89.9
"Household operations, furnishings and equipment",1999,91.6
"Household operations, furnishings and equipment",2000,92.9
"Household operations, furnishings and equipment",2001,97.5
"Household operations, furnishings and equipment",2002,100
"Household operations, furnishings and equipment",2003,101.1
"Household operations, furnishings and equipment",2004,102.3
"Household operations, furnishings and equipment",2005,103.2
"Household operations, furnishings and equipment",2006,103.6
"Household operations, furnishings and equipment",2007,103.8
"Household operations, furnishings and equipment",2008,104.6
"Household operations, furnishings and equipment",2009,108
"Household operations, furnishings and equipment",2010,108.1
"Household operations, furnishings and equipment",2011,109.3
"Household operations, furnishings and equipment",2012,111.3
"Household operations, furnishings and equipment",2013,113.9
"Household operations, furnishings and equipment",2014,115.8
"Household operations, furnishings and equipment",2015,118.7
"Household operations, furnishings and equipment",2016,120.6
"Household operations, furnishings and equipment",2017,121.1
"Household operations, furnishings and equipment",2018,121.3
"Household operations, furnishings and equipment",2019,123.8
"Household operations, furnishings and equipment",2020,124.6
"Household operations, furnishings and equipment",2021,123.4
"Household operations, furnishings and equipment",2022,129.9
"Household operations, furnishings and equipment",2023,131.6
,,
Clothing and footwear,1979,46.9
Clothing and footwear,1980,53.1
Clothing and footwear,1981,57
Clothing and footwear,1982,59.3
Clothing and footwear,1983,62.1
Clothing and footwear,1984,63.8
