Products,Year,CPI
All-items,1979,41.1
All-items,1980,45.3
All-items,1981,50.9
All-items,1982,55.6
All-items,1983,59.3
All-items,1984,62.3
All-items,1985,65.2
All-items,1986,67.5
All-items,1987,69.4
All-items,1988,71.8
All-items,1989,75.2
All-items,1990,78.7
All-items,1991,83.8
All-items,1992,84.3
All-items,1993,85.4
All-items,1994,85.9
All-items,1995,87.2
All-items,1996,88.5
All-items,1997,90.1
All-items,1998,90.6
All-items,1999,92.1
All-items,2000,95.1
All-items,2001,96.8
All-items,2002,100
All-items,2003,103.4
All-items,2004,104.9
All-items,2005,107.4
All-items,2006,109.2
All-items,2007,111.3
All-items,2008,113.2
All-items,2009,113.5
All-items,2010,115.9
All-items,2011,120
All-items,2012,122
All-items,2013,123
All-items,2014,124.8
All-items,2015,125.4
All-items,2016,128.2
All-items,2017,131.2
All-items,2018,134
All-items,2019,136.3
All-items,2020,136.6
All-items,2021,141.8
All-items,2022,152.1
All-items,2023,157.5
,,
Food ,1979,45
Food ,1980,50
Food ,1981,55.9
Food ,1982,58.5
Food ,1983,59.9
Food ,1984,63.2
Food ,1985,65.6
Food ,1986,69
Food ,1987,72.2
Food ,1988,73.5
Food ,1989,76.7
Food ,1990,80.7
Food ,1991,84.8
Food ,1992,84.6
Food ,1993,86.2
Food ,1994,88.4
Food ,1995,88.7
Food ,1996,88.7
Food ,1997,89.7
Food ,1998,91.3
Food ,1999,92.8
Food ,2000,94.2
Food ,2001,96.5
Food ,2002,100
Food ,2003,102.3
Food ,2004,104.5
Food ,2005,107.4
Food ,2006,110.4
Food ,2007,113.9
Food ,2008,118.2
Food ,2009,124.6
Food ,2010,126.9
Food ,2011,132.8
Food ,2012,137.3
Food ,2013,138.5
Food ,2014,141.1
Food ,2015,147.9
Food ,2016,150.6
Food ,2017,148.6
Food ,2018,150.6
Food ,2019,155.6
Food ,2020,159.6
Food ,2021,165.1
Food ,2022,180.3
Food ,2023,194.8
,,
Shelter ,1979,41.1
Shelter ,1980,44.8
Shelter ,1981,51.7
Shelter ,1982,58
Shelter ,1983,62.6
Shelter ,1984,66.6
Shelter ,1985,70.7
Shelter ,1986,71
Shelter ,1987,72.1
Shelter ,1988,74.1
Shelter ,1989,76.5
Shelter ,1990,80.3
Shelter ,1991,85.6
Shelter ,1992,86.3
Shelter ,1993,86.6
Shelter ,1994,86.3
Shelter ,1995,88.2
Shelter ,1996,89.8
Shelter ,1997,92.3
Shelter ,1998,92.5
Shelter ,1999,93.5
Shelter ,2000,98.2
Shelter ,2001,99.5
Shelter ,2002,100
Shelter ,2003,102.6
Shelter ,2004,104.9
Shelter ,2005,109.3
Shelter ,2006,111.9
Shelter ,2007,116.7
Shelter ,2008,120.8
Shelter ,2009,120.7
Shelter ,2010,122.6
Shelter ,2011,125
Shelter ,2012,125.8
Shelter ,2013,126.8
Shelter ,2014,129.2
Shelter ,2015,129.5
Shelter ,2016,131.7
Shelter ,2017,134.6
Shelter ,2018,137.5
Shelter ,2019,140.2
Shelter ,2020,142.1
Shelter ,2021,147.1
Shelter ,2022,157.6
Shelter ,2023,164.7
,,
"Household operations, furnishings and equipment",1979,49.2
"Household operations, furnishings and equipment",1980,53.2
"Household operations, furnishings and equipment",1981,58.5
"Household operations, furnishings and equipment",1982,65.6
"Household operations, furnishings and equipment",1983,70.5
"Household operations, furnishings and equipment",1984,72.9
"Household operations, furnishings and equipment",1985,74.1
"Household operations, furnishings and equipment",1986,76
"Household operations, furnishings and equipment",1987,78.5
"Household operations, furnishings and equipment",1988,81.1
"Household operations, furnishings and equipment",1989,83.6
"Household operations, furnishings and equipment",1990,85.6
"Household operations, furnishings and equipment",1991,89.2
"Household operations, furnishings and equipment",1992,89
"Household operations, furnishings and equipment",1993,89.5
"Household operations, furnishings and equipment",1994,90.1
"Household operations, furnishings and equipment",1995,91
"Household operations, furnishings and equipment",1996,93.3
"Household operations, furnishings and equipment",1997,93.2
"Household operations, furnishings and equipment",1998,93.7
"Household operations, furnishings and equipment",1999,94.8
"Household operations, furnishings and equipment",2000,96
"Household operations, furnishings and equipment",2001,97.8
"Household operations, furnishings and equipment",2002,100
"Household operations, furnishings and equipment",2003,100.4
"Household operations, furnishings and equipment",2004,100.4
"Household operations, furnishings and equipment",2005,100.9
"Household operations, furnishings and equipment",2006,101.5
