Products,Year,CPI
All-items,1979,41
All-items,1980,45.4
All-items,1981,50.8
All-items,1982,55.6
All-items,1983,59.1
All-items,1984,61.7
All-items,1985,64.5
All-items,1986,66.5
All-items,1987,68.8
All-items,1988,71.2
All-items,1989,74.4
All-items,1990,78.2
All-items,1991,82.9
All-items,1992,83.5
All-items,1993,84.5
All-items,1994,85.5
All-items,1995,86.6
All-items,1996,88.2
All-items,1997,90
All-items,1998,90.6
All-items,1999,92.1
All-items,2000,95.3
All-items,2001,97.1
All-items,2002,100
All-items,2003,103.4
All-items,2004,105.3
All-items,2005,108.2
All-items,2006,110.4
All-items,2007,112.5
All-items,2008,115.9
All-items,2009,115.7
All-items,2010,118.2
All-items,2011,122.7
All-items,2012,125.1
All-items,2013,126.6
All-items,2014,128.8
All-items,2015,129.3
All-items,2016,130.9
All-items,2017,132.4
All-items,2018,135.3
All-items,2019,137.5
All-items,2020,137.9
All-items,2021,143.5
All-items,2022,154.3
All-items,2023,160.5
,,
Food ,1979,45
Food ,1980,50.4
Food ,1981,56.4
Food ,1982,58.6
Food ,1983,60
Food ,1984,62.9
Food ,1985,64.3
Food ,1986,66.8
Food ,1987,69.6
Food ,1988,72.8
Food ,1989,76.4
Food ,1990,80.2
Food ,1991,84.4
Food ,1992,83.5
Food ,1993,84.8
Food ,1994,87.6
Food ,1995,87.6
Food ,1996,88.8
Food ,1997,90.4
Food ,1998,92.2
Food ,1999,92.9
Food ,2000,94.4
Food ,2001,96.8
Food ,2002,100
Food ,2003,102.2
Food ,2004,104.5
Food ,2005,107.8
Food ,2006,110.9
Food ,2007,114.5
Food ,2008,119.2
Food ,2009,125.8
Food ,2010,128.2
Food ,2011,134.1
Food ,2012,137.8
Food ,2013,139.6
Food ,2014,141.5
Food ,2015,147.8
Food ,2016,151.4
Food ,2017,148.4
Food ,2018,148.9
Food ,2019,153
Food ,2020,157.2
Food ,2021,161
Food ,2022,175.7
Food ,2023,189.6
,,
Shelter ,1979,41.8
Shelter ,1980,45.7
Shelter ,1981,51.9
Shelter ,1982,58.5
Shelter ,1983,64.1
Shelter ,1984,67
Shelter ,1985,70.3
Shelter ,1986,70.7
Shelter ,1987,71.7
Shelter ,1988,73.3
Shelter ,1989,75.9
Shelter ,1990,80.3
Shelter ,1991,84.8
Shelter ,1992,85.3
Shelter ,1993,85.8
Shelter ,1994,85.7
Shelter ,1995,86.9
Shelter ,1996,88.8
Shelter ,1997,90.1
Shelter ,1998,89.3
Shelter ,1999,91
Shelter ,2000,97.4
Shelter ,2001,99.3
Shelter ,2002,100
Shelter ,2003,104.3
Shelter ,2004,106.9
Shelter ,2005,111.7
Shelter ,2006,115.4
Shelter ,2007,117.2
Shelter ,2008,125.5
Shelter ,2009,124
Shelter ,2010,125.5
Shelter ,2011,131.2
Shelter ,2012,135.2
Shelter ,2013,138.1
Shelter ,2014,141.1
Shelter ,2015,139.7
Shelter ,2016,139.4
Shelter ,2017,141.7
Shelter ,2018,146.1
Shelter ,2019,149.2
Shelter ,2020,150
Shelter ,2021,157.2
Shelter ,2022,170.7
Shelter ,2023,179.9
,,
"Household operations, furnishings and equipment",1979,52.8
"Household operations, furnishings and equipment",1980,56.6
"Household operations, furnishings and equipment",1981,62.5
"Household operations, furnishings and equipment",1982,69.1
"Household operations, furnishings and equipment",1983,72.2
"Household operations, furnishings and equipment",1984,74.1
"Household operations, furnishings and equipment",1985,76
"Household operations, furnishings and equipment",1986,78
"Household operations, furnishings and equipment",1987,80.1
"Household operations, furnishings and equipment",1988,83.1
"Household operations, furnishings and equipment",1989,86
"Household operations, furnishings and equipment",1990,86.8
"Household operations, furnishings and equipment",1991,90.1
"Household operations, furnishings and equipment",1992,90
"Household operations, furnishings and equipment",1993,90.5
"Household operations, furnishings and equipment",1994,92.4
"Household operations, furnishings and equipment",1995,93.9
"Household operations, furnishings and equipment",1996,95.7
"Household operations, furnishings and equipment",1997,95
"Household operations, furnishings and equipment",1998,96.6
"Household operations, furnishings and equipment",1999,97.4
"Household operations, furnishings and equipment",2000,97.5
"Household operations, furnishings and equipment",2001,98.5
"Household operations, furnishings and equipment",2002,100
"Household operations, furnishings and equipment",2003,101.3
"Household operations, furnishings and equipment",2004,101.5
"Household operations, furnishings and equipment",2005,102.4
"Household operations, furnishings and equipment",2006,102.7
"Household operations, furnishings and equipment",2007,104
"Household operations, furnishings and equipment",2008,105.7
"Household operations, furnishings and equipment",2009,108.4
"Household operations, furnishings and equipment",2010,110.7
"Household operations, furnishings and equipment",2011,111.9
"Household operations, furnishings and equipment",2012,113.1
"Household operations, furnishings and equipment",2013,115
"Household operations, furnishings and equipment",2014,117.2
"Household operations, furnishings and equipment",2015,120.5
"Household operations, furnishings and equipment",2016,122.7
"Household operations, furnishings and equipment",2017,122.3
"Household operations, furnishings and equipment",2018,122.2
"Household operations, furnishings and equipment",2019,122.1
"Household operations, furnishings and equipment",2020,122
"Household operations, furnishings and equipment",2021,122.4
"Household operations, furnishings and equipment",2022,127.3
"Household operations, furnishings and equipment",2023,127.5
,,
Clothing and footwear,1979,50.9
Clothing and footwear,1980,57
Clothing and footwear,1981,61.1
Clothing and footwear,1982,63.8
Clothing and footwear,1983,67
Clothing and footwear,1984,68.7
Clothing and footwear,1985,70.4
Clothing and footwear,1986,71.2
Clothing and footwear,1987,73.9
Clothing and footwear,1988,76.9
Clothing and footwear,1989,79.3
Clothing and footwear,1990,81.7
Clothing and footwear,1991,89.4
Clothing and footwear,1992,89.9
Clothing and footwear,1993,91.6
Clothing and footwear,1994,92.4
Clothing and footwear,1995,92
Clothing and footwear,1996,92.5
Clothing and footwear,1997,98.2
Clothing and footwear,1998,98.5
Clothing and footwear,1999,102.3
Clothing and footwear,2000,101.5
Clothing and footwear,2001,102.7
Clothing and footwear,2002,100
Clothing and footwear,2003,100.6
Clothing and footwear,2004,99
Clothing and footwear,2005,99.3
Clothing and footwear,2006,96.3
Clothing and footwear,2007,97.3
Clothing and footwear,2008,95.8
Clothing and footwear,2009,90.8
Clothing and footwear,2010,89.8
Clothing and footwear,2011,92.9
Clothing and footwear,2012,93.7
Clothing and footwear,2013,95.9
Clothing and footwear,2014,98.2
Clothing and footwear,2015,100
