Products,Year,CPI
All-items,1979,40.2
All-items,1980,44.3
All-items,1981,49.5
All-items,1982,54
All-items,1983,57.4
All-items,1984,59.8
All-items,1985,62
All-items,1986,63.7
All-items,1987,66.8
All-items,1988,69.8
All-items,1989,72.9
All-items,1990,76
All-items,1991,80
All-items,1992,80.8
All-items,1993,83.3
All-items,1994,84.8
All-items,1995,86.4
All-items,1996,88.1
All-items,1997,89.2
All-items,1998,90.4
All-items,1999,92
All-items,2000,94.4
All-items,2001,97.2
All-items,2002,100
All-items,2003,102.3
All-items,2004,104.6
All-items,2005,106.9
All-items,2006,109.1
All-items,2007,112.2
All-items,2008,115.9
All-items,2009,117.1
All-items,2010,118.7
All-items,2011,122
All-items,2012,123.9
All-items,2013,125.7
All-items,2014,128.7
All-items,2015,130.8
All-items,2016,132.2
All-items,2017,134.4
All-items,2018,137.5
All-items,2019,139.9
All-items,2020,140.7
All-items,2021,144.4
All-items,2022,153.9
All-items,2023,160
,,
Food ,1979,46.7
Food ,1980,51.6
Food ,1981,56.7
Food ,1982,60.5
Food ,1983,62.5
Food ,1984,64
Food ,1985,66.1
Food ,1986,66.5
Food ,1987,70.3
Food ,1988,72.3
Food ,1989,75.6
Food ,1990,79.1
Food ,1991,84.6
Food ,1992,84.4
Food ,1993,87
Food ,1994,88.6
Food ,1995,90.1
Food ,1996,91.5
Food ,1997,93.4
Food ,1998,94
Food ,1999,93.9
Food ,2000,95.2
Food ,2001,98
Food ,2002,100
Food ,2003,102.2
Food ,2004,104.5
Food ,2005,105.1
Food ,2006,107.6
Food ,2007,111.2
Food ,2008,115.3
Food ,2009,122.2
Food ,2010,123.1
Food ,2011,128.2
Food ,2012,131.2
Food ,2013,134
Food ,2014,138.1
Food ,2015,143.4
Food ,2016,144.5
Food ,2017,146.1
Food ,2018,147.1
Food ,2019,151.8
Food ,2020,155.3
Food ,2021,159
Food ,2022,172.2
Food ,2023,185
,,
Shelter ,1979,38.2
Shelter ,1980,41.3
Shelter ,1981,46.7
Shelter ,1982,52.8
Shelter ,1983,57.3
Shelter ,1984,59.8
Shelter ,1985,61.6
Shelter ,1986,64.2
Shelter ,1987,66.4
Shelter ,1988,68.4
Shelter ,1989,70.7
Shelter ,1990,73
Shelter ,1991,76.5
Shelter ,1992,77.1
Shelter ,1993,78.1
Shelter ,1994,79.3
Shelter ,1995,80.6
Shelter ,1996,82.9
Shelter ,1997,84
Shelter ,1998,85.9
Shelter ,1999,87.9
Shelter ,2000,91.4
Shelter ,2001,97.6
Shelter ,2002,100
Shelter ,2003,103.1
Shelter ,2004,106
Shelter ,2005,109.7
Shelter ,2006,113.5
Shelter ,2007,123.1
Shelter ,2008,135
Shelter ,2009,139.3
Shelter ,2010,140.4
Shelter ,2011,143.9
Shelter ,2012,146.7
Shelter ,2013,149.4
Shelter ,2014,154.4
Shelter ,2015,158.7
Shelter ,2016,160.5
Shelter ,2017,163.5
Shelter ,2018,167.4
Shelter ,2019,170.4
Shelter ,2020,171.9
Shelter ,2021,173.2
Shelter ,2022,182.2
Shelter ,2023,193.6
,,
"Household operations, furnishings and equipment",1979,50.7
"Household operations, furnishings and equipment",1980,55.5
"Household operations, furnishings and equipment",1981,61
"Household operations, furnishings and equipment",1982,67
"Household operations, furnishings and equipment",1983,70.8
"Household operations, furnishings and equipment",1984,72.8
"Household operations, furnishings and equipment",1985,74.7
"Household operations, furnishings and equipment",1986,75.5
"Household operations, furnishings and equipment",1987,78.4
"Household operations, furnishings and equipment",1988,82.4
"Household operations, furnishings and equipment",1989,84.9
"Household operations, furnishings and equipment",1990,86.6
"Household operations, furnishings and equipment",1991,88
"Household operations, furnishings and equipment",1992,88.6
"Household operations, furnishings and equipment",1993,89.3
"Household operations, furnishings and equipment",1994,89.8
"Household operations, furnishings and equipment",1995,91
"Household operations, furnishings and equipment",1996,92.3
"Household operations, furnishings and equipment",1997,91.8
"Household operations, furnishings and equipment",1998,94.3
"Household operations, furnishings and equipment",1999,95.5
"Household operations, furnishings and equipment",2000,97
"Household operations, furnishings and equipment",2001,98.6
"Household operations, furnishings and equipment",2002,100
"Household operations, furnishings and equipment",2003,100.3
"Household operations, furnishings and equipment",2004,101.1
"Household operations, furnishings and equipment",2005,101.6
"Household operations, furnishings and equipment",2006,101.3
"Household operations, furnishings and equipment",2007,100.8
"Household operations, furnishings and equipment",2008,101.7
"Household operations, furnishings and equipment",2009,103.8
"Household operations, furnishings and equipment",2010,104.2
"Household operations, furnishings and equipment",2011,105.6
"Household operations, furnishings and equipment",2012,107.3
"Household operations, furnishings and equipment",2013,108.7
"Household operations, furnishings and equipment",2014,110.5
"Household operations, furnishings and equipment",2015,112.4
"Household operations, furnishings and equipment",2016,114.4
"Household operations, furnishings and equipment",2017,112.8
"Household operations, furnishings and equipment",2018,113.8
"Household operations, furnishings and equipment",2019,114.5
"Household operations, furnishings and equipment",2020,116.1
"Household operations, furnishings and equipment",2021,116.8
"Household operations, furnishings and equipment",2022,121.4
"Household operations, furnishings and equipment",2023,122
,,
Clothing and footwear,1979,50.2
Clothing and footwear,1980,56.6
Clothing and footwear,1981,60.7
Clothing and footwear,1982,64.4
Clothing and footwear,1983,67.4
Clothing and footwear,1984,69.5
Clothing and footwear,1985,71.3
Clothing and footwear,1986,71.2
Clothing and footwear,1987,73.4
Clothing and footwear,1988,77.6
Clothing and footwear,1989,80.3
Clothing and footwear,1990,82.9
Clothing and footwear,1991,92.6
Clothing and footwear,1992,91
Clothing and footwear,1993,97.1
Clothing and footwear,1994,99.5
Clothing and footwear,1995,97.9
Clothing and footwear,1996,96.1
Clothing and footwear,1997,95.9
Clothing and footwear,1998,96.3
Clothing and footwear,1999,98.1
Clothing and footwear,2000,98.2
Clothing and footwear,2001,99
Clothing and footwear,2002,100
Clothing and footwear,2003,99.6
Clothing and footwear,2004,100.3
Clothing and footwear,2005,101
Clothing and footwear,2006,97.6
Clothing and footwear,2007,96.2
Clothing and footwear,2008,95.1
Clothing and footwear,2009,96.2
Clothing and footwear,2010,96.2
Clothing and footwear,2011,95.1
Clothing and footwear,2012,95.8
Clothing and footwear,2013,96.5
Clothing and footwear,2014,97.1
Clothing and footwear,2015,98.8
Clothing and footwear,2016,98.6
Clothing and footwear,2017,99.8
Clothing and footwear,2018,100.8
Clothing and footwear,2019,103.5
Clothing and footwear,2020,102.4
Clothing and footwear,2021,102.6
Clothing and footwear,2022,102.2
Clothing and footwear,2023,102.5
,,
Transportation,1979,36.9
Transportation,1980,41.8
Transportation,1981,48.9
Transportation,1982,51.9
Transportation,1983,55
Transportation,1984,58
Transportation,1985,60.3
Transportation,1986,60.5
Transportation,1987,62.8
Transportation,1988,64.8
Transportation,1989,68.7
Transportation,1990,74.4
Transportation,1991,74.3
Transportation,1992,75.6
Transportation,1993,79.1
Transportation,1994,82.7
Transportation,1995,86.5
Transportation,1996,89.4
Transportation,1997,90.6
Transportation,1998,91
