Products,Year,CPI
All-items,1979,..
All-items,1980,..
All-items,1981,..
All-items,1982,..
All-items,1983,62
All-items,1984,64.4
All-items,1985,66.5
All-items,1986,69
All-items,1987,71.2
All-items,1988,73.2
All-items,1989,76
All-items,1990,79.1
All-items,1991,84.2
All-items,1992,85
All-items,1993,86.9
All-items,1994,88.7
All-items,1995,89.9
All-items,1996,91.3
All-items,1997,93.4
All-items,1998,94.3
All-items,1999,95.3
All-items,2000,97.5
All-items,2001,99.3
All-items,2002,100
All-items,2003,101.9
All-items,2004,103
All-items,2005,105.3
All-items,2006,106.8
All-items,2007,109.5
All-items,2008,113.4
All-items,2009,113.8
All-items,2010,114.7
All-items,2011,118.1
All-items,2012,120.8
All-items,2013,122.8
All-items,2014,124.4
All-items,2015,124.1
All-items,2016,125.4
All-items,2017,127.5
All-items,2018,130.6
All-items,2019,133.2
All-items,2020,134.5
All-items,2021,138.9
All-items,2022,148.3
All-items,2023,155.5
,,
Food ,1979,..
Food ,1980,..
Food ,1981,..
Food ,1982,..
Food ,1983,63.9
Food ,1984,67
Food ,1985,68.6
Food ,1986,72.1
Food ,1987,74.1
Food ,1988,75.6
Food ,1989,79.1
Food ,1990,80.9
Food ,1991,85.1
Food ,1992,84.4
Food ,1993,86.4
Food ,1994,86.9
Food ,1995,87.5
Food ,1996,88.9
Food ,1997,93.1
Food ,1998,95.3
Food ,1999,95.2
Food ,2000,95.2
Food ,2001,99.6
Food ,2002,100
Food ,2003,100.9
Food ,2004,102.4
Food ,2005,104.7
Food ,2006,105.9
Food ,2007,108.5
Food ,2008,111.9
Food ,2009,116.6
Food ,2010,117.2
Food ,2011,120.2
Food ,2012,123.3
Food ,2013,125.4
Food ,2014,129.4
Food ,2015,132.3
Food ,2016,133.3
Food ,2017,132.5
Food ,2018,131.5
Food ,2019,134.1
Food ,2020,132.4
Food ,2021,133.9
Food ,2022,143.4
Food ,2023,154.7
,,
Shelter ,1979,..
Shelter ,1980,..
Shelter ,1981,..
Shelter ,1982,..
Shelter ,1983,68.6
Shelter ,1984,69.7
Shelter ,1985,71.1
Shelter ,1986,71.9
Shelter ,1987,74.2
Shelter ,1988,77.1
Shelter ,1989,79.3
Shelter ,1990,83.1
Shelter ,1991,88.7
Shelter ,1992,90.5
Shelter ,1993,92.4
Shelter ,1994,94.7
Shelter ,1995,94.8
Shelter ,1996,94.7
Shelter ,1997,96
Shelter ,1998,95.7
Shelter ,1999,95.3
Shelter ,2000,99.3
Shelter ,2001,101.3
Shelter ,2002,100
Shelter ,2003,101.5
Shelter ,2004,103.5
Shelter ,2005,108
Shelter ,2006,112
Shelter ,2007,118.5
Shelter ,2008,128.5
Shelter ,2009,128.4
Shelter ,2010,129
Shelter ,2011,134.8
Shelter ,2012,139.3
Shelter ,2013,143.5
Shelter ,2014,147.2
Shelter ,2015,143.7
Shelter ,2016,144.3
Shelter ,2017,147.9
Shelter ,2018,154
Shelter ,2019,160.7
Shelter ,2020,167.5
Shelter ,2021,173.3
Shelter ,2022,185.8
Shelter ,2023,198.9
,,
"Household operations, furnishings and equipment",1979,..
"Household operations, furnishings and equipment",1980,..
"Household operations, furnishings and equipment",1981,..
"Household operations, furnishings and equipment",1982,..
"Household operations, furnishings and equipment",1983,71.8
"Household operations, furnishings and equipment",1984,74.6
"Household operations, furnishings and equipment",1985,76.6
"Household operations, furnishings and equipment",1986,78.2
"Household operations, furnishings and equipment",1987,80.6
"Household operations, furnishings and equipment",1988,84.4
"Household operations, furnishings and equipment",1989,86.3
"Household operations, furnishings and equipment",1990,88.3
"Household operations, furnishings and equipment",1991,91.2
"Household operations, furnishings and equipment",1992,91.5
"Household operations, furnishings and equipment",1993,91.8
"Household operations, furnishings and equipment",1994,92.7
"Household operations, furnishings and equipment",1995,92.9
"Household operations, furnishings and equipment",1996,93.5
"Household operations, furnishings and equipment",1997,93.2
"Household operations, furnishings and equipment",1998,94.1
"Household operations, furnishings and equipment",1999,97.5
"Household operations, furnishings and equipment",2000,98.6
"Household operations, furnishings and equipment",2001,100
"Household operations, furnishings and equipment",2002,100
"Household operations, furnishings and equipment",2003,100.7
"Household operations, furnishings and equipment",2004,99.3
"Household operations, furnishings and equipment",2005,99.3
"Household operations, furnishings and equipment",2006,99.4
"Household operations, furnishings and equipment",2007,100.6
"Household operations, furnishings and equipment",2008,101.4
"Household operations, furnishings and equipment",2009,104
"Household operations, furnishings and equipment",2010,102.4
"Household operations, furnishings and equipment",2011,103.4
"Household operations, furnishings and equipment",2012,104.7
"Household operations, furnishings and equipment",2013,105.5
"Household operations, furnishings and equipment",2014,106.2
"Household operations, furnishings and equipment",2015,106.6
"Household operations, furnishings and equipment",2016,108.7
"Household operations, furnishings and equipment",2017,108.3
"Household operations, furnishings and equipment",2018,107.8
