Location,Month,Prices
"Charlottetown, Prince Edward Island",Jan-90,50.3
"Charlottetown, Prince Edward Island",Feb-90,50.5
"Charlottetown, Prince Edward Island",Mar-90,50.8
"Charlottetown, Prince Edward Island",Apr-90,51.1
"Charlottetown, Prince Edward Island",May-90,51.7
"Charlottetown, Prince Edward Island",Jun-90,52.2
"Charlottetown, Prince Edward Island",Jul-90,53.2
"Charlottetown, Prince Edward Island",Aug-90,53.2
"Charlottetown, Prince Edward Island",Sep-90,53.2
"Charlottetown, Prince Edward Island",Oct-90,53.3
"Charlottetown, Prince Edward Island",Nov-90,53.7
"Charlottetown, Prince Edward Island",Dec-90,60.5
"Charlottetown, Prince Edward Island",Jan-91,68.4
"Charlottetown, Prince Edward Island",Feb-91,68
"Charlottetown, Prince Edward Island",Mar-91,64.3
"Charlottetown, Prince Edward Island",Apr-91,60.1
"Charlottetown, Prince Edward Island",May-91,56.5
"Charlottetown, Prince Edward Island",Jun-91,56.6
"Charlottetown, Prince Edward Island",Jul-91,55.6
"Charlottetown, Prince Edward Island",Aug-91,55.3
"Charlottetown, Prince Edward Island",Sep-91,56.2
"Charlottetown, Prince Edward Island",Oct-91,57.3
"Charlottetown, Prince Edward Island",Nov-91,57.2
"Charlottetown, Prince Edward Island",Dec-91,57.3
"Charlottetown, Prince Edward Island",Jan-92,57.7
"Charlottetown, Prince Edward Island",Feb-92,57.9
"Charlottetown, Prince Edward Island",Mar-92,57.7
"Charlottetown, Prince Edward Island",Apr-92,56.4
"Charlottetown, Prince Edward Island",May-92,57.1
"Charlottetown, Prince Edward Island",Jun-92,56.4
"Charlottetown, Prince Edward Island",Jul-92,56.4
"Charlottetown, Prince Edward Island",Aug-92,56.6
"Charlottetown, Prince Edward Island",Sep-92,56.6
"Charlottetown, Prince Edward Island",Oct-92,56.6
"Charlottetown, Prince Edward Island",Nov-92,56.6
"Charlottetown, Prince Edward Island",Dec-92,56.6
"Charlottetown, Prince Edward Island",Jan-93,56.6
"Charlottetown, Prince Edward Island",Feb-93,56.6
"Charlottetown, Prince Edward Island",Mar-93,56.6
"Charlottetown, Prince Edward Island",Apr-93,54.2
"Charlottetown, Prince Edward Island",May-93,54
"Charlottetown, Prince Edward Island",Jun-93,54
"Charlottetown, Prince Edward Island",Jul-93,54.5
"Charlottetown, Prince Edward Island",Aug-93,54.5
"Charlottetown, Prince Edward Island",Sep-93,54.5
"Charlottetown, Prince Edward Island",Oct-93,54.7
"Charlottetown, Prince Edward Island",Nov-93,54.7
"Charlottetown, Prince Edward Island",Dec-93,54.7
"Charlottetown, Prince Edward Island",Jan-94,53.3
"Charlottetown, Prince Edward Island",Feb-94,53.2
"Charlottetown, Prince Edward Island",Mar-94,53.2
"Charlottetown, Prince Edward Island",Apr-94,53.2
"Charlottetown, Prince Edward Island",May-94,54.2
"Charlottetown, Prince Edward Island",Jun-94,54.2
"Charlottetown, Prince Edward Island",Jul-94,54.8
"Charlottetown, Prince Edward Island",Aug-94,56.5
"Charlottetown, Prince Edward Island",Sep-94,57.1
"Charlottetown, Prince Edward Island",Oct-94,58.3
"Charlottetown, Prince Edward Island",Nov-94,58.1
"Charlottetown, Prince Edward Island",Dec-94,57.6
"Charlottetown, Prince Edward Island",Jan-95,58.1
"Charlottetown, Prince Edward Island",Feb-95,58.3
"Charlottetown, Prince Edward Island",Mar-95,58.3
"Charlottetown, Prince Edward Island",Apr-95,58.3
"Charlottetown, Prince Edward Island",May-95,58.5
"Charlottetown, Prince Edward Island",Jun-95,59.1
"Charlottetown, Prince Edward Island",Jul-95,59.1
