Location,Month,Prices
"St. John's, Newfoundland and Labrador",Jan-90,34.4
"St. John's, Newfoundland and Labrador",Feb-90,36.6
"St. John's, Newfoundland and Labrador",Mar-90,36.6
"St. John's, Newfoundland and Labrador",Apr-90,36.7
"St. John's, Newfoundland and Labrador",May-90,36.7
"St. John's, Newfoundland and Labrador",Jun-90,36.7
"St. John's, Newfoundland and Labrador",Jul-90,36.7
"St. John's, Newfoundland and Labrador",Aug-90,36.7
"St. John's, Newfoundland and Labrador",Sep-90,37.7
"St. John's, Newfoundland and Labrador",Oct-90,40.6
"St. John's, Newfoundland and Labrador",Nov-90,45.1
"St. John's, Newfoundland and Labrador",Dec-90,46.9
"St. John's, Newfoundland and Labrador",Jan-91,51.4
"St. John's, Newfoundland and Labrador",Feb-91,48.4
"St. John's, Newfoundland and Labrador",Mar-91,41.1
"St. John's, Newfoundland and Labrador",Apr-91,37.1
"St. John's, Newfoundland and Labrador",May-91,39.3
"St. John's, Newfoundland and Labrador",Jun-91,39.3
"St. John's, Newfoundland and Labrador",Jul-91,39.3
"St. John's, Newfoundland and Labrador",Aug-91,39.3
"St. John's, Newfoundland and Labrador",Sep-91,39.3
"St. John's, Newfoundland and Labrador",Oct-91,39.3
"St. John's, Newfoundland and Labrador",Nov-91,39.3
"St. John's, Newfoundland and Labrador",Dec-91,39.3
"St. John's, Newfoundland and Labrador",Jan-92,39.3
"St. John's, Newfoundland and Labrador",Feb-92,39.3
"St. John's, Newfoundland and Labrador",Mar-92,39.3
"St. John's, Newfoundland and Labrador",Apr-92,39.3
"St. John's, Newfoundland and Labrador",May-92,39.3
"St. John's, Newfoundland and Labrador",Jun-92,39.3
"St. John's, Newfoundland and Labrador",Jul-92,39.3
"St. John's, Newfoundland and Labrador",Aug-92,39.3
"St. John's, Newfoundland and Labrador",Sep-92,40.4
"St. John's, Newfoundland and Labrador",Oct-92,40.4
"St. John's, Newfoundland and Labrador",Nov-92,40.4
"St. John's, Newfoundland and Labrador",Dec-92,40.4
"St. John's, Newfoundland and Labrador",Jan-93,40.4
"St. John's, Newfoundland and Labrador",Feb-93,40.4
"St. John's, Newfoundland and Labrador",Mar-93,40.4
"St. John's, Newfoundland and Labrador",Apr-93,40.4
"St. John's, Newfoundland and Labrador",May-93,40.4
"St. John's, Newfoundland and Labrador",Jun-93,40.4
"St. John's, Newfoundland and Labrador",Jul-93,40.4
"St. John's, Newfoundland and Labrador",Aug-93,40.4
"St. John's, Newfoundland and Labrador",Sep-93,40.4
"St. John's, Newfoundland and Labrador",Oct-93,38.3
"St. John's, Newfoundland and Labrador",Nov-93,37.2
"St. John's, Newfoundland and Labrador",Dec-93,36.1
"St. John's, Newfoundland and Labrador",Jan-94,36.1
"St. John's, Newfoundland and Labrador",Feb-94,36.1
"St. John's, Newfoundland and Labrador",Mar-94,36.1
"St. John's, Newfoundland and Labrador",Apr-94,36.1
"St. John's, Newfoundland and Labrador",May-94,36.1
