Industry,Year,Employment
Goods-producing sector ,1976,135.2
Goods-producing sector ,1977,132.9
Goods-producing sector ,1978,136.2
Goods-producing sector ,1979,140.5
Goods-producing sector ,1980,142.6
Goods-producing sector ,1981,142.5
Goods-producing sector ,1982,130.9
Goods-producing sector ,1983,131.2
Goods-producing sector ,1984,137.9
Goods-producing sector ,1985,138.6
Goods-producing sector ,1986,139.2
Goods-producing sector ,1987,141.2
Goods-producing sector ,1988,137.8
Goods-producing sector ,1989,140.1
Goods-producing sector ,1990,133.6
Goods-producing sector ,1991,129.2
Goods-producing sector ,1992,127.7
Goods-producing sector ,1993,126.2
Goods-producing sector ,1994,130.4
Goods-producing sector ,1995,132.1
Goods-producing sector ,1996,136.4
Goods-producing sector ,1997,139.4
Goods-producing sector ,1998,144.8
Goods-producing sector ,1999,143.9
Goods-producing sector ,2000,144.4
Goods-producing sector ,2001,136.5
Goods-producing sector ,2002,137.3
Goods-producing sector ,2003,138.1
Goods-producing sector ,2004,138
Goods-producing sector ,2005,137.9
Goods-producing sector ,2006,138
Goods-producing sector ,2007,141.2
Goods-producing sector ,2008,148
Goods-producing sector ,2009,141
Goods-producing sector ,2010,142.2
Goods-producing sector ,2011,145.4
Goods-producing sector ,2012,145.5
Goods-producing sector ,2013,149.4
Goods-producing sector ,2014,147.9
Goods-producing sector ,2015,147.2
Goods-producing sector ,2016,155
Goods-producing sector ,2017,155.4
Goods-producing sector ,2018,152
Goods-producing sector ,2019,154
Goods-producing sector ,2020,146.5
Goods-producing sector ,2021,149.9
Goods-producing sector ,2022,149.5
Goods-producing sector ,2023,152.7
Agriculture ,1976,36.1
Agriculture ,1977,41.9
Agriculture ,1978,41.1
Agriculture ,1979,42.9
Agriculture ,1980,42.7
Agriculture ,1981,42.8
Agriculture ,1982,42.2
Agriculture ,1983,43.2
Agriculture ,1984,42.1
Agriculture ,1985,42
Agriculture ,1986,42.2
Agriculture ,1987,40.8
Agriculture ,1988,39
Agriculture ,1989,40.8
Agriculture ,1990,39.9
Agriculture ,1991,40.4
Agriculture ,1992,40.2
Agriculture ,1993,41.6
Agriculture ,1994,39.4
Agriculture ,1995,38.5
Agriculture ,1996,39.5
Agriculture ,1997,40.8
Agriculture ,1998,39.3
Agriculture ,1999,37
Agriculture ,2000,32.8
Agriculture ,2001,28.6
Agriculture ,2002,30.8
Agriculture ,2003,30.3
Agriculture ,2004,29.8
Agriculture ,2005,30.1
Agriculture ,2006,30.9
Agriculture ,2007,29.4
Agriculture ,2008,29.1
Agriculture ,2009,27.6
Agriculture ,2010,27.4
Agriculture ,2011,25.4
Agriculture ,2012,22.9
Agriculture ,2013,25.6
Agriculture ,2014,24.4
Agriculture ,2015,24.1
Agriculture ,2016,26.2
Agriculture ,2017,25.6
Agriculture ,2018,26.4
Agriculture ,2019,26.4
Agriculture ,2020,27.2
Agriculture ,2021,25.4
Agriculture ,2022,19.6
Agriculture ,2023,14.2
"Forestry, fishing, mining, quarrying, oil and gas",1976,6.3
"Forestry, fishing, mining, quarrying, oil and gas",1977,8.2
"Forestry, fishing, mining, quarrying, oil and gas",1978,9
"Forestry, fishing, mining, quarrying, oil and gas",1979,9.4
"Forestry, fishing, mining, quarrying, oil and gas",1980,10.3
"Forestry, fishing, mining, quarrying, oil and gas",1981,9
"Forestry, fishing, mining, quarrying, oil and gas",1982,7.3
"Forestry, fishing, mining, quarrying, oil and gas",1983,6
"Forestry, fishing, mining, quarrying, oil and gas",1984,9.1
"Forestry, fishing, mining, quarrying, oil and gas",1985,9.4
"Forestry, fishing, mining, quarrying, oil and gas",1986,8.4
"Forestry, fishing, mining, quarrying, oil and gas",1987,8.4
"Forestry, fishing, mining, quarrying, oil and gas",1988,9.6
"Forestry, fishing, mining, quarrying, oil and gas",1989,9.5
"Forestry, fishing, mining, quarrying, oil and gas",1990,8.4
"Forestry, fishing, mining, quarrying, oil and gas",1991,8.3
"Forestry, fishing, mining, quarrying, oil and gas",1992,7.8
"Forestry, fishing, mining, quarrying, oil and gas",1993,7.6
"Forestry, fishing, mining, quarrying, oil and gas",1994,7.3
"Forestry, fishing, mining, quarrying, oil and gas",1995,7.9
"Forestry, fishing, mining, quarrying, oil and gas",1996,8.9
"Forestry, fishing, mining, quarrying, oil and gas",1997,10.3
"Forestry, fishing, mining, quarrying, oil and gas",1998,9.8
"Forestry, fishing, mining, quarrying, oil and gas",1999,6.5
"Forestry, fishing, mining, quarrying, oil and gas",2000,6.3
"Forestry, fishing, mining, quarrying, oil and gas",2001,6.2
"Forestry, fishing, mining, quarrying, oil and gas",2002,5.6
"Forestry, fishing, mining, quarrying, oil and gas",2003,5
"Forestry, fishing, mining, quarrying, oil and gas",2004,5.4
"Forestry, fishing, mining, quarrying, oil and gas",2005,5.6
"Forestry, fishing, mining, quarrying, oil and gas",2006,6.5
"Forestry, fishing, mining, quarrying, oil and gas",2007,6.5
"Forestry, fishing, mining, quarrying, oil and gas",2008,6.3
"Forestry, fishing, mining, quarrying, oil and gas",2009,6.3
"Forestry, fishing, mining, quarrying, oil and gas",2010,7.6
"Forestry, fishing, mining, quarrying, oil and gas",2011,7.7
"Forestry, fishing, mining, quarrying, oil and gas",2012,7
"Forestry, fishing, mining, quarrying, oil and gas",2013,7.2
"Forestry, fishing, mining, quarrying, oil and gas",2014,6.8
"Forestry, fishing, mining, quarrying, oil and gas",2015,6.1
"Forestry, fishing, mining, quarrying, oil and gas",2016,6.6
"Forestry, fishing, mining, quarrying, oil and gas",2017,7
"Forestry, fishing, mining, quarrying, oil and gas",2018,6.6
"Forestry, fishing, mining, quarrying, oil and gas",2019,6
"Forestry, fishing, mining, quarrying, oil and gas",2020,4.7
"Forestry, fishing, mining, quarrying, oil and gas",2021,4.3
"Forestry, fishing, mining, quarrying, oil and gas",2022,5.2
"Forestry, fishing, mining, quarrying, oil and gas",2023,6.6
,,
Forestry and logging and support activities for forestry,1976,..
Forestry and logging and support activities for forestry,1977,..
Forestry and logging and support activities for forestry,1978,..
Forestry and logging and support activities for forestry,1979,..
