Industry,Year,Employment
Goods-producing sector ,1976,50.7
Goods-producing sector ,1977,48.5
Goods-producing sector ,1978,49.4
Goods-producing sector ,1979,57.8
Goods-producing sector ,1980,60.3
Goods-producing sector ,1981,60.8
Goods-producing sector ,1982,53.4
Goods-producing sector ,1983,52.2
Goods-producing sector ,1984,51.8
Goods-producing sector ,1985,52.3
Goods-producing sector ,1986,53.3
Goods-producing sector ,1987,53.9
Goods-producing sector ,1988,57.7
Goods-producing sector ,1989,58.8
Goods-producing sector ,1990,54.4
Goods-producing sector ,1991,52.7
Goods-producing sector ,1992,47.1
Goods-producing sector ,1993,45.4
Goods-producing sector ,1994,44.2
Goods-producing sector ,1995,42.8
Goods-producing sector ,1996,40.2
Goods-producing sector ,1997,42.4
Goods-producing sector ,1998,43
Goods-producing sector ,1999,46.3
Goods-producing sector ,2000,42.5
Goods-producing sector ,2001,43.5
Goods-producing sector ,2002,42.6
Goods-producing sector ,2003,42
Goods-producing sector ,2004,47.4
Goods-producing sector ,2005,48.6
Goods-producing sector ,2006,49.7
Goods-producing sector ,2007,49.3
Goods-producing sector ,2008,51.5
Goods-producing sector ,2009,47.5
Goods-producing sector ,2010,48.5
Goods-producing sector ,2011,53.3
Goods-producing sector ,2012,54
Goods-producing sector ,2013,56.4
Goods-producing sector ,2014,56.7
Goods-producing sector ,2015,56.6
Goods-producing sector ,2016,52.5
Goods-producing sector ,2017,46.8
Goods-producing sector ,2018,47.1
Goods-producing sector ,2019,47.9
Goods-producing sector ,2020,43
Goods-producing sector ,2021,45.7
Goods-producing sector ,2022,47.8
Goods-producing sector ,2023,49.2
Agriculture ,1976,1.1
Agriculture ,1977,1.5
Agriculture ,1978,0.8
Agriculture ,1979,0.6
Agriculture ,1980,0.8
Agriculture ,1981,1
Agriculture ,1982,1.2
Agriculture ,1983,1.3
Agriculture ,1984,1.3
Agriculture ,1985,1.3
Agriculture ,1986,0.9
Agriculture ,1987,1.3
Agriculture ,1988,1.3
Agriculture ,1989,2.1
Agriculture ,1990,1.2
Agriculture ,1991,1.3
Agriculture ,1992,1.6
Agriculture ,1993,1.3
Agriculture ,1994,1.3
Agriculture ,1995,1.3
Agriculture ,1996,1.2
Agriculture ,1997,1.1
Agriculture ,1998,0.9
Agriculture ,1999,1.1
Agriculture ,2000,1
Agriculture ,2001,1
Agriculture ,2002,1.1
Agriculture ,2003,1.5
Agriculture ,2004,1.3
Agriculture ,2005,2.2
Agriculture ,2006,2.1
Agriculture ,2007,1.2
Agriculture ,2008,0.9
Agriculture ,2009,0.7
Agriculture ,2010,1.6
Agriculture ,2011,2.3
Agriculture ,2012,1.5
Agriculture ,2013,1.4
Agriculture ,2014,1.3
Agriculture ,2015,1.5
Agriculture ,2016,1.3
Agriculture ,2017,1.7
Agriculture ,2018,1.6
Agriculture ,2019,1.5
Agriculture ,2020,1.2
Agriculture ,2021,1.1
Agriculture ,2022,1
Agriculture ,2023,1.3
"Forestry, fishing, mining, quarrying, oil and gas",1976,13.9
"Forestry, fishing, mining, quarrying, oil and gas",1977,11.6
"Forestry, fishing, mining, quarrying, oil and gas",1978,12
"Forestry, fishing, mining, quarrying, oil and gas",1979,16.4
"Forestry, fishing, mining, quarrying, oil and gas",1980,17.7
"Forestry, fishing, mining, quarrying, oil and gas",1981,19.5
"Forestry, fishing, mining, quarrying, oil and gas",1982,16.9
"Forestry, fishing, mining, quarrying, oil and gas",1983,15.5
"Forestry, fishing, mining, quarrying, oil and gas",1984,15.8
"Forestry, fishing, mining, quarrying, oil and gas",1985,16.9
"Forestry, fishing, mining, quarrying, oil and gas",1986,16.9
"Forestry, fishing, mining, quarrying, oil and gas",1987,17.8
"Forestry, fishing, mining, quarrying, oil and gas",1988,18.2
"Forestry, fishing, mining, quarrying, oil and gas",1989,16.7
"Forestry, fishing, mining, quarrying, oil and gas",1990,17
"Forestry, fishing, mining, quarrying, oil and gas",1991,16.3
"Forestry, fishing, mining, quarrying, oil and gas",1992,14.6
"Forestry, fishing, mining, quarrying, oil and gas",1993,14.9
"Forestry, fishing, mining, quarrying, oil and gas",1994,15.8
"Forestry, fishing, mining, quarrying, oil and gas",1995,15.6
"Forestry, fishing, mining, quarrying, oil and gas",1996,14.3
"Forestry, fishing, mining, quarrying, oil and gas",1997,14.5
"Forestry, fishing, mining, quarrying, oil and gas",1998,14.8
"Forestry, fishing, mining, quarrying, oil and gas",1999,14.4
"Forestry, fishing, mining, quarrying, oil and gas",2000,14.3
"Forestry, fishing, mining, quarrying, oil and gas",2001,14
"Forestry, fishing, mining, quarrying, oil and gas",2002,13.9
"Forestry, fishing, mining, quarrying, oil and gas",2003,14.3
"Forestry, fishing, mining, quarrying, oil and gas",2004,15.5
"Forestry, fishing, mining, quarrying, oil and gas",2005,15.1
"Forestry, fishing, mining, quarrying, oil and gas",2006,16.4
"Forestry, fishing, mining, quarrying, oil and gas",2007,16.6
"Forestry, fishing, mining, quarrying, oil and gas",2008,16.3
"Forestry, fishing, mining, quarrying, oil and gas",2009,15.5
"Forestry, fishing, mining, quarrying, oil and gas",2010,17.7
"Forestry, fishing, mining, quarrying, oil and gas",2011,17.6
"Forestry, fishing, mining, quarrying, oil and gas",2012,17.1
"Forestry, fishing, mining, quarrying, oil and gas",2013,17.6
"Forestry, fishing, mining, quarrying, oil and gas",2014,17.9
"Forestry, fishing, mining, quarrying, oil and gas",2015,16.6
"Forestry, fishing, mining, quarrying, oil and gas",2016,15.2
"Forestry, fishing, mining, quarrying, oil and gas",2017,13
"Forestry, fishing, mining, quarrying, oil and gas",2018,13.4
"Forestry, fishing, mining, quarrying, oil and gas",2019,14.3
"Forestry, fishing, mining, quarrying, oil and gas",2020,13
"Forestry, fishing, mining, quarrying, oil and gas",2021,14.8
"Forestry, fishing, mining, quarrying, oil and gas",2022,16.1
"Forestry, fishing, mining, quarrying, oil and gas",2023,16.5
,,
Forestry and logging and support activities for forestry,1976,0
Forestry and logging and support activities for forestry,1977,0
Forestry and logging and support activities for forestry,1978,0
Forestry and logging and support activities for forestry,1979,0
Forestry and logging and support activities for forestry,1980,0
Forestry and logging and support activities for forestry,1981,0
Forestry and logging and support activities for forestry,1982,0
Forestry and logging and support activities for forestry,1983,0
Forestry and logging and support activities for forestry,1984,0
Forestry and logging and support activities for forestry,1985,0
Forestry and logging and support activities for forestry,1986,0
Forestry and logging and support activities for forestry,1987,1.6
Forestry and logging and support activities for forestry,1988,1.6
Forestry and logging and support activities for forestry,1989,1.8
Forestry and logging and support activities for forestry,1990,1.9
Forestry and logging and support activities for forestry,1991,1.3
Forestry and logging and support activities for forestry,1992,1.6
Forestry and logging and support activities for forestry,1993,1.3
Forestry and logging and support activities for forestry,1994,1.6
Forestry and logging and support activities for forestry,1995,1.9
Forestry and logging and support activities for forestry,1996,1.2
Forestry and logging and support activities for forestry,1997,1.5
Forestry and logging and support activities for forestry,1998,1.7
Forestry and logging and support activities for forestry,1999,1.8
Forestry and logging and support activities for forestry,2000,1.3
Forestry and logging and support activities for forestry,2001,1.3
Forestry and logging and support activities for forestry,2002,1
Forestry and logging and support activities for forestry,2003,0.7
Forestry and logging and support activities for forestry,2004,1.2
Forestry and logging and support activities for forestry,2005,1.5
Forestry and logging and support activities for forestry,2006,0.9
Forestry and logging and support activities for forestry,2007,0.5
Forestry and logging and support activities for forestry,2008,0.7
Forestry and logging and support activities for forestry,2009,0.6
Forestry and logging and support activities for forestry,2010,1
Forestry and logging and support activities for forestry,2011,1.1
Forestry and logging and support activities for forestry,2012,0.7
Forestry and logging and support activities for forestry,2013,0
Forestry and logging and support activities for forestry,2014,0.9
Forestry and logging and support activities for forestry,2015,1.2
Forestry and logging and support activities for forestry,2016,0.8
Forestry and logging and support activities for forestry,2017,1
Forestry and logging and support activities for forestry,2018,0.8
Forestry and logging and support activities for forestry,2019,0.8
Forestry and logging and support activities for forestry,2020,0.8
Forestry and logging and support activities for forestry,2021,0.9
Forestry and logging and support activities for forestry,2022,
Forestry and logging and support activities for forestry,2023,
,,
"Fishing, hunting and trapping",1976,0
"Fishing, hunting and trapping",1977,0
"Fishing, hunting and trapping",1978,0
"Fishing, hunting and trapping",1979,0
"Fishing, hunting and trapping",1980,0
"Fishing, hunting and trapping",1981,0
"Fishing, hunting and trapping",1982,0
"Fishing, hunting and trapping",1983,0
"Fishing, hunting and trapping",1984,0
"Fishing, hunting and trapping",1985,0
"Fishing, hunting and trapping",1986,0
"Fishing, hunting and trapping",1987,12.6
"Fishing, hunting and trapping",1988,12.3
"Fishing, hunting and trapping",1989,10.1
"Fishing, hunting and trapping",1990,10.6
"Fishing, hunting and trapping",1991,11.2
"Fishing, hunting and trapping",1992,9.3
"Fishing, hunting and trapping",1993,10.4
"Fishing, hunting and trapping",1994,10.5
"Fishing, hunting and trapping",1995,8.2
"Fishing, hunting and trapping",1996,8.6
"Fishing, hunting and trapping",1997,7.9
"Fishing, hunting and trapping",1998,8.9
"Fishing, hunting and trapping",1999,8.2
"Fishing, hunting and trapping",2000,8.2
"Fishing, hunting and trapping",2001,6.8
"Fishing, hunting and trapping",2002,7.6
"Fishing, hunting and trapping",2003,7.9
"Fishing, hunting and trapping",2004,8.3
"Fishing, hunting and trapping",2005,8.7
"Fishing, hunting and trapping",2006,8.2
"Fishing, hunting and trapping",2007,7.5
"Fishing, hunting and trapping",2008,6.6
"Fishing, hunting and trapping",2009,6
"Fishing, hunting and trapping",2010,5.8
"Fishing, hunting and trapping",2011,4.4
"Fishing, hunting and trapping",2012,3.9
"Fishing, hunting and trapping",2013,3.9
"Fishing, hunting and trapping",2014,3.2
"Fishing, hunting and trapping",2015,3.5
"Fishing, hunting and trapping",2016,3.5
"Fishing, hunting and trapping",2017,3.1
"Fishing, hunting and trapping",2018,3.8
"Fishing, hunting and trapping",2019,3.6
"Fishing, hunting and trapping",2020,3.5
"Fishing, hunting and trapping",2021,3.7
"Fishing, hunting and trapping",2022,3.7
"Fishing, hunting and trapping",2023,2.2
,,
"Mining, quarrying, and oil and gas extraction",1976,0
"Mining, quarrying, and oil and gas extraction",1977,0
"Mining, quarrying, and oil and gas extraction",1978,0
"Mining, quarrying, and oil and gas extraction",1979,0
"Mining, quarrying, and oil and gas extraction",1980,0
"Mining, quarrying, and oil and gas extraction",1981,0
"Mining, quarrying, and oil and gas extraction",1982,0
"Mining, quarrying, and oil and gas extraction",1983,0
"Mining, quarrying, and oil and gas extraction",1984,0
"Mining, quarrying, and oil and gas extraction",1985,0
"Mining, quarrying, and oil and gas extraction",1986,0
"Mining, quarrying, and oil and gas extraction",1987,3.5
"Mining, quarrying, and oil and gas extraction",1988,4.3
"Mining, quarrying, and oil and gas extraction",1989,4.8
"Mining, quarrying, and oil and gas extraction",1990,4.5
"Mining, quarrying, and oil and gas extraction",1991,3.8
"Mining, quarrying, and oil and gas extraction",1992,3.6
"Mining, quarrying, and oil and gas extraction",1993,3.2
"Mining, quarrying, and oil and gas extraction",1994,3.7
"Mining, quarrying, and oil and gas extraction",1995,5.5
"Mining, quarrying, and oil and gas extraction",1996,4.6
"Mining, quarrying, and oil and gas extraction",1997,5.1
"Mining, quarrying, and oil and gas extraction",1998,4.2
"Mining, quarrying, and oil and gas extraction",1999,4.4
"Mining, quarrying, and oil and gas extraction",2000,4.8
"Mining, quarrying, and oil and gas extraction",2001,5.8
"Mining, quarrying, and oil and gas extraction",2002,5.3
"Mining, quarrying, and oil and gas extraction",2003,5.7
"Mining, quarrying, and oil and gas extraction",2004,6
"Mining, quarrying, and oil and gas extraction",2005,4.9
"Mining, quarrying, and oil and gas extraction",2006,7.3
"Mining, quarrying, and oil and gas extraction",2007,8.6
"Mining, quarrying, and oil and gas extraction",2008,9.1
"Mining, quarrying, and oil and gas extraction",2009,8.9
"Mining, quarrying, and oil and gas extraction",2010,11
"Mining, quarrying, and oil and gas extraction",2011,12.2
"Mining, quarrying, and oil and gas extraction",2012,12.5
"Mining, quarrying, and oil and gas extraction",2013,13.5
"Mining, quarrying, and oil and gas extraction",2014,13.8
"Mining, quarrying, and oil and gas extraction",2015,11.8
"Mining, quarrying, and oil and gas extraction",2016,10.9
"Mining, quarrying, and oil and gas extraction",2017,8.9
"Mining, quarrying, and oil and gas extraction",2018,8.8
"Mining, quarrying, and oil and gas extraction",2019,9.8
"Mining, quarrying, and oil and gas extraction",2020,8.7
"Mining, quarrying, and oil and gas extraction",2021,10.2
"Mining, quarrying, and oil and gas extraction",2022,11.9
"Mining, quarrying, and oil and gas extraction",2023,13.9
,,
Utilities,1976,3
Utilities,1977,2.7
Utilities,1978,2.9
Utilities,1979,3.2
Utilities,1980,2.7
Utilities,1981,2.4
Utilities,1982,2.5
Utilities,1983,2.3
Utilities,1984,2.9
Utilities,1985,2.5
Utilities,1986,2.3
Utilities,1987,2.6
Utilities,1988,2.8
Utilities,1989,3.2
Utilities,1990,3.3
Utilities,1991,3.4
Utilities,1992,3.2
Utilities,1993,2.8
Utilities,1994,2.1
Utilities,1995,1.7
Utilities,1996,1.9
Utilities,1997,2.3
Utilities,1998,1.9
Utilities,1999,2.3
Utilities,2000,1.6
Utilities,2001,2.4
Utilities,2002,2.4
Utilities,2003,2
Utilities,2004,1.9
Utilities,2005,2.3
Utilities,2006,2.3
Utilities,2007,1.7
Utilities,2008,1.5
Utilities,2009,1.8
Utilities,2010,1.8
Utilities,2011,2
Utilities,2012,2.8
Utilities,2013,2.8
Utilities,2014,2.8
Utilities,2015,2.4
Utilities,2016,2.9
Utilities,2017,3
Utilities,2018,3.3
Utilities,2019,3.3
Utilities,2020,3.2
Utilities,2021,2.4
Utilities,2022,2
Utilities,2023,2.5
,,
Construction,1976,14.7
Construction,1977,14.3
Construction,1978,14.2
Construction,1979,14.8
Construction,1980,14.1
Construction,1981,13.1
Construction,1982,11.7
Construction,1983,12.7
Construction,1984,12.9
Construction,1985,11.9
Construction,1986,12.2
Construction,1987,12.3
Construction,1988,12.4
Construction,1989,12.7
Construction,1990,11.7
Construction,1991,12.6
Construction,1992,11.4
Construction,1993,10.1
Construction,1994,11.7
Construction,1995,12.2
Construction,1996,9.8
Construction,1997,8.8
Construction,1998,9.6
Construction,1999,11.3
Construction,2000,10.6
Construction,2001,10.5
Construction,2002,9.3
Construction,2003,9.6
Construction,2004,11.7
Construction,2005,12.3
Construction,2006,13.1
Construction,2007,14.1
Construction,2008,18.6
Construction,2009,17.1
Construction,2010,17.2
Construction,2011,20.4
Construction,2012,20.8
Construction,2013,22.6
Construction,2014,23.2
Construction,2015,23.8
Construction,2016,22.8
Construction,2017,20.2
Construction,2018,19.7
Construction,2019,19.4
Construction,2020,16.3
Construction,2021,17
Construction,2022,18.6
Construction,2023,19.5
,,
Manufacturing,1976,18
Manufacturing,1977,18.3
Manufacturing,1978,19.5
Manufacturing,1979,22.7
Manufacturing,1980,25
Manufacturing,1981,24.9
Manufacturing,1982,21.1
Manufacturing,1983,20.4
Manufacturing,1984,18.9
Manufacturing,1985,19.7
Manufacturing,1986,21
Manufacturing,1987,19.9
Manufacturing,1988,23
Manufacturing,1989,24.1
Manufacturing,1990,21.2
Manufacturing,1991,19.1
Manufacturing,1992,16.4
Manufacturing,1993,16.2
Manufacturing,1994,13.4
Manufacturing,1995,12
Manufacturing,1996,13
Manufacturing,1997,15.7
Manufacturing,1998,15.7
Manufacturing,1999,17.3
Manufacturing,2000,15
Manufacturing,2001,15.7
Manufacturing,2002,16
Manufacturing,2003,14.5
Manufacturing,2004,16.9
Manufacturing,2005,16.7
Manufacturing,2006,15.8
Manufacturing,2007,15.7
Manufacturing,2008,14.2
Manufacturing,2009,12.4
Manufacturing,2010,10.2
Manufacturing,2011,10.9
Manufacturing,2012,11.9
Manufacturing,2013,11.9
Manufacturing,2014,11.5
Manufacturing,2015,12.3
Manufacturing,2016,10.4
Manufacturing,2017,8.8
Manufacturing,2018,9
Manufacturing,2019,9.4
Manufacturing,2020,9.3
Manufacturing,2021,10.4
Manufacturing,2022,10.1
Manufacturing,2023,9.5
,,
Durables,1976,0
Durables,1977,0
Durables,1978,0
Durables,1979,0
Durables,1980,0
Durables,1981,0
Durables,1982,0
Durables,1983,0
Durables,1984,0
Durables,1985,0
Durables,1986,0
Durables,1987,2.6
Durables,1988,3.4
Durables,1989,3.4
Durables,1990,3.2
Durables,1991,2.9
Durables,1992,2.3
Durables,1993,2.6
Durables,1994,3.5
Durables,1995,2.9
Durables,1996,3.1
Durables,1997,3.1
Durables,1998,3.5
Durables,1999,3.4
Durables,2000,3.5
Durables,2001,3.2
Durables,2002,3.4
Durables,2003,4
Durables,2004,4.4
Durables,2005,3.4
Durables,2006,4
Durables,2007,3.9
Durables,2008,3.2
Durables,2009,2.9
Durables,2010,2.9
Durables,2011,3
Durables,2012,3.5
Durables,2013,4.2
Durables,2014,4.9
Durables,2015,4.5
Durables,2016,3.6
Durables,2017,3.3
Durables,2018,2.8
Durables,2019,2.9
Durables,2020,3
Durables,2021,3.2
Durables,2022,3
Durables,2023,3.7
,,
Non-durables,1976,0
Non-durables,1977,0
Non-durables,1978,0
Non-durables,1979,0
Non-durables,1980,0
Non-durables,1981,0
Non-durables,1982,0
Non-durables,1983,0
Non-durables,1984,0
Non-durables,1985,0
Non-durables,1986,0
Non-durables,1987,17.3
Non-durables,1988,19.6
Non-durables,1989,20.7
Non-durables,1990,18
Non-durables,1991,16.2
Non-durables,1992,14
Non-durables,1993,13.6
Non-durables,1994,9.9
Non-durables,1995,9
Non-durables,1996,9.9
Non-durables,1997,12.6
