Industry,Year,Employment
Goods-producing sector ,1976,88.5
Goods-producing sector ,1977,86.2
Goods-producing sector ,1978,90.8
Goods-producing sector ,1979,92.9
Goods-producing sector ,1980,92.8
Goods-producing sector ,1981,89.2
Goods-producing sector ,1982,88
Goods-producing sector ,1983,86.1
Goods-producing sector ,1984,89.6
Goods-producing sector ,1985,88
Goods-producing sector ,1986,90.7
Goods-producing sector ,1987,94.9
Goods-producing sector ,1988,103
Goods-producing sector ,1989,100.3
Goods-producing sector ,1990,97.1
Goods-producing sector ,1991,93.5
Goods-producing sector ,1992,88.2
Goods-producing sector ,1993,82.1
Goods-producing sector ,1994,80.7
Goods-producing sector ,1995,84.2
Goods-producing sector ,1996,80.2
Goods-producing sector ,1997,82.3
Goods-producing sector ,1998,86.3
Goods-producing sector ,1999,88.7
Goods-producing sector ,2000,89.7
Goods-producing sector ,2001,90.5
Goods-producing sector ,2002,89.4
Goods-producing sector ,2003,91.7
Goods-producing sector ,2004,93.9
Goods-producing sector ,2005,90.9
Goods-producing sector ,2006,86.8
Goods-producing sector ,2007,88.7
Goods-producing sector ,2008,93.2
Goods-producing sector ,2009,88.4
Goods-producing sector ,2010,88.9
Goods-producing sector ,2011,90.3
Goods-producing sector ,2012,90
Goods-producing sector ,2013,88.9
Goods-producing sector ,2014,84.4
Goods-producing sector ,2015,83.8
Goods-producing sector ,2016,81.8
Goods-producing sector ,2017,82
Goods-producing sector ,2018,82.1
Goods-producing sector ,2019,87.5
Goods-producing sector ,2020,86.4
Goods-producing sector ,2021,90.9
Goods-producing sector ,2022,96.2
Goods-producing sector ,2023,91.6
Agriculture ,1976,7.8
Agriculture ,1977,7.2
Agriculture ,1978,7.5
Agriculture ,1979,7.1
Agriculture ,1980,6.8
Agriculture ,1981,6.9
Agriculture ,1982,6.5
Agriculture ,1983,5.8
Agriculture ,1984,6.5
Agriculture ,1985,8.3
Agriculture ,1986,8
Agriculture ,1987,7.7
Agriculture ,1988,7.5
Agriculture ,1989,6.5
Agriculture ,1990,7.3
Agriculture ,1991,7
Agriculture ,1992,7.7
Agriculture ,1993,6.3
Agriculture ,1994,6.5
Agriculture ,1995,6.7
Agriculture ,1996,6.8
Agriculture ,1997,7.1
Agriculture ,1998,6.7
Agriculture ,1999,6.7
Agriculture ,2000,6.8
Agriculture ,2001,7.4
Agriculture ,2002,6.5
Agriculture ,2003,6.6
Agriculture ,2004,5.4
Agriculture ,2005,5.8
Agriculture ,2006,4.6
Agriculture ,2007,5.5
Agriculture ,2008,6.6
Agriculture ,2009,7.1
Agriculture ,2010,5.4
Agriculture ,2011,5.8
Agriculture ,2012,6.8
Agriculture ,2013,6.6
Agriculture ,2014,5.4
Agriculture ,2015,5.2
Agriculture ,2016,4.4
Agriculture ,2017,4.8
Agriculture ,2018,4.8
Agriculture ,2019,6.1
Agriculture ,2020,6
Agriculture ,2021,6.1
Agriculture ,2022,5.1
Agriculture ,2023,5.3
"Forestry, fishing, mining, quarrying, oil and gas",1976,14
"Forestry, fishing, mining, quarrying, oil and gas",1977,14.1
"Forestry, fishing, mining, quarrying, oil and gas",1978,14.9
"Forestry, fishing, mining, quarrying, oil and gas",1979,14.1
"Forestry, fishing, mining, quarrying, oil and gas",1980,15.2
