Industry,Year,Employment
Goods-producing sector ,1976,"1,326.70"
Goods-producing sector ,1977,"1,336.40"
Goods-producing sector ,1978,"1,361.70"
Goods-producing sector ,1979,"1,440.10"
Goods-producing sector ,1980,"1,454.40"
Goods-producing sector ,1981,"1,492.00"
Goods-producing sector ,1982,"1,370.80"
Goods-producing sector ,1983,"1,360.30"
Goods-producing sector ,1984,"1,416.10"
Goods-producing sector ,1985,"1,462.40"
Goods-producing sector ,1986,"1,521.70"
Goods-producing sector ,1987,"1,551.30"
Goods-producing sector ,1988,"1,579.40"
Goods-producing sector ,1989,"1,604.60"
Goods-producing sector ,1990,"1,549.00"
Goods-producing sector ,1991,"1,419.40"
Goods-producing sector ,1992,"1,350.00"
Goods-producing sector ,1993,"1,298.40"
Goods-producing sector ,1994,"1,314.40"
Goods-producing sector ,1995,"1,346.80"
Goods-producing sector ,1996,"1,365.50"
Goods-producing sector ,1997,"1,410.80"
Goods-producing sector ,1998,"1,461.80"
Goods-producing sector ,1999,"1,530.60"
Goods-producing sector ,2000,"1,569.10"
Goods-producing sector ,2001,"1,566.80"
Goods-producing sector ,2002,"1,601.70"
Goods-producing sector ,2003,"1,633.90"
Goods-producing sector ,2004,"1,646.30"
Goods-producing sector ,2005,"1,637.40"
Goods-producing sector ,2006,"1,588.00"
Goods-producing sector ,2007,"1,539.00"
Goods-producing sector ,2008,"1,506.20"
Goods-producing sector ,2009,"1,374.30"
Goods-producing sector ,2010,"1,376.00"
Goods-producing sector ,2011,"1,403.10"
Goods-producing sector ,2012,"1,424.70"
Goods-producing sector ,2013,"1,410.40"
Goods-producing sector ,2014,"1,393.80"
Goods-producing sector ,2015,"1,406.70"
Goods-producing sector ,2016,"1,440.20"
Goods-producing sector ,2017,"1,457.50"
Goods-producing sector ,2018,"1,476.80"
Goods-producing sector ,2019,"1,474.60"
Goods-producing sector ,2020,"1,415.50"
Goods-producing sector ,2021,"1,466.20"
Goods-producing sector ,2022,"1,543.50"
Goods-producing sector ,2023,"1,586.30"
Agriculture ,1976,111.6
Agriculture ,1977,116.5
Agriculture ,1978,115.9
Agriculture ,1979,130.4
Agriculture ,1980,126
Agriculture ,1981,127
Agriculture ,1982,124.8
Agriculture ,1983,130.8
Agriculture ,1984,113.6
Agriculture ,1985,110.5
Agriculture ,1986,113.2
Agriculture ,1987,114.8
Agriculture ,1988,110.6
Agriculture ,1989,113
Agriculture ,1990,111.6
Agriculture ,1991,113.5
Agriculture ,1992,111.2
Agriculture ,1993,115
Agriculture ,1994,111.4
Agriculture ,1995,104.3
Agriculture ,1996,101.7
Agriculture ,1997,100.3
Agriculture ,1998,103.4
Agriculture ,1999,112.3
Agriculture ,2000,97.3
Agriculture ,2001,83.7
Agriculture ,2002,75.6
Agriculture ,2003,80.8
Agriculture ,2004,77.1
Agriculture ,2005,93.2
Agriculture ,2006,95.2
Agriculture ,2007,90.3
Agriculture ,2008,82.2
Agriculture ,2009,83.7
Agriculture ,2010,79.4
Agriculture ,2011,86.1
Agriculture ,2012,87
Agriculture ,2013,83.9
Agriculture ,2014,80
Agriculture ,2015,74.6
Agriculture ,2016,75.8
Agriculture ,2017,68.5
Agriculture ,2018,70.8
Agriculture ,2019,74
Agriculture ,2020,68
Agriculture ,2021,66.4
Agriculture ,2022,71.4
Agriculture ,2023,78.9
"Forestry, fishing, mining, quarrying, oil and gas",1976,61.5
"Forestry, fishing, mining, quarrying, oil and gas",1977,62.5
"Forestry, fishing, mining, quarrying, oil and gas",1978,57
"Forestry, fishing, mining, quarrying, oil and gas",1979,51.9
"Forestry, fishing, mining, quarrying, oil and gas",1980,65.5
"Forestry, fishing, mining, quarrying, oil and gas",1981,69.9
"Forestry, fishing, mining, quarrying, oil and gas",1982,50.3
"Forestry, fishing, mining, quarrying, oil and gas",1983,50.6
"Forestry, fishing, mining, quarrying, oil and gas",1984,57.2
"Forestry, fishing, mining, quarrying, oil and gas",1985,54.5
"Forestry, fishing, mining, quarrying, oil and gas",1986,57.6
"Forestry, fishing, mining, quarrying, oil and gas",1987,57.9
"Forestry, fishing, mining, quarrying, oil and gas",1988,61.3
"Forestry, fishing, mining, quarrying, oil and gas",1989,60.3
"Forestry, fishing, mining, quarrying, oil and gas",1990,56.5
"Forestry, fishing, mining, quarrying, oil and gas",1991,51.8
"Forestry, fishing, mining, quarrying, oil and gas",1992,49.1
"Forestry, fishing, mining, quarrying, oil and gas",1993,44.4
"Forestry, fishing, mining, quarrying, oil and gas",1994,44.4
"Forestry, fishing, mining, quarrying, oil and gas",1995,45.3
