Location,Month,Prices
"St. John's, Newfoundland and Labrador",Jan-90,61.1
"St. John's, Newfoundland and Labrador",Feb-90,61.5
"St. John's, Newfoundland and Labrador",Mar-90,61.7
"St. John's, Newfoundland and Labrador",Apr-90,62.7
"St. John's, Newfoundland and Labrador",May-90,63.3
"St. John's, Newfoundland and Labrador",Jun-90,63.4
"St. John's, Newfoundland and Labrador",Jul-90,63.5
"St. John's, Newfoundland and Labrador",Aug-90,63.6
"St. John's, Newfoundland and Labrador",Sep-90,65.7
"St. John's, Newfoundland and Labrador",Oct-90,70.2
"St. John's, Newfoundland and Labrador",Nov-90,71.6
"St. John's, Newfoundland and Labrador",Dec-90,75.2
"St. John's, Newfoundland and Labrador",Jan-91,78.1
"St. John's, Newfoundland and Labrador",Feb-91,73.9
"St. John's, Newfoundland and Labrador",Mar-91,69.1
"St. John's, Newfoundland and Labrador",Apr-91,66.7
"St. John's, Newfoundland and Labrador",May-91,66.6
"St. John's, Newfoundland and Labrador",Jun-91,66.5
"St. John's, Newfoundland and Labrador",Jul-91,66.5
"St. John's, Newfoundland and Labrador",Aug-91,66.6
"St. John's, Newfoundland and Labrador",Sep-91,66.5
"St. John's, Newfoundland and Labrador",Oct-91,66.5
"St. John's, Newfoundland and Labrador",Nov-91,66.5
"St. John's, Newfoundland and Labrador",Dec-91,66.5
"St. John's, Newfoundland and Labrador",Jan-92,67
"St. John's, Newfoundland and Labrador",Feb-92,67.4
"St. John's, Newfoundland and Labrador",Mar-92,67.5
"St. John's, Newfoundland and Labrador",Apr-92,67.6
"St. John's, Newfoundland and Labrador",May-92,67.4
"St. John's, Newfoundland and Labrador",Jun-92,67.4
"St. John's, Newfoundland and Labrador",Jul-92,67.4
"St. John's, Newfoundland and Labrador",Aug-92,67.6
"St. John's, Newfoundland and Labrador",Sep-92,67.6
"St. John's, Newfoundland and Labrador",Oct-92,66.8
"St. John's, Newfoundland and Labrador",Nov-92,66.2
"St. John's, Newfoundland and Labrador",Dec-92,66.6
"St. John's, Newfoundland and Labrador",Jan-93,64.8
"St. John's, Newfoundland and Labrador",Feb-93,64.8
"St. John's, Newfoundland and Labrador",Mar-93,64
"St. John's, Newfoundland and Labrador",Apr-93,64
"St. John's, Newfoundland and Labrador",May-93,65
"St. John's, Newfoundland and Labrador",Jun-93,66
"St. John's, Newfoundland and Labrador",Jul-93,67.2
"St. John's, Newfoundland and Labrador",Aug-93,66.2
