Location,Month,Prices
"St. John's, Newfoundland and Labrador",Jan-90,57.7
"St. John's, Newfoundland and Labrador",Feb-90,58.2
"St. John's, Newfoundland and Labrador",Mar-90,58.5
"St. John's, Newfoundland and Labrador",Apr-90,59.3
"St. John's, Newfoundland and Labrador",May-90,59.8
"St. John's, Newfoundland and Labrador",Jun-90,59.7
"St. John's, Newfoundland and Labrador",Jul-90,59.5
"St. John's, Newfoundland and Labrador",Aug-90,59.6
"St. John's, Newfoundland and Labrador",Sep-90,61.4
"St. John's, Newfoundland and Labrador",Oct-90,65.9
"St. John's, Newfoundland and Labrador",Nov-90,67.3
"St. John's, Newfoundland and Labrador",Dec-90,70.7
"St. John's, Newfoundland and Labrador",Jan-91,73.5
"St. John's, Newfoundland and Labrador",Feb-91,69.1
"St. John's, Newfoundland and Labrador",Mar-91,64.8
"St. John's, Newfoundland and Labrador",Apr-91,61.9
"St. John's, Newfoundland and Labrador",May-91,61.8
"St. John's, Newfoundland and Labrador",Jun-91,61.8
"St. John's, Newfoundland and Labrador",Jul-91,61.8
"St. John's, Newfoundland and Labrador",Aug-91,61.9
"St. John's, Newfoundland and Labrador",Sep-91,61.8
"St. John's, Newfoundland and Labrador",Oct-91,61.8
"St. John's, Newfoundland and Labrador",Nov-91,61.8
"St. John's, Newfoundland and Labrador",Dec-91,61.8
"St. John's, Newfoundland and Labrador",Jan-92,61.8
"St. John's, Newfoundland and Labrador",Feb-92,61.8
"St. John's, Newfoundland and Labrador",Mar-92,61.4
"St. John's, Newfoundland and Labrador",Apr-92,60.9
"St. John's, Newfoundland and Labrador",May-92,60.9
"St. John's, Newfoundland and Labrador",Jun-92,60.9
"St. John's, Newfoundland and Labrador",Jul-92,61
"St. John's, Newfoundland and Labrador",Aug-92,61
"St. John's, Newfoundland and Labrador",Sep-92,61
"St. John's, Newfoundland and Labrador",Oct-92,59.9
"St. John's, Newfoundland and Labrador",Nov-92,59.4
"St. John's, Newfoundland and Labrador",Dec-92,59.2
"St. John's, Newfoundland and Labrador",Jan-93,57.1
"St. John's, Newfoundland and Labrador",Feb-93,57.1
"St. John's, Newfoundland and Labrador",Mar-93,56.4
"St. John's, Newfoundland and Labrador",Apr-93,56.4
"St. John's, Newfoundland and Labrador",May-93,57.4
"St. John's, Newfoundland and Labrador",Jun-93,58.4
"St. John's, Newfoundland and Labrador",Jul-93,59.5
"St. John's, Newfoundland and Labrador",Aug-93,58
"St. John's, Newfoundland and Labrador",Sep-93,57.8
"St. John's, Newfoundland and Labrador",Oct-93,56.5
"St. John's, Newfoundland and Labrador",Nov-93,54.7
"St. John's, Newfoundland and Labrador",Dec-93,54.1
"St. John's, Newfoundland and Labrador",Jan-94,53.2
"St. John's, Newfoundland and Labrador",Feb-94,53.5
"St. John's, Newfoundland and Labrador",Mar-94,55.9
"St. John's, Newfoundland and Labrador",Apr-94,56.7
"St. John's, Newfoundland and Labrador",May-94,59.5
"St. John's, Newfoundland and Labrador",Jun-94,59.6
"St. John's, Newfoundland and Labrador",Jul-94,59.6
"St. John's, Newfoundland and Labrador",Aug-94,59.6
"St. John's, Newfoundland and Labrador",Sep-94,59.8
"St. John's, Newfoundland and Labrador",Oct-94,61.8
"St. John's, Newfoundland and Labrador",Nov-94,61.8
"St. John's, Newfoundland and Labrador",Dec-94,61.8
"St. John's, Newfoundland and Labrador",Jan-95,60.5
"St. John's, Newfoundland and Labrador",Feb-95,60.1
"St. John's, Newfoundland and Labrador",Mar-95,61.5
"St. John's, Newfoundland and Labrador",Apr-95,61.5
"St. John's, Newfoundland and Labrador",May-95,65.9
"St. John's, Newfoundland and Labrador",Jun-95,65.9
"St. John's, Newfoundland and Labrador",Jul-95,65.9
"St. John's, Newfoundland and Labrador",Aug-95,64.7
"St. John's, Newfoundland and Labrador",Sep-95,62.9
"St. John's, Newfoundland and Labrador",Oct-95,62.6
"St. John's, Newfoundland and Labrador",Nov-95,60.9
"St. John's, Newfoundland and Labrador",Dec-95,60.9
"St. John's, Newfoundland and Labrador",Jan-96,60.9
"St. John's, Newfoundland and Labrador",Feb-96,59.8
"St. John's, Newfoundland and Labrador",Mar-96,59.1
"St. John's, Newfoundland and Labrador",Apr-96,61.8
"St. John's, Newfoundland and Labrador",May-96,63.9
"St. John's, Newfoundland and Labrador",Jun-96,63.7
"St. John's, Newfoundland and Labrador",Jul-96,56.4
"St. John's, Newfoundland and Labrador",Aug-96,57.9
"St. John's, Newfoundland and Labrador",Sep-96,62.9
"St. John's, Newfoundland and Labrador",Oct-96,62.9
"St. John's, Newfoundland and Labrador",Nov-96,62.9
"St. John's, Newfoundland and Labrador",Dec-96,64.6
"St. John's, Newfoundland and Labrador",Jan-97,64.6
"St. John's, Newfoundland and Labrador",Feb-97,64.6
"St. John's, Newfoundland and Labrador",Mar-97,64.6
"St. John's, Newfoundland and Labrador",Apr-97,69.5
"St. John's, Newfoundland and Labrador",May-97,69
"St. John's, Newfoundland and Labrador",Jun-97,69
"St. John's, Newfoundland and Labrador",Jul-97,68.9
"St. John's, Newfoundland and Labrador",Aug-97,68.9
"St. John's, Newfoundland and Labrador",Sep-97,68.9
"St. John's, Newfoundland and Labrador",Oct-97,68.3
"St. John's, Newfoundland and Labrador",Nov-97,67.9
"St. John's, Newfoundland and Labrador",Dec-97,67.9
"St. John's, Newfoundland and Labrador",Jan-98,67.6
"St. John's, Newfoundland and Labrador",Feb-98,66.9
"St. John's, Newfoundland and Labrador",Mar-98,64.7
