Industry,Year,Employment
Goods-producing sector ,1976,155.3
Goods-producing sector ,1977,160.2
Goods-producing sector ,1978,161.1
Goods-producing sector ,1979,161.9
Goods-producing sector ,1980,157.2
Goods-producing sector ,1981,158.3
Goods-producing sector ,1982,153.6
Goods-producing sector ,1983,153.6
Goods-producing sector ,1984,155.4
Goods-producing sector ,1985,155.9
Goods-producing sector ,1986,157
Goods-producing sector ,1987,155.5
Goods-producing sector ,1988,154.8
Goods-producing sector ,1989,149.5
Goods-producing sector ,1990,147.7
Goods-producing sector ,1991,145.1
Goods-producing sector ,1992,142.5
Goods-producing sector ,1993,140.5
Goods-producing sector ,1994,137.9
Goods-producing sector ,1995,139.1
Goods-producing sector ,1996,136.7
Goods-producing sector ,1997,140.1
Goods-producing sector ,1998,140.7
Goods-producing sector ,1999,132.1
Goods-producing sector ,2000,130.3
Goods-producing sector ,2001,121
Goods-producing sector ,2002,121.1
Goods-producing sector ,2003,118
Goods-producing sector ,2004,122.4
Goods-producing sector ,2005,125.1
Goods-producing sector ,2006,132.4
Goods-producing sector ,2007,134.8
Goods-producing sector ,2008,139.4
Goods-producing sector ,2009,141.4
Goods-producing sector ,2010,146.7
Goods-producing sector ,2011,146.7
Goods-producing sector ,2012,152.4
Goods-producing sector ,2013,159.3
Goods-producing sector ,2014,164.4
Goods-producing sector ,2015,157.4
Goods-producing sector ,2016,149.7
Goods-producing sector ,2017,147.9
Goods-producing sector ,2018,147
Goods-producing sector ,2019,147.5
Goods-producing sector ,2020,134.5
Goods-producing sector ,2021,132.7
Goods-producing sector ,2022,133
Goods-producing sector ,2023,128.9
Agriculture ,1976,96.6
Agriculture ,1977,95.9
Agriculture ,1978,97.7
Agriculture ,1979,97.3
Agriculture ,1980,90.7
Agriculture ,1981,86.2
Agriculture ,1982,86.3
Agriculture ,1983,89.8
Agriculture ,1984,89.6
Agriculture ,1985,89.5
Agriculture ,1986,92.1
Agriculture ,1987,91.2
Agriculture ,1988,87.5
Agriculture ,1989,81.2
Agriculture ,1990,82.3
Agriculture ,1991,82.8
Agriculture ,1992,80.8
Agriculture ,1993,81.4
Agriculture ,1994,74.9
Agriculture ,1995,73.3
Agriculture ,1996,70.8
Agriculture ,1997,68.4
Agriculture ,1998,69.2
Agriculture ,1999,64.6
Agriculture ,2000,60.7
Agriculture ,2001,50.3
Agriculture ,2002,48.7
Agriculture ,2003,46.5
Agriculture ,2004,46
Agriculture ,2005,46
Agriculture ,2006,46.5
Agriculture ,2007,43.4
Agriculture ,2008,41.9
Agriculture ,2009,43
Agriculture ,2010,42.4
Agriculture ,2011,41
Agriculture ,2012,40.9
Agriculture ,2013,43.9
Agriculture ,2014,44.9
Agriculture ,2015,42.6
Agriculture ,2016,41.4
Agriculture ,2017,38.1
Agriculture ,2018,39.4
Agriculture ,2019,40.8
Agriculture ,2020,37.1
Agriculture ,2021,31
Agriculture ,2022,27.8
Agriculture ,2023,24.5
"Forestry, fishing, mining, quarrying, oil and gas",1976,8.3
"Forestry, fishing, mining, quarrying, oil and gas",1977,8
"Forestry, fishing, mining, quarrying, oil and gas",1978,9.7
"Forestry, fishing, mining, quarrying, oil and gas",1979,10.7
"Forestry, fishing, mining, quarrying, oil and gas",1980,13
"Forestry, fishing, mining, quarrying, oil and gas",1981,14.4
"Forestry, fishing, mining, quarrying, oil and gas",1982,12.9
"Forestry, fishing, mining, quarrying, oil and gas",1983,11.6
"Forestry, fishing, mining, quarrying, oil and gas",1984,13.5
"Forestry, fishing, mining, quarrying, oil and gas",1985,13.6
"Forestry, fishing, mining, quarrying, oil and gas",1986,13.1
"Forestry, fishing, mining, quarrying, oil and gas",1987,12
"Forestry, fishing, mining, quarrying, oil and gas",1988,12.2
"Forestry, fishing, mining, quarrying, oil and gas",1989,13.3
"Forestry, fishing, mining, quarrying, oil and gas",1990,12.7
"Forestry, fishing, mining, quarrying, oil and gas",1991,13.1
"Forestry, fishing, mining, quarrying, oil and gas",1992,12.8
"Forestry, fishing, mining, quarrying, oil and gas",1993,12.3
"Forestry, fishing, mining, quarrying, oil and gas",1994,13.2
"Forestry, fishing, mining, quarrying, oil and gas",1995,12.7
"Forestry, fishing, mining, quarrying, oil and gas",1996,14
"Forestry, fishing, mining, quarrying, oil and gas",1997,16.2
"Forestry, fishing, mining, quarrying, oil and gas",1998,15.5
"Forestry, fishing, mining, quarrying, oil and gas",1999,12.7
"Forestry, fishing, mining, quarrying, oil and gas",2000,14.8
"Forestry, fishing, mining, quarrying, oil and gas",2001,16.1
"Forestry, fishing, mining, quarrying, oil and gas",2002,15.3
"Forestry, fishing, mining, quarrying, oil and gas",2003,17.4
"Forestry, fishing, mining, quarrying, oil and gas",2004,19.2
"Forestry, fishing, mining, quarrying, oil and gas",2005,18.3
"Forestry, fishing, mining, quarrying, oil and gas",2006,21.8
"Forestry, fishing, mining, quarrying, oil and gas",2007,22.7
"Forestry, fishing, mining, quarrying, oil and gas",2008,26.2
"Forestry, fishing, mining, quarrying, oil and gas",2009,24.5
"Forestry, fishing, mining, quarrying, oil and gas",2010,25.6
"Forestry, fishing, mining, quarrying, oil and gas",2011,28.1
