Month,Year,Predicted Prices,Location
1,2024,140.0,"Calgary, Alberta "
2,2024,140.5,"Calgary, Alberta "
3,2024,140.9,"Calgary, Alberta "
4,2024,141.4,"Calgary, Alberta "
5,2024,141.8,"Calgary, Alberta "
6,2024,142.2,"Calgary, Alberta "
7,2024,142.7,"Calgary, Alberta "
8,2024,143.1,"Calgary, Alberta "
9,2024,143.6,"Calgary, Alberta "
10,2024,144.0,"Calgary, Alberta "
11,2024,144.5,"Calgary, Alberta "
12,2024,144.9,"Calgary, Alberta "
1,2025,143.3,"Calgary, Alberta "
2,2025,143.7,"Calgary, Alberta "
3,2025,144.2,"Calgary, Alberta "
4,2025,144.6,"Calgary, Alberta "
5,2025,145.1,"Calgary, Alberta "
6,2025,145.5,"Calgary, Alberta "
7,2025,146.0,"Calgary, Alberta "
8,2025,146.4,"Calgary, Alberta "
9,2025,146.9,"Calgary, Alberta "
10,2025,147.3,"Calgary, Alberta "
11,2025,147.7,"Calgary, Alberta "
12,2025,148.2,"Calgary, Alberta "
1,2026,146.6,"Calgary, Alberta "
2,2026,147.0,"Calgary, Alberta "
3,2026,147.5,"Calgary, Alberta "
4,2026,147.9,"Calgary, Alberta "
5,2026,148.3,"Calgary, Alberta "
6,2026,148.8,"Calgary, Alberta "
7,2026,149.2,"Calgary, Alberta "
8,2026,149.7,"Calgary, Alberta "
9,2026,150.1,"Calgary, Alberta "
10,2026,150.6,"Calgary, Alberta "
11,2026,151.0,"Calgary, Alberta "
12,2026,151.5,"Calgary, Alberta "
1,2027,149.8,"Calgary, Alberta "
2,2027,150.3,"Calgary, Alberta "
3,2027,150.7,"Calgary, Alberta "
4,2027,151.2,"Calgary, Alberta "
5,2027,151.6,"Calgary, Alberta "
6,2027,152.1,"Calgary, Alberta "
7,2027,152.5,"Calgary, Alberta "
8,2027,153.0,"Calgary, Alberta "
9,2027,153.4,"Calgary, Alberta "
10,2027,153.9,"Calgary, Alberta "
11,2027,154.3,"Calgary, Alberta "
12,2027,154.7,"Calgary, Alberta "
1,2028,153.1,"Calgary, Alberta "
2,2028,153.6,"Calgary, Alberta "
3,2028,154.0,"Calgary, Alberta "
4,2028,154.4,"Calgary, Alberta "
5,2028,154.9,"Calgary, Alberta "
6,2028,155.3,"Calgary, Alberta "
7,2028,155.8,"Calgary, Alberta "
8,2028,156.2,"Calgary, Alberta "
9,2028,156.7,"Calgary, Alberta "
10,2028,157.1,"Calgary, Alberta "
11,2028,157.6,"Calgary, Alberta "
12,2028,158.0,"Calgary, Alberta "
1,2024,156.7,"Charlottetown, Prince Edward Island"
2,2024,157.1,"Charlottetown, Prince Edward Island"
3,2024,157.6,"Charlottetown, Prince Edward Island"
4,2024,158.0,"Charlottetown, Prince Edward Island"
5,2024,158.5,"Charlottetown, Prince Edward Island"
6,2024,158.9,"Charlottetown, Prince Edward Island"
7,2024,159.4,"Charlottetown, Prince Edward Island"
8,2024,159.8,"Charlottetown, Prince Edward Island"
9,2024,160.3,"Charlottetown, Prince Edward Island"
10,2024,160.7,"Charlottetown, Prince Edward Island"
11,2024,161.2,"Charlottetown, Prince Edward Island"
12,2024,161.6,"Charlottetown, Prince Edward Island"
1,2025,160.2,"Charlottetown, Prince Edward Island"
2,2025,160.7,"Charlottetown, Prince Edward Island"
3,2025,161.1,"Charlottetown, Prince Edward Island"
4,2025,161.6,"Charlottetown, Prince Edward Island"
5,2025,162.0,"Charlottetown, Prince Edward Island"
6,2025,162.5,"Charlottetown, Prince Edward Island"
7,2025,162.9,"Charlottetown, Prince Edward Island"
8,2025,163.4,"Charlottetown, Prince Edward Island"
9,2025,163.8,"Charlottetown, Prince Edward Island"
10,2025,164.3,"Charlottetown, Prince Edward Island"
11,2025,164.7,"Charlottetown, Prince Edward Island"
12,2025,165.2,"Charlottetown, Prince Edward Island"
1,2026,163.8,"Charlottetown, Prince Edward Island"
