Month,Year,Predicted Prices,Location
4,2024,124.8,"Charlottetown, Prince Edward Island"
5,2024,125.1,"Charlottetown, Prince Edward Island"
6,2024,125.3,"Charlottetown, Prince Edward Island"
7,2024,125.5,"Charlottetown, Prince Edward Island"
8,2024,125.8,"Charlottetown, Prince Edward Island"
9,2024,126.0,"Charlottetown, Prince Edward Island"
10,2024,126.2,"Charlottetown, Prince Edward Island"
11,2024,126.5,"Charlottetown, Prince Edward Island"
12,2024,126.7,"Charlottetown, Prince Edward Island"
1,2025,127.1,"Charlottetown, Prince Edward Island"
2,2025,127.4,"Charlottetown, Prince Edward Island"
3,2025,127.6,"Charlottetown, Prince Edward Island"
4,2025,127.8,"Charlottetown, Prince Edward Island"
5,2025,128.1,"Charlottetown, Prince Edward Island"
6,2025,128.3,"Charlottetown, Prince Edward Island"
7,2025,128.5,"Charlottetown, Prince Edward Island"
8,2025,128.8,"Charlottetown, Prince Edward Island"
9,2025,129.0,"Charlottetown, Prince Edward Island"
10,2025,129.3,"Charlottetown, Prince Edward Island"
11,2025,129.5,"Charlottetown, Prince Edward Island"
12,2025,129.7,"Charlottetown, Prince Edward Island"
1,2026,130.1,"Charlottetown, Prince Edward Island"
2,2026,130.4,"Charlottetown, Prince Edward Island"
3,2026,130.6,"Charlottetown, Prince Edward Island"
4,2026,130.9,"Charlottetown, Prince Edward Island"
5,2026,131.1,"Charlottetown, Prince Edward Island"
6,2026,131.3,"Charlottetown, Prince Edward Island"
7,2026,131.6,"Charlottetown, Prince Edward Island"
8,2026,131.8,"Charlottetown, Prince Edward Island"
9,2026,132.0,"Charlottetown, Prince Edward Island"
10,2026,132.3,"Charlottetown, Prince Edward Island"
11,2026,132.5,"Charlottetown, Prince Edward Island"
12,2026,132.8,"Charlottetown, Prince Edward Island"
1,2027,133.2,"Charlottetown, Prince Edward Island"
2,2027,133.4,"Charlottetown, Prince Edward Island"
3,2027,133.6,"Charlottetown, Prince Edward Island"
4,2027,133.9,"Charlottetown, Prince Edward Island"
5,2027,134.1,"Charlottetown, Prince Edward Island"
6,2027,134.3,"Charlottetown, Prince Edward Island"
7,2027,134.6,"Charlottetown, Prince Edward Island"
8,2027,134.8,"Charlottetown, Prince Edward Island"
9,2027,135.1,"Charlottetown, Prince Edward Island"
10,2027,135.3,"Charlottetown, Prince Edward Island"
11,2027,135.5,"Charlottetown, Prince Edward Island"
12,2027,135.8,"Charlottetown, Prince Edward Island"
1,2028,136.2,"Charlottetown, Prince Edward Island"
2,2028,136.4,"Charlottetown, Prince Edward Island"
3,2028,136.7,"Charlottetown, Prince Edward Island"
4,2028,136.9,"Charlottetown, Prince Edward Island"
5,2028,137.1,"Charlottetown, Prince Edward Island"
6,2028,137.4,"Charlottetown, Prince Edward Island"
7,2028,137.6,"Charlottetown, Prince Edward Island"
8,2028,137.8,"Charlottetown, Prince Edward Island"
9,2028,138.1,"Charlottetown, Prince Edward Island"
10,2028,138.3,"Charlottetown, Prince Edward Island"
11,2028,138.6,"Charlottetown, Prince Edward Island"
12,2028,138.8,"Charlottetown, Prince Edward Island"
1,2029,139.2,"Charlottetown, Prince Edward Island"
2,2029,139.4,"Charlottetown, Prince Edward Island"
3,2029,139.7,"Charlottetown, Prince Edward Island"
4,2024,138.1,"Halifax, Nova Scotia"
5,2024,138.2,"Halifax, Nova Scotia"
6,2024,138.4,"Halifax, Nova Scotia"
7,2024,138.6,"Halifax, Nova Scotia"
8,2024,138.7,"Halifax, Nova Scotia"
9,2024,138.9,"Halifax, Nova Scotia"
10,2024,139.1,"Halifax, Nova Scotia"
