Location,Month,Prices
"St. John's, Newfoundland and Labrador",Jan-90,..
"St. John's, Newfoundland and Labrador",Feb-90,..
"St. John's, Newfoundland and Labrador",Mar-90,..
"St. John's, Newfoundland and Labrador",Apr-90,..
"St. John's, Newfoundland and Labrador",May-90,..
"St. John's, Newfoundland and Labrador",Jun-90,..
"St. John's, Newfoundland and Labrador",Jul-90,..
"St. John's, Newfoundland and Labrador",Aug-90,..
"St. John's, Newfoundland and Labrador",Sep-90,..
"St. John's, Newfoundland and Labrador",Oct-90,..
"St. John's, Newfoundland and Labrador",Nov-90,..
"St. John's, Newfoundland and Labrador",Dec-90,..
"St. John's, Newfoundland and Labrador",Jan-91,..
"St. John's, Newfoundland and Labrador",Feb-91,..
"St. John's, Newfoundland and Labrador",Mar-91,..
"St. John's, Newfoundland and Labrador",Apr-91,..
"St. John's, Newfoundland and Labrador",May-91,..
"St. John's, Newfoundland and Labrador",Jun-91,..
"St. John's, Newfoundland and Labrador",Jul-91,..
"St. John's, Newfoundland and Labrador",Aug-91,..
"St. John's, Newfoundland and Labrador",Sep-91,..
"St. John's, Newfoundland and Labrador",Oct-91,..
"St. John's, Newfoundland and Labrador",Nov-91,..
"St. John's, Newfoundland and Labrador",Dec-91,..
"St. John's, Newfoundland and Labrador",Jan-92,..
"St. John's, Newfoundland and Labrador",Feb-92,..
"St. John's, Newfoundland and Labrador",Mar-92,..
"St. John's, Newfoundland and Labrador",Apr-92,..
"St. John's, Newfoundland and Labrador",May-92,..
"St. John's, Newfoundland and Labrador",Jun-92,..
"St. John's, Newfoundland and Labrador",Jul-92,..
"St. John's, Newfoundland and Labrador",Aug-92,..
"St. John's, Newfoundland and Labrador",Sep-92,..
"St. John's, Newfoundland and Labrador",Oct-92,..
"St. John's, Newfoundland and Labrador",Nov-92,..
"St. John's, Newfoundland and Labrador",Dec-92,..
"St. John's, Newfoundland and Labrador",Jan-93,..
"St. John's, Newfoundland and Labrador",Feb-93,..
"St. John's, Newfoundland and Labrador",Mar-93,..
"St. John's, Newfoundland and Labrador",Apr-93,..
"St. John's, Newfoundland and Labrador",May-93,..
"St. John's, Newfoundland and Labrador",Jun-93,..
"St. John's, Newfoundland and Labrador",Jul-93,..
"St. John's, Newfoundland and Labrador",Aug-93,..
"St. John's, Newfoundland and Labrador",Sep-93,..
"St. John's, Newfoundland and Labrador",Oct-93,..
"St. John's, Newfoundland and Labrador",Nov-93,..
"St. John's, Newfoundland and Labrador",Dec-93,..
"St. John's, Newfoundland and Labrador",Jan-94,..
"St. John's, Newfoundland and Labrador",Feb-94,..
"St. John's, Newfoundland and Labrador",Mar-94,..
"St. John's, Newfoundland and Labrador",Apr-94,..
"St. John's, Newfoundland and Labrador",May-94,..
"St. John's, Newfoundland and Labrador",Jun-94,..
"St. John's, Newfoundland and Labrador",Jul-94,..
"St. John's, Newfoundland and Labrador",Aug-94,..
"St. John's, Newfoundland and Labrador",Sep-94,..
"St. John's, Newfoundland and Labrador",Oct-94,..
"St. John's, Newfoundland and Labrador",Nov-94,..
"St. John's, Newfoundland and Labrador",Dec-94,..
"St. John's, Newfoundland and Labrador",Jan-95,..
"St. John's, Newfoundland and Labrador",Feb-95,..
