Location,Month,Predicted Prices
"Calgary, Alberta ",2024-03-31,141.6
"Calgary, Alberta ",2024-04-30,142.0
"Calgary, Alberta ",2024-05-31,142.4
"Calgary, Alberta ",2024-06-30,142.8
"Calgary, Alberta ",2024-07-31,143.2
"Calgary, Alberta ",2024-08-31,143.6
"Calgary, Alberta ",2024-09-30,144.0
"Calgary, Alberta ",2024-10-31,144.4
"Calgary, Alberta ",2024-11-30,144.8
"Calgary, Alberta ",2024-12-31,145.2
"Calgary, Alberta ",2025-01-31,144.1
"Calgary, Alberta ",2025-02-28,144.5
"Calgary, Alberta ",2025-03-31,144.9
"Calgary, Alberta ",2025-04-30,145.3
"Calgary, Alberta ",2025-05-31,145.7
"Calgary, Alberta ",2025-06-30,146.1
"Calgary, Alberta ",2025-07-31,146.5
"Calgary, Alberta ",2025-08-31,146.9
"Calgary, Alberta ",2025-09-30,147.3
"Calgary, Alberta ",2025-10-31,147.7
"Calgary, Alberta ",2025-11-30,148.1
"Calgary, Alberta ",2025-12-31,148.5
"Calgary, Alberta ",2026-01-31,147.4
"Calgary, Alberta ",2026-02-28,147.8
"Calgary, Alberta ",2026-03-31,148.2
"Calgary, Alberta ",2026-04-30,148.6
"Calgary, Alberta ",2026-05-31,149.0
"Calgary, Alberta ",2026-06-30,149.4
"Calgary, Alberta ",2026-07-31,149.8
"Calgary, Alberta ",2026-08-31,150.2
"Calgary, Alberta ",2026-09-30,150.6
"Calgary, Alberta ",2026-10-31,151.0
"Calgary, Alberta ",2026-11-30,151.4
"Calgary, Alberta ",2026-12-31,151.8
"Calgary, Alberta ",2027-01-31,150.7
"Calgary, Alberta ",2027-02-28,151.1
"Calgary, Alberta ",2027-03-31,151.5
"Calgary, Alberta ",2027-04-30,151.9
"Calgary, Alberta ",2027-05-31,152.3
"Calgary, Alberta ",2027-06-30,152.7
"Calgary, Alberta ",2027-07-31,153.1
"Calgary, Alberta ",2027-08-31,153.5
"Calgary, Alberta ",2027-09-30,153.9
"Calgary, Alberta ",2027-10-31,154.3
"Calgary, Alberta ",2027-11-30,154.7
"Calgary, Alberta ",2027-12-31,155.1
"Calgary, Alberta ",2028-01-31,154.0
"Calgary, Alberta ",2028-02-29,154.4
"Calgary, Alberta ",2028-03-31,154.8
"Calgary, Alberta ",2028-04-30,155.2
"Calgary, Alberta ",2028-05-31,155.6
"Calgary, Alberta ",2028-06-30,156.0
"Calgary, Alberta ",2028-07-31,156.4
"Calgary, Alberta ",2028-08-31,156.8
"Calgary, Alberta ",2028-09-30,157.2
"Calgary, Alberta ",2028-10-31,157.6
"Calgary, Alberta ",2028-11-30,158.0
"Calgary, Alberta ",2028-12-31,158.4
"Calgary, Alberta ",2029-01-31,157.3
"Calgary, Alberta ",2029-02-28,157.7
