Location,Month,Predicted Prices
"Charlottetown and Summerside, Prince Edward Island",2024-03-31,159.16755120313064
"Charlottetown and Summerside, Prince Edward Island",2024-04-30,159.50992166776268
"Charlottetown and Summerside, Prince Edward Island",2024-05-31,159.8522921323938
"Charlottetown and Summerside, Prince Edward Island",2024-06-30,160.19466259702585
"Charlottetown and Summerside, Prince Edward Island",2024-07-31,160.5370330616579
"Charlottetown and Summerside, Prince Edward Island",2024-08-31,160.87940352628993
"Charlottetown and Summerside, Prince Edward Island",2024-09-30,161.22177399092197
"Charlottetown and Summerside, Prince Edward Island",2024-10-31,161.56414445555401
"Charlottetown and Summerside, Prince Edward Island",2024-11-30,161.90651492018605
"Charlottetown and Summerside, Prince Edward Island",2024-12-31,162.2488853848181
"Charlottetown and Summerside, Prince Edward Island",2025-01-31,162.0733202817919
"Charlottetown and Summerside, Prince Edward Island",2025-02-28,162.41569074642393
"Charlottetown and Summerside, Prince Edward Island",2025-03-31,162.75806121105597
"Charlottetown and Summerside, Prince Edward Island",2025-04-30,163.10043167568801
"Charlottetown and Summerside, Prince Edward Island",2025-05-31,163.44280214031915
"Charlottetown and Summerside, Prince Edward Island",2025-06-30,163.78517260495119
"Charlottetown and Summerside, Prince Edward Island",2025-07-31,164.12754306958323
"Charlottetown and Summerside, Prince Edward Island",2025-08-31,164.46991353421527
"Charlottetown and Summerside, Prince Edward Island",2025-09-30,164.8122839988473
"Charlottetown and Summerside, Prince Edward Island",2025-10-31,165.15465446347935
"Charlottetown and Summerside, Prince Edward Island",2025-11-30,165.4970249281114
"Charlottetown and Summerside, Prince Edward Island",2025-12-31,165.83939539274343
"Charlottetown and Summerside, Prince Edward Island",2026-01-31,165.66383028971723
"Charlottetown and Summerside, Prince Edward Island",2026-02-28,166.00620075434927
"Charlottetown and Summerside, Prince Edward Island",2026-03-31,166.3485712189813
"Charlottetown and Summerside, Prince Edward Island",2026-04-30,166.69094168361335
"Charlottetown and Summerside, Prince Edward Island",2026-05-31,167.03331214824448
"Charlottetown and Summerside, Prince Edward Island",2026-06-30,167.37568261287652
"Charlottetown and Summerside, Prince Edward Island",2026-07-31,167.71805307750856
"Charlottetown and Summerside, Prince Edward Island",2026-08-31,168.0604235421406
"Charlottetown and Summerside, Prince Edward Island",2026-09-30,168.40279400677264
"Charlottetown and Summerside, Prince Edward Island",2026-10-31,168.74516447140468
"Charlottetown and Summerside, Prince Edward Island",2026-11-30,169.08753493603672
"Charlottetown and Summerside, Prince Edward Island",2026-12-31,169.42990540066876
"Charlottetown and Summerside, Prince Edward Island",2027-01-31,169.25434029764256
"Charlottetown and Summerside, Prince Edward Island",2027-02-28,169.5967107622746
"Charlottetown and Summerside, Prince Edward Island",2027-03-31,169.93908122690664
"Charlottetown and Summerside, Prince Edward Island",2027-04-30,170.28145169153868
"Charlottetown and Summerside, Prince Edward Island",2027-05-31,170.6238221561698
"Charlottetown and Summerside, Prince Edward Island",2027-06-30,170.96619262080185
"Charlottetown and Summerside, Prince Edward Island",2027-07-31,171.3085630854339
"Charlottetown and Summerside, Prince Edward Island",2027-08-31,171.65093355006593
"Charlottetown and Summerside, Prince Edward Island",2027-09-30,171.99330401469797
"Charlottetown and Summerside, Prince Edward Island",2027-10-31,172.33567447933
"Charlottetown and Summerside, Prince Edward Island",2027-11-30,172.67804494396205
"Charlottetown and Summerside, Prince Edward Island",2027-12-31,173.0204154085941
"Charlottetown and Summerside, Prince Edward Island",2028-01-31,172.8448503055679
"Charlottetown and Summerside, Prince Edward Island",2028-02-29,173.18722077019993
"Charlottetown and Summerside, Prince Edward Island",2028-03-31,173.52959123483197
"Charlottetown and Summerside, Prince Edward Island",2028-04-30,173.871961699464
"Charlottetown and Summerside, Prince Edward Island",2028-05-31,174.21433216409514
"Charlottetown and Summerside, Prince Edward Island",2028-06-30,174.55670262872718
"Charlottetown and Summerside, Prince Edward Island",2028-07-31,174.89907309335922
"Charlottetown and Summerside, Prince Edward Island",2028-08-31,175.24144355799126
"Charlottetown and Summerside, Prince Edward Island",2028-09-30,175.5838140226233
"Charlottetown and Summerside, Prince Edward Island",2028-10-31,175.92618448725534
"Charlottetown and Summerside, Prince Edward Island",2028-11-30,176.26855495188738
"Charlottetown and Summerside, Prince Edward Island",2028-12-31,176.61092541651942
"Charlottetown and Summerside, Prince Edward Island",2029-01-31,176.43536031349322
"Charlottetown and Summerside, Prince Edward Island",2029-02-28,176.77773077812526
