Location,Month,Predicted Prices
"Halifax, Nova Scotia",2024-03-31,159.9
"Halifax, Nova Scotia",2024-04-30,160.4
"Halifax, Nova Scotia",2024-05-31,160.9
"Halifax, Nova Scotia",2024-06-30,161.4
"Halifax, Nova Scotia",2024-07-31,162.0
"Halifax, Nova Scotia",2024-08-31,162.5
"Halifax, Nova Scotia",2024-09-30,163.0
"Halifax, Nova Scotia",2024-10-31,163.5
"Halifax, Nova Scotia",2024-11-30,164.0
"Halifax, Nova Scotia",2024-12-31,164.5
"Halifax, Nova Scotia",2025-01-31,164.5
"Halifax, Nova Scotia",2025-02-28,165.0
"Halifax, Nova Scotia",2025-03-31,165.5
"Halifax, Nova Scotia",2025-04-30,166.0
"Halifax, Nova Scotia",2025-05-31,166.5
"Halifax, Nova Scotia",2025-06-30,167.0
"Halifax, Nova Scotia",2025-07-31,167.5
"Halifax, Nova Scotia",2025-08-31,168.0
"Halifax, Nova Scotia",2025-09-30,168.5
"Halifax, Nova Scotia",2025-10-31,169.0
"Halifax, Nova Scotia",2025-11-30,169.5
"Halifax, Nova Scotia",2025-12-31,170.1
"Halifax, Nova Scotia",2026-01-31,170.0
"Halifax, Nova Scotia",2026-02-28,170.5
"Halifax, Nova Scotia",2026-03-31,171.0
"Halifax, Nova Scotia",2026-04-30,171.5
"Halifax, Nova Scotia",2026-05-31,172.1
"Halifax, Nova Scotia",2026-06-30,172.6
"Halifax, Nova Scotia",2026-07-31,173.1
"Halifax, Nova Scotia",2026-08-31,173.6
"Halifax, Nova Scotia",2026-09-30,174.1
"Halifax, Nova Scotia",2026-10-31,174.6
"Halifax, Nova Scotia",2026-11-30,175.1
"Halifax, Nova Scotia",2026-12-31,175.6
"Halifax, Nova Scotia",2027-01-31,175.6
"Halifax, Nova Scotia",2027-02-28,176.1
"Halifax, Nova Scotia",2027-03-31,176.6
"Halifax, Nova Scotia",2027-04-30,177.1
"Halifax, Nova Scotia",2027-05-31,177.6
"Halifax, Nova Scotia",2027-06-30,178.1
"Halifax, Nova Scotia",2027-07-31,178.6
"Halifax, Nova Scotia",2027-08-31,179.1
"Halifax, Nova Scotia",2027-09-30,179.6
"Halifax, Nova Scotia",2027-10-31,180.2
"Halifax, Nova Scotia",2027-11-30,180.7
"Halifax, Nova Scotia",2027-12-31,181.2
"Halifax, Nova Scotia",2028-01-31,181.1
"Halifax, Nova Scotia",2028-02-29,181.7
"Halifax, Nova Scotia",2028-03-31,182.2
"Halifax, Nova Scotia",2028-04-30,182.7
"Halifax, Nova Scotia",2028-05-31,183.2
"Halifax, Nova Scotia",2028-06-30,183.7
"Halifax, Nova Scotia",2028-07-31,184.2
"Halifax, Nova Scotia",2028-08-31,184.7
"Halifax, Nova Scotia",2028-09-30,185.2
"Halifax, Nova Scotia",2028-10-31,185.7
"Halifax, Nova Scotia",2028-11-30,186.2
"Halifax, Nova Scotia",2028-12-31,186.7
"Halifax, Nova Scotia",2029-01-31,186.7
"Halifax, Nova Scotia",2029-02-28,187.2
