Location,Month,Predicted Prices
"Montréal, Quebec",2024-03-31,159.7
"Montréal, Quebec",2024-04-30,159.9
"Montréal, Quebec",2024-05-31,160.1
"Montréal, Quebec",2024-06-30,160.3
"Montréal, Quebec",2024-07-31,160.5
"Montréal, Quebec",2024-08-31,160.7
"Montréal, Quebec",2024-09-30,160.9
"Montréal, Quebec",2024-10-31,161.1
"Montréal, Quebec",2024-11-30,161.3
"Montréal, Quebec",2024-12-31,161.5
"Montréal, Quebec",2025-01-31,162.8
"Montréal, Quebec",2025-02-28,163.0
"Montréal, Quebec",2025-03-31,163.2
"Montréal, Quebec",2025-04-30,163.4
"Montréal, Quebec",2025-05-31,163.6
"Montréal, Quebec",2025-06-30,163.8
"Montréal, Quebec",2025-07-31,164.0
"Montréal, Quebec",2025-08-31,164.2
"Montréal, Quebec",2025-09-30,164.4
"Montréal, Quebec",2025-10-31,164.6
"Montréal, Quebec",2025-11-30,164.8
"Montréal, Quebec",2025-12-31,165.0
"Montréal, Quebec",2026-01-31,166.4
"Montréal, Quebec",2026-02-28,166.6
"Montréal, Quebec",2026-03-31,166.8
"Montréal, Quebec",2026-04-30,167.0
"Montréal, Quebec",2026-05-31,167.2
"Montréal, Quebec",2026-06-30,167.4
"Montréal, Quebec",2026-07-31,167.6
"Montréal, Quebec",2026-08-31,167.8
"Montréal, Quebec",2026-09-30,168.0
"Montréal, Quebec",2026-10-31,168.1
"Montréal, Quebec",2026-11-30,168.3
"Montréal, Quebec",2026-12-31,168.5
"Montréal, Quebec",2027-01-31,169.9
"Montréal, Quebec",2027-02-28,170.1
"Montréal, Quebec",2027-03-31,170.3
"Montréal, Quebec",2027-04-30,170.5
"Montréal, Quebec",2027-05-31,170.7
"Montréal, Quebec",2027-06-30,170.9
"Montréal, Quebec",2027-07-31,171.1
"Montréal, Quebec",2027-08-31,171.3
"Montréal, Quebec",2027-09-30,171.5
"Montréal, Quebec",2027-10-31,171.7
"Montréal, Quebec",2027-11-30,171.9
"Montréal, Quebec",2027-12-31,172.1
"Montréal, Quebec",2028-01-31,173.4
"Montréal, Quebec",2028-02-29,173.6
"Montréal, Quebec",2028-03-31,173.8
"Montréal, Quebec",2028-04-30,174.0
"Montréal, Quebec",2028-05-31,174.2
"Montréal, Quebec",2028-06-30,174.4
"Montréal, Quebec",2028-07-31,174.6
"Montréal, Quebec",2028-08-31,174.8
"Montréal, Quebec",2028-09-30,175.0
"Montréal, Quebec",2028-10-31,175.2
"Montréal, Quebec",2028-11-30,175.4
"Montréal, Quebec",2028-12-31,175.6
"Montréal, Quebec",2029-01-31,177.0
"Montréal, Quebec",2029-02-28,177.2
