Location,Month,Predicted Prices
"Québec, Quebec",2024-03-31,171.0
"Québec, Quebec",2024-04-30,171.7
"Québec, Quebec",2024-05-31,172.3
"Québec, Quebec",2024-06-30,172.9
"Québec, Quebec",2024-07-31,173.5
"Québec, Quebec",2024-08-31,174.2
"Québec, Quebec",2024-09-30,174.8
"Québec, Quebec",2024-10-31,175.4
"Québec, Quebec",2024-11-30,176.0
"Québec, Quebec",2024-12-31,176.7
"Québec, Quebec",2025-01-31,176.0
"Québec, Quebec",2025-02-28,176.6
"Québec, Quebec",2025-03-31,177.2
"Québec, Quebec",2025-04-30,177.8
"Québec, Quebec",2025-05-31,178.5
"Québec, Quebec",2025-06-30,179.1
"Québec, Quebec",2025-07-31,179.7
"Québec, Quebec",2025-08-31,180.4
"Québec, Quebec",2025-09-30,181.0
"Québec, Quebec",2025-10-31,181.6
"Québec, Quebec",2025-11-30,182.2
"Québec, Quebec",2025-12-31,182.9
"Québec, Quebec",2026-01-31,182.2
"Québec, Quebec",2026-02-28,182.8
"Québec, Quebec",2026-03-31,183.4
"Québec, Quebec",2026-04-30,184.0
"Québec, Quebec",2026-05-31,184.7
"Québec, Quebec",2026-06-30,185.3
"Québec, Quebec",2026-07-31,185.9
"Québec, Quebec",2026-08-31,186.5
"Québec, Quebec",2026-09-30,187.2
"Québec, Quebec",2026-10-31,187.8
"Québec, Quebec",2026-11-30,188.4
"Québec, Quebec",2026-12-31,189.1
"Québec, Quebec",2027-01-31,188.3
"Québec, Quebec",2027-02-28,189.0
"Québec, Quebec",2027-03-31,189.6
"Québec, Quebec",2027-04-30,190.2
"Québec, Quebec",2027-05-31,190.9
"Québec, Quebec",2027-06-30,191.5
"Québec, Quebec",2027-07-31,192.1
"Québec, Quebec",2027-08-31,192.7
"Québec, Quebec",2027-09-30,193.4
"Québec, Quebec",2027-10-31,194.0
"Québec, Quebec",2027-11-30,194.6
"Québec, Quebec",2027-12-31,195.2
"Québec, Quebec",2028-01-31,194.5
"Québec, Quebec",2028-02-29,195.2
"Québec, Quebec",2028-03-31,195.8
"Québec, Quebec",2028-04-30,196.4
"Québec, Quebec",2028-05-31,197.0
"Québec, Quebec",2028-06-30,197.7
"Québec, Quebec",2028-07-31,198.3
"Québec, Quebec",2028-08-31,198.9
"Québec, Quebec",2028-09-30,199.6
"Québec, Quebec",2028-10-31,200.2
"Québec, Quebec",2028-11-30,200.8
"Québec, Quebec",2028-12-31,201.4
"Québec, Quebec",2029-01-31,200.7
"Québec, Quebec",2029-02-28,201.4
