Location,Month,Predicted Prices
"St. John's, Newfoundland and Labrador",2024-03-31,180.66303832462108
"St. John's, Newfoundland and Labrador",2024-04-30,181.25038551844045
"St. John's, Newfoundland and Labrador",2024-05-31,181.83773271226164
"St. John's, Newfoundland and Labrador",2024-06-30,182.425079906081
"St. John's, Newfoundland and Labrador",2024-07-31,183.01242709990038
"St. John's, Newfoundland and Labrador",2024-08-31,183.59977429371975
"St. John's, Newfoundland and Labrador",2024-09-30,184.18712148753912
"St. John's, Newfoundland and Labrador",2024-10-31,184.77446868135848
"St. John's, Newfoundland and Labrador",2024-11-30,185.36181587517785
"St. John's, Newfoundland and Labrador",2024-12-31,185.94916306899722
"St. John's, Newfoundland and Labrador",2025-01-31,186.15450875489478
"St. John's, Newfoundland and Labrador",2025-02-28,186.74185594871415
"St. John's, Newfoundland and Labrador",2025-03-31,187.32920314253352
"St. John's, Newfoundland and Labrador",2025-04-30,187.91655033635288
"St. John's, Newfoundland and Labrador",2025-05-31,188.50389753017407
"St. John's, Newfoundland and Labrador",2025-06-30,189.09124472399344
"St. John's, Newfoundland and Labrador",2025-07-31,189.6785919178128
"St. John's, Newfoundland and Labrador",2025-08-31,190.26593911163218
"St. John's, Newfoundland and Labrador",2025-09-30,190.85328630545155
"St. John's, Newfoundland and Labrador",2025-10-31,191.44063349927092
"St. John's, Newfoundland and Labrador",2025-11-30,192.02798069309029
"St. John's, Newfoundland and Labrador",2025-12-31,192.61532788690965
"St. John's, Newfoundland and Labrador",2026-01-31,192.82067357280903
"St. John's, Newfoundland and Labrador",2026-02-28,193.4080207666284
"St. John's, Newfoundland and Labrador",2026-03-31,193.99536796044777
"St. John's, Newfoundland and Labrador",2026-04-30,194.58271515426713
"St. John's, Newfoundland and Labrador",2026-05-31,195.17006234808832
"St. John's, Newfoundland and Labrador",2026-06-30,195.7574095419077
"St. John's, Newfoundland and Labrador",2026-07-31,196.34475673572706
"St. John's, Newfoundland and Labrador",2026-08-31,196.93210392954643
"St. John's, Newfoundland and Labrador",2026-09-30,197.5194511233658
"St. John's, Newfoundland and Labrador",2026-10-31,198.10679831718517
"St. John's, Newfoundland and Labrador",2026-11-30,198.69414551100454
"St. John's, Newfoundland and Labrador",2026-12-31,199.2814927048239
"St. John's, Newfoundland and Labrador",2027-01-31,199.48683839072146
"St. John's, Newfoundland and Labrador",2027-02-28,200.07418558454083
"St. John's, Newfoundland and Labrador",2027-03-31,200.6615327783602
"St. John's, Newfoundland and Labrador",2027-04-30,201.24887997217957
"St. John's, Newfoundland and Labrador",2027-05-31,201.83622716600075
"St. John's, Newfoundland and Labrador",2027-06-30,202.42357435982012
"St. John's, Newfoundland and Labrador",2027-07-31,203.0109215536395
"St. John's, Newfoundland and Labrador",2027-08-31,203.59826874745886
"St. John's, Newfoundland and Labrador",2027-09-30,204.18561594127823
"St. John's, Newfoundland and Labrador",2027-10-31,204.7729631350976
"St. John's, Newfoundland and Labrador",2027-11-30,205.36031032891697
"St. John's, Newfoundland and Labrador",2027-12-31,205.94765752273634
"St. John's, Newfoundland and Labrador",2028-01-31,206.1530032086357
"St. John's, Newfoundland and Labrador",2028-02-29,206.74035040245508
"St. John's, Newfoundland and Labrador",2028-03-31,207.32769759627445
"St. John's, Newfoundland and Labrador",2028-04-30,207.91504479009382
"St. John's, Newfoundland and Labrador",2028-05-31,208.502391983915
"St. John's, Newfoundland and Labrador",2028-06-30,209.08973917773437
"St. John's, Newfoundland and Labrador",2028-07-31,209.67708637155374
"St. John's, Newfoundland and Labrador",2028-08-31,210.2644335653731
"St. John's, Newfoundland and Labrador",2028-09-30,210.85178075919248
"St. John's, Newfoundland and Labrador",2028-10-31,211.43912795301185
"St. John's, Newfoundland and Labrador",2028-11-30,212.02647514683122
"St. John's, Newfoundland and Labrador",2028-12-31,212.6138223406506
"St. John's, Newfoundland and Labrador",2029-01-31,212.81916802654814
"St. John's, Newfoundland and Labrador",2029-02-28,213.4065152203675
