Year,Industry,Predicted Employment Ontario 
2024,Agriculture ,195.5
2024,"Forestry, fishing, mining, quarrying, oil and gas",142.3
2024,Forestry and logging and support activities for forestry,81.8
2024,"Fishing, hunting and trapping",111.2
2024,"Mining, quarrying, and oil and gas extraction",105.1
2024,Utilities,155.2
2024,Construction,454.4
2024,Manufacturing,952.8
2024,Durables,632.0
2024,Non-durables,410.6
2024,Wholesale and retail trade,906.4
2024,Wholesale trade,292.1
2024,Retail trade,801.5
2024,Transportation and warehousing,370.8
2024,"Finance, insurance, real estate, rental and leasing",521.0
2024,Finance and insurance,414.7
2024,Real estate and rental and leasing,204.8
2024,"Professional, scientific and technical services",495.3
2024,"Business, building and other support services ",309.2
2024,Educational services,477.9
2024,Health care and social assistance,680.6
2024,"Information, culture and recreation",351.4
2024,Accommodation and food services,430.9
2024,Other services (except public administration),340.7
2024,Public administration,415.4
2025,Agriculture ,199.6
2025,"Forestry, fishing, mining, quarrying, oil and gas",146.4
2025,Forestry and logging and support activities for forestry,86.0
2025,"Fishing, hunting and trapping",115.3
2025,"Mining, quarrying, and oil and gas extraction",109.2
2025,Utilities,159.3
2025,Construction,458.5
2025,Manufacturing,956.9
2025,Durables,636.1
2025,Non-durables,414.8
2025,Wholesale and retail trade,910.5
2025,Wholesale trade,296.3
2025,Retail trade,805.6
2025,Transportation and warehousing,374.9
2025,"Finance, insurance, real estate, rental and leasing",525.1
2025,Finance and insurance,418.8
2025,Real estate and rental and leasing,208.9
2025,"Professional, scientific and technical services",499.4
2025,"Business, building and other support services ",313.4
2025,Educational services,482.0
2025,Health care and social assistance,684.7
2025,"Information, culture and recreation",355.5
2025,Accommodation and food services,435.1
2025,Other services (except public administration),344.9
2025,Public administration,419.5
2026,Agriculture ,203.8
2026,"Forestry, fishing, mining, quarrying, oil and gas",150.5
2026,Forestry and logging and support activities for forestry,90.1
2026,"Fishing, hunting and trapping",119.4
2026,"Mining, quarrying, and oil and gas extraction",113.3
2026,Utilities,163.4
2026,Construction,462.6
2026,Manufacturing,961.0
2026,Durables,640.2
2026,Non-durables,418.9
2026,Wholesale and retail trade,914.7
2026,Wholesale trade,300.4
2026,Retail trade,809.8
2026,Transportation and warehousing,379.1
2026,"Finance, insurance, real estate, rental and leasing",529.3
2026,Finance and insurance,422.9
2026,Real estate and rental and leasing,213.0
2026,"Professional, scientific and technical services",503.6
2026,"Business, building and other support services ",317.5
2026,Educational services,486.1
2026,Health care and social assistance,688.9
2026,"Information, culture and recreation",359.6
2026,Accommodation and food services,439.2
2026,Other services (except public administration),349.0
2026,Public administration,423.7
2027,Agriculture ,207.9
2027,"Forestry, fishing, mining, quarrying, oil and gas",154.6
2027,Forestry and logging and support activities for forestry,94.2
2027,"Fishing, hunting and trapping",123.6
2027,"Mining, quarrying, and oil and gas extraction",117.4
2027,Utilities,167.6
2027,Construction,466.8
2027,Manufacturing,965.2
2027,Durables,644.4
2027,Non-durables,423.0
2027,Wholesale and retail trade,918.8
2027,Wholesale trade,304.5
2027,Retail trade,813.9
2027,Transportation and warehousing,383.2
2027,"Finance, insurance, real estate, rental and leasing",533.4
2027,Finance and insurance,427.1
2027,Real estate and rental and leasing,217.1
2027,"Professional, scientific and technical services",507.7
2027,"Business, building and other support services ",321.6
2027,Educational services,490.3
2027,Health care and social assistance,693.0
2027,"Information, culture and recreation",363.8
2027,Accommodation and food services,443.3
2027,Other services (except public administration),353.1
2027,Public administration,427.8
2028,Agriculture ,212.0
2028,"Forestry, fishing, mining, quarrying, oil and gas",158.8
2028,Forestry and logging and support activities for forestry,98.4
2028,"Fishing, hunting and trapping",127.7
2028,"Mining, quarrying, and oil and gas extraction",121.6
2028,Utilities,171.7
2028,Construction,470.9
2028,Manufacturing,969.3
2028,Durables,648.5
2028,Non-durables,427.2
2028,Wholesale and retail trade,922.9
2028,Wholesale trade,308.6
2028,Retail trade,818.0
2028,Transportation and warehousing,387.3
2028,"Finance, insurance, real estate, rental and leasing",537.5
2028,Finance and insurance,431.2
2028,Real estate and rental and leasing,221.3
2028,"Professional, scientific and technical services",511.8
2028,"Business, building and other support services ",325.8
2028,Educational services,494.4
2028,Health care and social assistance,697.1
2028,"Information, culture and recreation",367.9
2028,Accommodation and food services,447.5
2028,Other services (except public administration),357.3
2028,Public administration,431.9
2029,Agriculture ,216.2
2029,"Forestry, fishing, mining, quarrying, oil and gas",162.9
2029,Forestry and logging and support activities for forestry,102.5
2029,"Fishing, hunting and trapping",131.8
2029,"Mining, quarrying, and oil and gas extraction",125.7
2029,Utilities,175.8
2029,Construction,475.0
2029,Manufacturing,973.4
2029,Durables,652.6
2029,Non-durables,431.3
2029,Wholesale and retail trade,927.0
2029,Wholesale trade,312.8
2029,Retail trade,822.2
2029,Transportation and warehousing,391.4
2029,"Finance, insurance, real estate, rental and leasing",541.7
2029,Finance and insurance,435.3
2029,Real estate and rental and leasing,225.4
2029,"Professional, scientific and technical services",516.0
2029,"Business, building and other support services ",329.9
2029,Educational services,498.5
2029,Health care and social assistance,701.3
2029,"Information, culture and recreation",372.0
2029,Accommodation and food services,451.6
2029,Other services (except public administration),361.4
2029,Public administration,436.1
2030,Agriculture ,220.3
2030,"Forestry, fishing, mining, quarrying, oil and gas",167.0
2030,Forestry and logging and support activities for forestry,106.6
2030,"Fishing, hunting and trapping",136.0
2030,"Mining, quarrying, and oil and gas extraction",129.8
2030,Utilities,180.0
2030,Construction,479.2
2030,Manufacturing,977.6
2030,Durables,656.7
2030,Non-durables,435.4
2030,Wholesale and retail trade,931.2
2030,Wholesale trade,316.9
2030,Retail trade,826.3
2030,Transportation and warehousing,395.6
2030,"Finance, insurance, real estate, rental and leasing",545.8
2030,Finance and insurance,439.5
2030,Real estate and rental and leasing,229.5
2030,"Professional, scientific and technical services",520.1
2030,"Business, building and other support services ",334.0
2030,Educational services,502.7
2030,Health care and social assistance,705.4
2030,"Information, culture and recreation",376.2
2030,Accommodation and food services,455.7
2030,Other services (except public administration),365.5
2030,Public administration,440.2
