Location,Month,Predicted Prices
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2024-03-31,149.0
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2024-04-30,149.3
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2024-05-31,149.5
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2024-06-30,149.7
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2024-07-31,150.0
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2024-08-31,150.2
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2024-09-30,150.4
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2024-10-31,150.6
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2024-11-30,150.9
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2024-12-31,151.1
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2025-01-31,151.9
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2025-02-28,152.1
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2025-03-31,152.4
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2025-04-30,152.6
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2025-05-31,152.8
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2025-06-30,153.0
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2025-07-31,153.3
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2025-08-31,153.5
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2025-09-30,153.7
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2025-10-31,154.0
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2025-11-30,154.2
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2025-12-31,154.4
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2026-01-31,155.2
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2026-02-28,155.5
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2026-03-31,155.7
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2026-04-30,155.9
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2026-05-31,156.1
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2026-06-30,156.4
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2026-07-31,156.6
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2026-08-31,156.8
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2026-09-30,157.1
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2026-10-31,157.3
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2026-11-30,157.5
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2026-12-31,157.7
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2027-01-31,158.6
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2027-02-28,158.8
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2027-03-31,159.0
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2027-04-30,159.2
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2027-05-31,159.5
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2027-06-30,159.7
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2027-07-31,159.9
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2027-08-31,160.2
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2027-09-30,160.4
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2027-10-31,160.6
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2027-11-30,160.8
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2027-12-31,161.1
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2028-01-31,161.9
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2028-02-29,162.1
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2028-03-31,162.3
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2028-04-30,162.6
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2028-05-31,162.8
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2028-06-30,163.0
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2028-07-31,163.3
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2028-08-31,163.5
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2028-09-30,163.7
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2028-10-31,163.9
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2028-11-30,164.2
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2028-12-31,164.4
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2029-01-31,165.2
"Ottawa-Gatineau, Ontario part, Ontario/Quebec ",2029-02-28,165.4
