Location,Month,Predicted Prices
"Québec, Quebec",2024-03-31,160.4
"Québec, Quebec",2024-04-30,160.6
"Québec, Quebec",2024-05-31,160.7
"Québec, Quebec",2024-06-30,160.9
"Québec, Quebec",2024-07-31,161.1
"Québec, Quebec",2024-08-31,161.2
"Québec, Quebec",2024-09-30,161.4
"Québec, Quebec",2024-10-31,161.6
"Québec, Quebec",2024-11-30,161.8
"Québec, Quebec",2024-12-31,161.9
"Québec, Quebec",2025-01-31,163.6
"Québec, Quebec",2025-02-28,163.8
"Québec, Quebec",2025-03-31,163.9
"Québec, Quebec",2025-04-30,164.1
"Québec, Quebec",2025-05-31,164.3
"Québec, Quebec",2025-06-30,164.4
"Québec, Quebec",2025-07-31,164.6
"Québec, Quebec",2025-08-31,164.8
"Québec, Quebec",2025-09-30,165.0
"Québec, Quebec",2025-10-31,165.1
"Québec, Quebec",2025-11-30,165.3
"Québec, Quebec",2025-12-31,165.5
"Québec, Quebec",2026-01-31,167.1
"Québec, Quebec",2026-02-28,167.3
"Québec, Quebec",2026-03-31,167.5
"Québec, Quebec",2026-04-30,167.7
"Québec, Quebec",2026-05-31,167.8
"Québec, Quebec",2026-06-30,168.0
"Québec, Quebec",2026-07-31,168.2
"Québec, Quebec",2026-08-31,168.3
"Québec, Quebec",2026-09-30,168.5
"Québec, Quebec",2026-10-31,168.7
"Québec, Quebec",2026-11-30,168.8
"Québec, Quebec",2026-12-31,169.0
"Québec, Quebec",2027-01-31,170.7
"Québec, Quebec",2027-02-28,170.9
"Québec, Quebec",2027-03-31,171.0
"Québec, Quebec",2027-04-30,171.2
"Québec, Quebec",2027-05-31,171.4
"Québec, Quebec",2027-06-30,171.5
"Québec, Quebec",2027-07-31,171.7
"Québec, Quebec",2027-08-31,171.9
"Québec, Quebec",2027-09-30,172.0
"Québec, Quebec",2027-10-31,172.2
"Québec, Quebec",2027-11-30,172.4
"Québec, Quebec",2027-12-31,172.6
"Québec, Quebec",2028-01-31,174.2
"Québec, Quebec",2028-02-29,174.4
"Québec, Quebec",2028-03-31,174.6
"Québec, Quebec",2028-04-30,174.7
"Québec, Quebec",2028-05-31,174.9
"Québec, Quebec",2028-06-30,175.1
"Québec, Quebec",2028-07-31,175.2
"Québec, Quebec",2028-08-31,175.4
"Québec, Quebec",2028-09-30,175.6
"Québec, Quebec",2028-10-31,175.8
"Québec, Quebec",2028-11-30,175.9
"Québec, Quebec",2028-12-31,176.1
"Québec, Quebec",2029-01-31,177.8
"Québec, Quebec",2029-02-28,177.9
