Location,Month,Predicted Prices
"Regina, Saskatchewan",2024-03-31,143.5
"Regina, Saskatchewan",2024-04-30,143.9
"Regina, Saskatchewan",2024-05-31,144.3
"Regina, Saskatchewan",2024-06-30,144.7
"Regina, Saskatchewan",2024-07-31,145.2
"Regina, Saskatchewan",2024-08-31,145.6
"Regina, Saskatchewan",2024-09-30,146.0
"Regina, Saskatchewan",2024-10-31,146.4
"Regina, Saskatchewan",2024-11-30,146.9
"Regina, Saskatchewan",2024-12-31,147.3
"Regina, Saskatchewan",2025-01-31,145.8
"Regina, Saskatchewan",2025-02-28,146.2
"Regina, Saskatchewan",2025-03-31,146.6
"Regina, Saskatchewan",2025-04-30,147.0
"Regina, Saskatchewan",2025-05-31,147.5
"Regina, Saskatchewan",2025-06-30,147.9
"Regina, Saskatchewan",2025-07-31,148.3
"Regina, Saskatchewan",2025-08-31,148.7
"Regina, Saskatchewan",2025-09-30,149.2
"Regina, Saskatchewan",2025-10-31,149.6
"Regina, Saskatchewan",2025-11-30,150.0
"Regina, Saskatchewan",2025-12-31,150.4
"Regina, Saskatchewan",2026-01-31,148.9
"Regina, Saskatchewan",2026-02-28,149.4
"Regina, Saskatchewan",2026-03-31,149.8
"Regina, Saskatchewan",2026-04-30,150.2
"Regina, Saskatchewan",2026-05-31,150.6
"Regina, Saskatchewan",2026-06-30,151.1
"Regina, Saskatchewan",2026-07-31,151.5
"Regina, Saskatchewan",2026-08-31,151.9
"Regina, Saskatchewan",2026-09-30,152.3
"Regina, Saskatchewan",2026-10-31,152.7
"Regina, Saskatchewan",2026-11-30,153.2
"Regina, Saskatchewan",2026-12-31,153.6
"Regina, Saskatchewan",2027-01-31,152.1
"Regina, Saskatchewan",2027-02-28,152.5
"Regina, Saskatchewan",2027-03-31,152.9
"Regina, Saskatchewan",2027-04-30,153.4
"Regina, Saskatchewan",2027-05-31,153.8
"Regina, Saskatchewan",2027-06-30,154.2
"Regina, Saskatchewan",2027-07-31,154.6
"Regina, Saskatchewan",2027-08-31,155.1
"Regina, Saskatchewan",2027-09-30,155.5
"Regina, Saskatchewan",2027-10-31,155.9
"Regina, Saskatchewan",2027-11-30,156.3
"Regina, Saskatchewan",2027-12-31,156.8
"Regina, Saskatchewan",2028-01-31,155.2
"Regina, Saskatchewan",2028-02-29,155.7
"Regina, Saskatchewan",2028-03-31,156.1
"Regina, Saskatchewan",2028-04-30,156.5
"Regina, Saskatchewan",2028-05-31,156.9
"Regina, Saskatchewan",2028-06-30,157.4
"Regina, Saskatchewan",2028-07-31,157.8
"Regina, Saskatchewan",2028-08-31,158.2
"Regina, Saskatchewan",2028-09-30,158.6
"Regina, Saskatchewan",2028-10-31,159.1
"Regina, Saskatchewan",2028-11-30,159.5
"Regina, Saskatchewan",2028-12-31,159.9
"Regina, Saskatchewan",2029-01-31,158.4
"Regina, Saskatchewan",2029-02-28,158.8
