Location,Month,Predicted Prices
"Saskatoon, Saskatchewan",2024-03-31,146.3
"Saskatoon, Saskatchewan",2024-04-30,146.7
"Saskatoon, Saskatchewan",2024-05-31,147.1
"Saskatoon, Saskatchewan",2024-06-30,147.5
"Saskatoon, Saskatchewan",2024-07-31,147.9
"Saskatoon, Saskatchewan",2024-08-31,148.3
"Saskatoon, Saskatchewan",2024-09-30,148.7
"Saskatoon, Saskatchewan",2024-10-31,149.1
"Saskatoon, Saskatchewan",2024-11-30,149.5
"Saskatoon, Saskatchewan",2024-12-31,149.9
"Saskatoon, Saskatchewan",2025-01-31,148.9
"Saskatoon, Saskatchewan",2025-02-28,149.3
"Saskatoon, Saskatchewan",2025-03-31,149.7
"Saskatoon, Saskatchewan",2025-04-30,150.0
"Saskatoon, Saskatchewan",2025-05-31,150.4
"Saskatoon, Saskatchewan",2025-06-30,150.8
"Saskatoon, Saskatchewan",2025-07-31,151.2
"Saskatoon, Saskatchewan",2025-08-31,151.6
"Saskatoon, Saskatchewan",2025-09-30,152.0
"Saskatoon, Saskatchewan",2025-10-31,152.4
"Saskatoon, Saskatchewan",2025-11-30,152.8
"Saskatoon, Saskatchewan",2025-12-31,153.2
"Saskatoon, Saskatchewan",2026-01-31,152.2
"Saskatoon, Saskatchewan",2026-02-28,152.6
"Saskatoon, Saskatchewan",2026-03-31,153.0
"Saskatoon, Saskatchewan",2026-04-30,153.4
"Saskatoon, Saskatchewan",2026-05-31,153.8
"Saskatoon, Saskatchewan",2026-06-30,154.2
"Saskatoon, Saskatchewan",2026-07-31,154.6
"Saskatoon, Saskatchewan",2026-08-31,154.9
"Saskatoon, Saskatchewan",2026-09-30,155.3
"Saskatoon, Saskatchewan",2026-10-31,155.7
"Saskatoon, Saskatchewan",2026-11-30,156.1
"Saskatoon, Saskatchewan",2026-12-31,156.5
"Saskatoon, Saskatchewan",2027-01-31,155.5
"Saskatoon, Saskatchewan",2027-02-28,155.9
"Saskatoon, Saskatchewan",2027-03-31,156.3
"Saskatoon, Saskatchewan",2027-04-30,156.7
"Saskatoon, Saskatchewan",2027-05-31,157.1
"Saskatoon, Saskatchewan",2027-06-30,157.5
"Saskatoon, Saskatchewan",2027-07-31,157.9
"Saskatoon, Saskatchewan",2027-08-31,158.3
"Saskatoon, Saskatchewan",2027-09-30,158.7
"Saskatoon, Saskatchewan",2027-10-31,159.1
"Saskatoon, Saskatchewan",2027-11-30,159.5
"Saskatoon, Saskatchewan",2027-12-31,159.8
"Saskatoon, Saskatchewan",2028-01-31,158.9
"Saskatoon, Saskatchewan",2028-02-29,159.3
"Saskatoon, Saskatchewan",2028-03-31,159.7
"Saskatoon, Saskatchewan",2028-04-30,160.0
"Saskatoon, Saskatchewan",2028-05-31,160.4
"Saskatoon, Saskatchewan",2028-06-30,160.8
"Saskatoon, Saskatchewan",2028-07-31,161.2
"Saskatoon, Saskatchewan",2028-08-31,161.6
"Saskatoon, Saskatchewan",2028-09-30,162.0
"Saskatoon, Saskatchewan",2028-10-31,162.4
"Saskatoon, Saskatchewan",2028-11-30,162.8
"Saskatoon, Saskatchewan",2028-12-31,163.2
"Saskatoon, Saskatchewan",2029-01-31,162.2
"Saskatoon, Saskatchewan",2029-02-28,162.6
