Location,Month,Predicted Prices
"Toronto, Ontario",2024-03-31,148.3
"Toronto, Ontario",2024-04-30,148.5
"Toronto, Ontario",2024-05-31,148.7
"Toronto, Ontario",2024-06-30,149.0
"Toronto, Ontario",2024-07-31,149.2
"Toronto, Ontario",2024-08-31,149.4
"Toronto, Ontario",2024-09-30,149.7
"Toronto, Ontario",2024-10-31,149.9
"Toronto, Ontario",2024-11-30,150.1
"Toronto, Ontario",2024-12-31,150.4
"Toronto, Ontario",2025-01-31,151.1
"Toronto, Ontario",2025-02-28,151.4
"Toronto, Ontario",2025-03-31,151.6
"Toronto, Ontario",2025-04-30,151.8
"Toronto, Ontario",2025-05-31,152.1
"Toronto, Ontario",2025-06-30,152.3
"Toronto, Ontario",2025-07-31,152.5
"Toronto, Ontario",2025-08-31,152.8
"Toronto, Ontario",2025-09-30,153.0
"Toronto, Ontario",2025-10-31,153.2
"Toronto, Ontario",2025-11-30,153.5
"Toronto, Ontario",2025-12-31,153.7
"Toronto, Ontario",2026-01-31,154.5
"Toronto, Ontario",2026-02-28,154.7
"Toronto, Ontario",2026-03-31,154.9
"Toronto, Ontario",2026-04-30,155.2
"Toronto, Ontario",2026-05-31,155.4
"Toronto, Ontario",2026-06-30,155.6
"Toronto, Ontario",2026-07-31,155.9
"Toronto, Ontario",2026-08-31,156.1
"Toronto, Ontario",2026-09-30,156.3
"Toronto, Ontario",2026-10-31,156.5
"Toronto, Ontario",2026-11-30,156.8
"Toronto, Ontario",2026-12-31,157.0
"Toronto, Ontario",2027-01-31,157.8
"Toronto, Ontario",2027-02-28,158.0
"Toronto, Ontario",2027-03-31,158.3
"Toronto, Ontario",2027-04-30,158.5
"Toronto, Ontario",2027-05-31,158.7
"Toronto, Ontario",2027-06-30,159.0
"Toronto, Ontario",2027-07-31,159.2
"Toronto, Ontario",2027-08-31,159.4
"Toronto, Ontario",2027-09-30,159.6
"Toronto, Ontario",2027-10-31,159.9
"Toronto, Ontario",2027-11-30,160.1
"Toronto, Ontario",2027-12-31,160.3
"Toronto, Ontario",2028-01-31,161.1
"Toronto, Ontario",2028-02-29,161.4
"Toronto, Ontario",2028-03-31,161.6
"Toronto, Ontario",2028-04-30,161.8
"Toronto, Ontario",2028-05-31,162.1
"Toronto, Ontario",2028-06-30,162.3
"Toronto, Ontario",2028-07-31,162.5
"Toronto, Ontario",2028-08-31,162.7
"Toronto, Ontario",2028-09-30,163.0
"Toronto, Ontario",2028-10-31,163.2
"Toronto, Ontario",2028-11-30,163.4
"Toronto, Ontario",2028-12-31,163.7
"Toronto, Ontario",2029-01-31,164.5
"Toronto, Ontario",2029-02-28,164.7
