Location,Month,Predicted Prices
"Vancouver, British Columbia",2024-03-31,167.3
"Vancouver, British Columbia",2024-04-30,167.8
"Vancouver, British Columbia",2024-05-31,168.4
"Vancouver, British Columbia",2024-06-30,168.9
"Vancouver, British Columbia",2024-07-31,169.4
"Vancouver, British Columbia",2024-08-31,169.9
"Vancouver, British Columbia",2024-09-30,170.5
"Vancouver, British Columbia",2024-10-31,171.0
"Vancouver, British Columbia",2024-11-30,171.5
"Vancouver, British Columbia",2024-12-31,172.0
"Vancouver, British Columbia",2025-01-31,170.3
"Vancouver, British Columbia",2025-02-28,170.8
"Vancouver, British Columbia",2025-03-31,171.3
"Vancouver, British Columbia",2025-04-30,171.9
"Vancouver, British Columbia",2025-05-31,172.4
"Vancouver, British Columbia",2025-06-30,172.9
"Vancouver, British Columbia",2025-07-31,173.4
"Vancouver, British Columbia",2025-08-31,173.9
"Vancouver, British Columbia",2025-09-30,174.5
"Vancouver, British Columbia",2025-10-31,175.0
"Vancouver, British Columbia",2025-11-30,175.5
"Vancouver, British Columbia",2025-12-31,176.0
"Vancouver, British Columbia",2026-01-31,174.3
"Vancouver, British Columbia",2026-02-28,174.8
"Vancouver, British Columbia",2026-03-31,175.3
"Vancouver, British Columbia",2026-04-30,175.9
"Vancouver, British Columbia",2026-05-31,176.4
"Vancouver, British Columbia",2026-06-30,176.9
"Vancouver, British Columbia",2026-07-31,177.4
"Vancouver, British Columbia",2026-08-31,177.9
"Vancouver, British Columbia",2026-09-30,178.5
"Vancouver, British Columbia",2026-10-31,179.0
"Vancouver, British Columbia",2026-11-30,179.5
"Vancouver, British Columbia",2026-12-31,180.0
"Vancouver, British Columbia",2027-01-31,178.3
"Vancouver, British Columbia",2027-02-28,178.8
"Vancouver, British Columbia",2027-03-31,179.3
"Vancouver, British Columbia",2027-04-30,179.9
"Vancouver, British Columbia",2027-05-31,180.4
"Vancouver, British Columbia",2027-06-30,180.9
"Vancouver, British Columbia",2027-07-31,181.4
"Vancouver, British Columbia",2027-08-31,181.9
"Vancouver, British Columbia",2027-09-30,182.5
"Vancouver, British Columbia",2027-10-31,183.0
"Vancouver, British Columbia",2027-11-30,183.5
"Vancouver, British Columbia",2027-12-31,184.0
"Vancouver, British Columbia",2028-01-31,182.3
"Vancouver, British Columbia",2028-02-29,182.8
"Vancouver, British Columbia",2028-03-31,183.3
"Vancouver, British Columbia",2028-04-30,183.9
"Vancouver, British Columbia",2028-05-31,184.4
"Vancouver, British Columbia",2028-06-30,184.9
"Vancouver, British Columbia",2028-07-31,185.4
"Vancouver, British Columbia",2028-08-31,186.0
"Vancouver, British Columbia",2028-09-30,186.5
"Vancouver, British Columbia",2028-10-31,187.0
"Vancouver, British Columbia",2028-11-30,187.5
"Vancouver, British Columbia",2028-12-31,188.0
"Vancouver, British Columbia",2029-01-31,186.3
"Vancouver, British Columbia",2029-02-28,186.8
