Location,Month,Predicted Prices
"Victoria, British Columbia",2024-03-31,161.7
"Victoria, British Columbia",2024-04-30,162.2
"Victoria, British Columbia",2024-05-31,162.7
"Victoria, British Columbia",2024-06-30,163.1
"Victoria, British Columbia",2024-07-31,163.6
"Victoria, British Columbia",2024-08-31,164.1
"Victoria, British Columbia",2024-09-30,164.5
"Victoria, British Columbia",2024-10-31,165.0
"Victoria, British Columbia",2024-11-30,165.5
"Victoria, British Columbia",2024-12-31,165.9
"Victoria, British Columbia",2025-01-31,164.6
"Victoria, British Columbia",2025-02-28,165.1
"Victoria, British Columbia",2025-03-31,165.6
"Victoria, British Columbia",2025-04-30,166.0
"Victoria, British Columbia",2025-05-31,166.5
"Victoria, British Columbia",2025-06-30,167.0
"Victoria, British Columbia",2025-07-31,167.4
"Victoria, British Columbia",2025-08-31,167.9
"Victoria, British Columbia",2025-09-30,168.3
"Victoria, British Columbia",2025-10-31,168.8
"Victoria, British Columbia",2025-11-30,169.3
"Victoria, British Columbia",2025-12-31,169.7
"Victoria, British Columbia",2026-01-31,168.5
"Victoria, British Columbia",2026-02-28,168.9
"Victoria, British Columbia",2026-03-31,169.4
"Victoria, British Columbia",2026-04-30,169.8
"Victoria, British Columbia",2026-05-31,170.3
"Victoria, British Columbia",2026-06-30,170.8
"Victoria, British Columbia",2026-07-31,171.2
"Victoria, British Columbia",2026-08-31,171.7
"Victoria, British Columbia",2026-09-30,172.2
"Victoria, British Columbia",2026-10-31,172.6
"Victoria, British Columbia",2026-11-30,173.1
"Victoria, British Columbia",2026-12-31,173.6
"Victoria, British Columbia",2027-01-31,172.3
"Victoria, British Columbia",2027-02-28,172.7
"Victoria, British Columbia",2027-03-31,173.2
"Victoria, British Columbia",2027-04-30,173.7
"Victoria, British Columbia",2027-05-31,174.1
"Victoria, British Columbia",2027-06-30,174.6
"Victoria, British Columbia",2027-07-31,175.1
"Victoria, British Columbia",2027-08-31,175.5
"Victoria, British Columbia",2027-09-30,176.0
"Victoria, British Columbia",2027-10-31,176.4
"Victoria, British Columbia",2027-11-30,176.9
"Victoria, British Columbia",2027-12-31,177.4
"Victoria, British Columbia",2028-01-31,176.1
"Victoria, British Columbia",2028-02-29,176.6
"Victoria, British Columbia",2028-03-31,177.0
"Victoria, British Columbia",2028-04-30,177.5
"Victoria, British Columbia",2028-05-31,177.9
"Victoria, British Columbia",2028-06-30,178.4
"Victoria, British Columbia",2028-07-31,178.9
"Victoria, British Columbia",2028-08-31,179.3
"Victoria, British Columbia",2028-09-30,179.8
"Victoria, British Columbia",2028-10-31,180.3
"Victoria, British Columbia",2028-11-30,180.7
"Victoria, British Columbia",2028-12-31,181.2
"Victoria, British Columbia",2029-01-31,179.9
"Victoria, British Columbia",2029-02-28,180.4
