Location,Month,Predicted Prices
"Whitehorse, Yukon",2024-03-31,167.4
"Whitehorse, Yukon",2024-04-30,167.7
"Whitehorse, Yukon",2024-05-31,168.1
"Whitehorse, Yukon",2024-06-30,168.4
"Whitehorse, Yukon",2024-07-31,168.8
"Whitehorse, Yukon",2024-08-31,169.1
"Whitehorse, Yukon",2024-09-30,169.5
"Whitehorse, Yukon",2024-10-31,169.8
"Whitehorse, Yukon",2024-11-30,170.2
"Whitehorse, Yukon",2024-12-31,170.5
"Whitehorse, Yukon",2025-01-31,170.4
"Whitehorse, Yukon",2025-02-28,170.8
"Whitehorse, Yukon",2025-03-31,171.1
"Whitehorse, Yukon",2025-04-30,171.5
"Whitehorse, Yukon",2025-05-31,171.8
"Whitehorse, Yukon",2025-06-30,172.2
"Whitehorse, Yukon",2025-07-31,172.5
"Whitehorse, Yukon",2025-08-31,172.9
"Whitehorse, Yukon",2025-09-30,173.2
"Whitehorse, Yukon",2025-10-31,173.6
"Whitehorse, Yukon",2025-11-30,173.9
"Whitehorse, Yukon",2025-12-31,174.3
"Whitehorse, Yukon",2026-01-31,174.2
"Whitehorse, Yukon",2026-02-28,174.5
"Whitehorse, Yukon",2026-03-31,174.9
"Whitehorse, Yukon",2026-04-30,175.2
"Whitehorse, Yukon",2026-05-31,175.6
"Whitehorse, Yukon",2026-06-30,175.9
"Whitehorse, Yukon",2026-07-31,176.3
"Whitehorse, Yukon",2026-08-31,176.6
"Whitehorse, Yukon",2026-09-30,177.0
"Whitehorse, Yukon",2026-10-31,177.3
"Whitehorse, Yukon",2026-11-30,177.7
"Whitehorse, Yukon",2026-12-31,178.0
"Whitehorse, Yukon",2027-01-31,177.9
"Whitehorse, Yukon",2027-02-28,178.3
"Whitehorse, Yukon",2027-03-31,178.6
"Whitehorse, Yukon",2027-04-30,179.0
"Whitehorse, Yukon",2027-05-31,179.3
"Whitehorse, Yukon",2027-06-30,179.7
"Whitehorse, Yukon",2027-07-31,180.0
"Whitehorse, Yukon",2027-08-31,180.4
"Whitehorse, Yukon",2027-09-30,180.7
"Whitehorse, Yukon",2027-10-31,181.1
"Whitehorse, Yukon",2027-11-30,181.4
"Whitehorse, Yukon",2027-12-31,181.8
"Whitehorse, Yukon",2028-01-31,181.7
"Whitehorse, Yukon",2028-02-29,182.0
"Whitehorse, Yukon",2028-03-31,182.4
"Whitehorse, Yukon",2028-04-30,182.7
"Whitehorse, Yukon",2028-05-31,183.1
"Whitehorse, Yukon",2028-06-30,183.4
"Whitehorse, Yukon",2028-07-31,183.8
"Whitehorse, Yukon",2028-08-31,184.1
"Whitehorse, Yukon",2028-09-30,184.5
"Whitehorse, Yukon",2028-10-31,184.8
"Whitehorse, Yukon",2028-11-30,185.2
"Whitehorse, Yukon",2028-12-31,185.5
"Whitehorse, Yukon",2029-01-31,185.4
"Whitehorse, Yukon",2029-02-28,185.8
