Location,Month,Predicted Prices
"Winnipeg, Manitoba",2024-03-31,146.6
"Winnipeg, Manitoba",2024-04-30,147.1
"Winnipeg, Manitoba",2024-05-31,147.5
"Winnipeg, Manitoba",2024-06-30,147.9
"Winnipeg, Manitoba",2024-07-31,148.3
"Winnipeg, Manitoba",2024-08-31,148.7
"Winnipeg, Manitoba",2024-09-30,149.2
"Winnipeg, Manitoba",2024-10-31,149.6
"Winnipeg, Manitoba",2024-11-30,150.0
"Winnipeg, Manitoba",2024-12-31,150.4
"Winnipeg, Manitoba",2025-01-31,149.2
"Winnipeg, Manitoba",2025-02-28,149.6
"Winnipeg, Manitoba",2025-03-31,150.0
"Winnipeg, Manitoba",2025-04-30,150.5
"Winnipeg, Manitoba",2025-05-31,150.9
"Winnipeg, Manitoba",2025-06-30,151.3
"Winnipeg, Manitoba",2025-07-31,151.7
"Winnipeg, Manitoba",2025-08-31,152.1
"Winnipeg, Manitoba",2025-09-30,152.5
"Winnipeg, Manitoba",2025-10-31,153.0
"Winnipeg, Manitoba",2025-11-30,153.4
"Winnipeg, Manitoba",2025-12-31,153.8
"Winnipeg, Manitoba",2026-01-31,152.6
"Winnipeg, Manitoba",2026-02-28,153.0
"Winnipeg, Manitoba",2026-03-31,153.4
"Winnipeg, Manitoba",2026-04-30,153.8
"Winnipeg, Manitoba",2026-05-31,154.3
"Winnipeg, Manitoba",2026-06-30,154.7
"Winnipeg, Manitoba",2026-07-31,155.1
"Winnipeg, Manitoba",2026-08-31,155.5
"Winnipeg, Manitoba",2026-09-30,155.9
"Winnipeg, Manitoba",2026-10-31,156.3
"Winnipeg, Manitoba",2026-11-30,156.8
"Winnipeg, Manitoba",2026-12-31,157.2
"Winnipeg, Manitoba",2027-01-31,156.0
"Winnipeg, Manitoba",2027-02-28,156.4
"Winnipeg, Manitoba",2027-03-31,156.8
"Winnipeg, Manitoba",2027-04-30,157.2
"Winnipeg, Manitoba",2027-05-31,157.6
"Winnipeg, Manitoba",2027-06-30,158.1
"Winnipeg, Manitoba",2027-07-31,158.5
"Winnipeg, Manitoba",2027-08-31,158.9
"Winnipeg, Manitoba",2027-09-30,159.3
"Winnipeg, Manitoba",2027-10-31,159.7
"Winnipeg, Manitoba",2027-11-30,160.1
"Winnipeg, Manitoba",2027-12-31,160.6
"Winnipeg, Manitoba",2028-01-31,159.4
"Winnipeg, Manitoba",2028-02-29,159.8
"Winnipeg, Manitoba",2028-03-31,160.2
"Winnipeg, Manitoba",2028-04-30,160.6
"Winnipeg, Manitoba",2028-05-31,161.0
"Winnipeg, Manitoba",2028-06-30,161.4
"Winnipeg, Manitoba",2028-07-31,161.9
"Winnipeg, Manitoba",2028-08-31,162.3
"Winnipeg, Manitoba",2028-09-30,162.7
"Winnipeg, Manitoba",2028-10-31,163.1
"Winnipeg, Manitoba",2028-11-30,163.5
"Winnipeg, Manitoba",2028-12-31,164.0
"Winnipeg, Manitoba",2029-01-31,162.7
"Winnipeg, Manitoba",2029-02-28,163.2
