Location,Month,Predicted Prices
"Yellowknife, Northwest Territories",2024-03-31,159.5
"Yellowknife, Northwest Territories",2024-04-30,159.9
"Yellowknife, Northwest Territories",2024-05-31,160.3
"Yellowknife, Northwest Territories",2024-06-30,160.7
"Yellowknife, Northwest Territories",2024-07-31,161.1
"Yellowknife, Northwest Territories",2024-08-31,161.5
"Yellowknife, Northwest Territories",2024-09-30,161.9
"Yellowknife, Northwest Territories",2024-10-31,162.3
"Yellowknife, Northwest Territories",2024-11-30,162.7
"Yellowknife, Northwest Territories",2024-12-31,163.1
"Yellowknife, Northwest Territories",2025-01-31,162.1
"Yellowknife, Northwest Territories",2025-02-28,162.5
"Yellowknife, Northwest Territories",2025-03-31,162.9
"Yellowknife, Northwest Territories",2025-04-30,163.3
"Yellowknife, Northwest Territories",2025-05-31,163.7
"Yellowknife, Northwest Territories",2025-06-30,164.1
"Yellowknife, Northwest Territories",2025-07-31,164.5
"Yellowknife, Northwest Territories",2025-08-31,164.9
"Yellowknife, Northwest Territories",2025-09-30,165.3
"Yellowknife, Northwest Territories",2025-10-31,165.7
"Yellowknife, Northwest Territories",2025-11-30,166.1
"Yellowknife, Northwest Territories",2025-12-31,166.5
"Yellowknife, Northwest Territories",2026-01-31,165.5
"Yellowknife, Northwest Territories",2026-02-28,165.9
"Yellowknife, Northwest Territories",2026-03-31,166.3
"Yellowknife, Northwest Territories",2026-04-30,166.7
"Yellowknife, Northwest Territories",2026-05-31,167.1
"Yellowknife, Northwest Territories",2026-06-30,167.5
"Yellowknife, Northwest Territories",2026-07-31,167.9
"Yellowknife, Northwest Territories",2026-08-31,168.3
"Yellowknife, Northwest Territories",2026-09-30,168.7
"Yellowknife, Northwest Territories",2026-10-31,169.2
"Yellowknife, Northwest Territories",2026-11-30,169.6
"Yellowknife, Northwest Territories",2026-12-31,170.0
"Yellowknife, Northwest Territories",2027-01-31,168.9
"Yellowknife, Northwest Territories",2027-02-28,169.3
"Yellowknife, Northwest Territories",2027-03-31,169.7
"Yellowknife, Northwest Territories",2027-04-30,170.1
"Yellowknife, Northwest Territories",2027-05-31,170.5
"Yellowknife, Northwest Territories",2027-06-30,170.9
"Yellowknife, Northwest Territories",2027-07-31,171.4
"Yellowknife, Northwest Territories",2027-08-31,171.8
"Yellowknife, Northwest Territories",2027-09-30,172.2
"Yellowknife, Northwest Territories",2027-10-31,172.6
"Yellowknife, Northwest Territories",2027-11-30,173.0
"Yellowknife, Northwest Territories",2027-12-31,173.4
"Yellowknife, Northwest Territories",2028-01-31,172.3
"Yellowknife, Northwest Territories",2028-02-29,172.7
"Yellowknife, Northwest Territories",2028-03-31,173.1
"Yellowknife, Northwest Territories",2028-04-30,173.6
"Yellowknife, Northwest Territories",2028-05-31,174.0
"Yellowknife, Northwest Territories",2028-06-30,174.4
"Yellowknife, Northwest Territories",2028-07-31,174.8
"Yellowknife, Northwest Territories",2028-08-31,175.2
"Yellowknife, Northwest Territories",2028-09-30,175.6
"Yellowknife, Northwest Territories",2028-10-31,176.0
"Yellowknife, Northwest Territories",2028-11-30,176.4
"Yellowknife, Northwest Territories",2028-12-31,176.8
"Yellowknife, Northwest Territories",2029-01-31,175.8
"Yellowknife, Northwest Territories",2029-02-28,176.2
