Year,Predicted Employment,Province
2024,239.1,Newfoundland
2025,240.5,Newfoundland
2026,242.0,Newfoundland
2027,243.4,Newfoundland
2028,244.8,Newfoundland
2029,246.2,Newfoundland
2024,82.8,Prince Edward Island
2025,83.6,Prince Edward Island
2026,84.5,Prince Edward Island
2027,85.3,Prince Edward Island
2028,86.2,Prince Edward Island
2029,87.0,Prince Edward Island
2024,490.8,Nova Scotia 
2025,494.5,Nova Scotia 
2026,498.3,Nova Scotia 
2027,502.0,Nova Scotia 
2028,505.7,Nova Scotia 
2029,509.4,Nova Scotia 
2024,389.4,New Brunswick
2025,392.4,New Brunswick
2026,395.5,New Brunswick
2027,398.5,New Brunswick
2028,401.5,New Brunswick
2029,404.5,New Brunswick
2024,4435.2,Quebec
2025,4476.0,Quebec
2026,4516.7,Quebec
2027,4557.5,Quebec
2028,4598.3,Quebec
2029,4639.0,Quebec
2024,7724.8,Ontario
2025,7806.7,Ontario
2026,7888.6,Ontario
2027,7970.4,Ontario
2028,8052.3,Ontario
2029,8134.2,Ontario
2024,677.7,Manitoba
2025,682.8,Manitoba
2026,687.9,Manitoba
2027,693.0,Manitoba
2028,698.1,Manitoba
2029,703.2,Manitoba
2024,581.7,Saskatchewan
2025,585.6,Saskatchewan
2026,589.5,Saskatchewan
2027,593.3,Saskatchewan
2028,597.2,Saskatchewan
2029,601.1,Saskatchewan
2024,2445.7,Alberta
2025,2479.1,Alberta
2026,2512.5,Alberta
2027,2545.9,Alberta
2028,2579.3,Alberta
2029,2612.7,Alberta
2024,2772.1,British Columbia
2025,2808.0,British Columbia
2026,2844.0,British Columbia
2027,2879.9,British Columbia
2028,2915.8,British Columbia
2029,2951.8,British Columbia
